0,Coco Palms,Partially Furnished Condominium,904 sqft ,Pasir Ris Drive 1, Ready to move,3,2,"S$ 2,999 /mo",EW1 Pasir Ris MRT Station,0.42 km
1,D'Nest,Partially Furnished Condominium,484 sqft ,129 Pasir Ris Grove, Ready to move,1,1,"S$ 1,850 /mo",EW1 Pasir Ris MRT Station,0.53 km
2,D'Nest,Fully Furnished Condominium,743 sqft ,Pasir Ris Grove, Ready to move,2,2,"S$ 2,350 /mo",EW1 Pasir Ris MRT Station,0.53 km
3,NV Residences,Fully Furnished Condominium,1087 sqft ,87 Pasir Ris Grove, Ready to move,3,2,"S$ 2,800 /mo",EW1 Pasir Ris MRT Station,0.54 km
4,Livia,Partially Furnished Condominium,1539 sqft ,69 Pasir Ris Grove, Ready to move,4,4,"S$ 3,499 /mo",EW1 Pasir Ris MRT Station,0.82 km
5,The Palette,Partially Furnished Condominium,1377 sqft ,103 Pasir Ris Grove, Ready to move,4,3,"S$ 3,400 /mo",EW1 Pasir Ris MRT Station,0.53 km
6,Coco Palms,Partially Furnished Condominium,742 sqft ,Pasir Ris Drive 1, Available from 20 Apr,2,2,"S$ 2,400 /mo",EW1 Pasir Ris MRT Station,0.42 km
7,Coco Palms,Fully Furnished Condominium,464 sqft ,29 Pasir Ris Grove, Ready to move,Studio,0,"S$ 2,000 /mo",EW1 Pasir Ris MRT Station,0.42 km
8,D'Nest,Fully Furnished Condominium,936 sqft ,Pasir Ris Grove, S$ 2.62 psf,3,2,"S$ 2,450 /mo",EW1 Pasir Ris MRT Station,0.53 km
9,Coco Palms,Partially Furnished Condominium,743 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,499 /mo",EW1 Pasir Ris MRT Station,0.42 km
10,D'Nest,Partially Furnished Condominium,753 sqft ,Pasir Ris Grove, Ready to move,2,2,"S$ 2,150 /mo",EW1 Pasir Ris MRT Station,0.53 km
11,D'Nest,Fully Furnished Condominium,753 sqft ,131 Pasir Ris Grove, Ready to move,2,2,"S$ 2,399 /mo",EW1 Pasir Ris MRT Station,0.53 km
12,Coco Palms,Partially Furnished Condominium,753 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.42 km
13,NV Residences,Partially Furnished Condominium,850 sqft ,87 Pasir Ris Grove, Ready to move,2,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.54 km
14,614 Elias Road,Fully Furnished HDB Apartment,200 sqft ,614 Elias Road, Ready to move,Room,0,S$ 650 /mo,EW1 Pasir Ris MRT Station,0.98 km
15,Livia,Partially Furnished Condominium,1539 sqft ,65 Pasir Ris Grove, Ready to move,4,4,"S$ 3,800 /mo",EW1 Pasir Ris MRT Station,0.82 km
16,473 Pasir Ris Drive 6,Fully Furnished HDB Apartment,1300 sqft ,473 Pasir Ris Drive 6, Ready to move,4,2,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.89 km
17,The Palette,Condominium,495 sqft ,103 Pasir Ris Grove, Ready to move,1,1,"S$ 1,900 /mo",EW1 Pasir Ris MRT Station,0.53 km
18,D'Nest,Partially Furnished Condominium,775 sqft ,139 Pasir Ris Grove, Ready to move,2,2,"S$ 2,300 /mo",EW1 Pasir Ris MRT Station,0.53 km
19,Coco Palms,Condominium,460 sqft ,Pasir Ris Drive 1, Ready to move,1,1,"S$ 1,850 /mo",EW1 Pasir Ris MRT Station,0.42 km
0,D'Nest,Fully Furnished Condominium,484 sqft ,143 Pasir Ris Grove, Ready to move,1,1,"S$ 1,800 /mo",EW1 Pasir Ris MRT Station,0.53 km
1,Elias Green,Fully Furnished Condominium,1628 sqft ,1 Elias Road, Ready to move,3,2,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.95 km
2,Coco Palms,Condominium,754 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,280 /mo",EW1 Pasir Ris MRT Station,0.42 km
3,Coco Palms,Condominium,753 sqft ,Pasir Ris Drive 1, Ready to move,2,2,"S$ 2,280 /mo",EW1 Pasir Ris MRT Station,0.42 km
4,615 Elias Road,Fully Furnished HDB Apartment,1441 sqft ,615 Elias Road, Ready to move,3,2,"S$ 2,100 /mo",EW1 Pasir Ris MRT Station,0.97 km
5,Coco Palms,Condominium,904 sqft ,Pasir Ris Drive 1, Ready to move,3,2,"S$ 2,750 /mo",EW1 Pasir Ris MRT Station,0.42 km
6,Elias Green,Partially Furnished Condominium,1550 sqft ,3 Elias Road, Ready to move,3,4,"S$ 2,500 /mo",EW1 Pasir Ris MRT Station,0.95 km
7,D'Nest,Partially Furnished Condominium,969 sqft ,129 Pasir Ris Grove, Ready to move,3,2,"S$ 2,600 /mo",EW1 Pasir Ris MRT Station,0.53 km
8,D'Nest,Partially Furnished Condominium,969 sqft ,131 Pasir Ris Grove, S$ 2.99 psf,3,2,"S$ 2,900 /mo",EW1 Pasir Ris MRT Station,0.53 km
9,NV Residences,Fully Furnished Condominium,743 sqft ,87 Pasir Ris Grove, Ready to move,2,2,"S$ 2,200 /mo",EW1 Pasir Ris MRT Station,0.54 km
