0,Citylights,Partially Furnished Condominium,721 sqft ,80 Jellicoe Road, Ready to move,2,1,"S$ 3,500 /mo",EW10 Kallang MRT Station,0.94 km
1,Accord Apartments,Fully Furnished Apartment,150 sqft ,5 Lorong 15 Geylang, S$ 5.33 psf,Room,0,S$ 800 /mo,EW10 Kallang MRT Station,0.77 km
2,Kallang MRT 5 Lorong 15 Geylang,Fully Furnished Apartment,120 sqft ,5 Lorong 15 Geylang, S$ 6.50 psf,1,1,S$ 780 /mo,EW10 Kallang MRT Station,0.79 km
3,Citylights,Partially Furnished Condominium,732 sqft ,80 Jellicoe Road, Available from 1 May,2,1,"S$ 3,400 /mo",EW10 Kallang MRT Station,0.94 km
4,Wing Fong Mansions,Partially Furnished Apartment,1130 sqft ,12 Lorong 14 Geylang, S$ 2.21 psf,3,2,"S$ 2,500 /mo",EW10 Kallang MRT Station,0.87 km
5,Treasures @ G19,Fully Furnished Condominium,388 sqft ,35 Lorong 19 Geylang, Ready to move,1,1,"S$ 1,850 /mo",EW10 Kallang MRT Station,0.88 km
6,Citylights,Fully Furnished Condominium,678 sqft ,90 Jellicoe Road, Ready to move,1,1,"S$ 3,300 /mo",EW10 Kallang MRT Station,0.94 km
7,Wing Fong Mansions,Partially Furnished Apartment,990 sqft ,12 Lorong 14 Geylang, Ready to move,3,2,"S$ 2,999 /mo",EW10 Kallang MRT Station,0.87 km
8,3D Upper Boon Keng Road,Fully Furnished HDB Apartment,1184 sqft ,3D Upper Boon Keng Road, S$ 2.53 psf,3,2,"S$ 3,000 /mo",EW10 Kallang MRT Station,0.28 km
9,Centra Residence,Partially Furnished Condominium,1100 sqft ,8 Lorong 7 Geylang, Ready to move,2,2,"S$ 2,700 /mo",EW10 Kallang MRT Station,0.53 km
10,Torieville,Unfurnished Apartment,990 sqft ,47 Lorong 6 Geylang, Ready to move,3,2,"S$ 2,500 /mo",EW10 Kallang MRT Station,0.64 km
11,The Riverine By The Park,Fully Furnished Apartment,1313 sqft ,398 Kallang Road, Ready to move,3,2,"S$ 4,600 /mo",EW10 Kallang MRT Station,0.33 km
12,Southbank,Partially Furnished Apartment,904 sqft ,881 North Bridge Road, Ready to move,2,2,"S$ 3,600 /mo",EW10 Kallang MRT Station,0.98 km
13,Southbank,Partially Furnished Condominium,958 sqft ,881 North Bridge Road, Available from 22 Apr,2,2,"S$ 4,100 /mo",EW10 Kallang MRT Station,0.98 km
14,51 Sims Drive,Partially Furnished HDB Apartment,1259 sqft ,51 Sims Drive, Ready to move,3,2,"S$ 2,600 /mo",EW10 Kallang MRT Station,0.99 km
15,The Riverine By The Park,Partially Furnished Apartment,1776 sqft ,398 Kallang Road, Ready to move,4,4,"S$ 6,000 /mo",EW10 Kallang MRT Station,0.33 km
16,Citylights,Fully Furnished Condominium,687 sqft ,88 Jellicoe Road, Ready to move,2,2,"S$ 3,600 /mo",EW10 Kallang MRT Station,0.94 km
17,The Riverine By The Park,Fully Furnished Apartment,1206 sqft ,398 Kallang Road, Ready to move,3,2,"S$ 4,300 /mo",EW10 Kallang MRT Station,0.33 km
18,The Riverine By The Park,Partially Furnished Apartment,1755 sqft ,398 Kallang Road, Ready to move,4,3,"S$ 5,900 /mo",EW10 Kallang MRT Station,0.33 km
