0,Citylights,Partially Furnished Condominium,721 sqft ,80 Jellicoe Road, Ready to move,2,1,"S$ 3,500 /mo",EW11 Lavender MRT Station,0.12 km
1,City Square Residences,Fully Furnished Condominium,840 sqft ,8 Kitchener Link, Ready to move,2,2,"S$ 3,500 /mo",EW11 Lavender MRT Station,0.64 km
2,City Square Residences,Partially Furnished Condominium,1206 sqft ,8 Kitchener Link, Ready to move,3,3,"S$ 4,300 /mo",EW11 Lavender MRT Station,0.64 km
3,Citylights,Partially Furnished Condominium,732 sqft ,80 Jellicoe Road, Available from 1 May,2,1,"S$ 3,400 /mo",EW11 Lavender MRT Station,0.12 km
4,Concourse Skyline,Partially Furnished Condominium,1162 sqft ,296 Beach Road, Available from 18 Jun,1,2,"S$ 5,700 /mo",EW11 Lavender MRT Station,0.78 km
5,City Square Residences,Partially Furnished Condominium,1238 sqft ,8 Kitchener Link, Ready to move,3,3,"S$ 4,600 /mo",EW11 Lavender MRT Station,0.64 km
6,Citylights,Fully Furnished Condominium,678 sqft ,90 Jellicoe Road, Ready to move,1,1,"S$ 3,300 /mo",EW11 Lavender MRT Station,0.12 km
7,Kerrisdale,Partially Furnished Condominium,1259 sqft ,30 Sturdee Road, Available from 16 Apr,3,3,"S$ 3,600 /mo",EW11 Lavender MRT Station,0.86 km
8,Kerrisdale,Fully Furnished Condominium,1259 sqft ,30 Sturdee Road, Ready to move,3,3,"S$ 3,800 /mo",EW11 Lavender MRT Station,0.86 km
9,1 Beach Road,Fully Furnished HDB Apartment,785 sqft ,1 Beach Road, S$ 3.18 psf,2,1,"S$ 2,500 /mo",EW11 Lavender MRT Station,0.48 km
10,City Square Residences,Fully Furnished Condominium,1216 sqft ,8 Kitchener Link, Ready to move,3,3,"S$ 4,300 /mo",EW11 Lavender MRT Station,0.64 km
11,City Square Residences,Fully Furnished Condominium,1216 sqft ,14 Kitchener Link, Available from 30 Apr,3,3,"S$ 4,500 /mo",EW11 Lavender MRT Station,0.64 km
12,City Square Residences,Fully Furnished Condominium,872 sqft ,12 Kitchener Link, S$ 4.01 psf,2,2,"S$ 3,500 /mo",EW11 Lavender MRT Station,0.64 km
13,City Square Residences,Fully Furnished Condominium,1206 sqft ,8 Kitchener Link, Ready to move,3,3,"S$ 4,300 /mo",EW11 Lavender MRT Station,0.64 km
14,Concourse Skyline,Partially Furnished Condominium,1668 sqft ,300 Beach Road, Ready to move,3,3,"S$ 6,200 /mo",EW11 Lavender MRT Station,0.78 km
15,17 Beach Road,Fully Furnished HDB Apartment,1121 sqft ,17 Beach Road, Ready to move,3,1,"S$ 2,500 /mo",EW11 Lavender MRT Station,0.42 km
16,Concourse Skyline,Partially Furnished Condominium,1668 sqft ,300 Beach Road, Ready to move,3,3,"S$ 6,300 /mo",EW11 Lavender MRT Station,0.78 km
