0,City Square Residences,Fully Furnished Condominium,570 sqft ,8 Kitchener Link, Available from 15 Apr,1,1,"S$ 2,780 /mo",EW11 Lavender MRT Station,0.64 km
1,City Square Residences,Fully Furnished Condominium,200 sqft ,10 Kitchener Link, Ready to move,Room,0,"S$ 1,200 /mo",EW11 Lavender MRT Station,0.64 km
2,The Plaza,Partially Furnished Apartment,750 sqft ,7500A Beach Road, Ready to move,1,1,"S$ 2,500 /mo",EW11 Lavender MRT Station,0.98 km
3,642 Rowell Road,Fully Furnished HDB Apartment,100 sqft ,642 Rowell Road, Ready to move,Room,0,S$ 900 /mo,EW11 Lavender MRT Station,0.73 km
4,29 Kelantan Road,HDB Apartment,100 sqft ,29 Kelantan Road, Ready to move,Room,0,S$ 500 /mo,EW11 Lavender MRT Station,0.70 km
5,462 Crawford Lane,Fully Furnished HDB Apartment,700 sqft ,462 Crawford Lane, Ready to move,2,1,"S$ 2,350 /mo",EW11 Lavender MRT Station,0.39 km
6,Hoa Nam Building,Fully Furnished Apartment,550 sqft ,27 Foch Road, Ready to move,1,1,"S$ 2,000 /mo",EW11 Lavender MRT Station,0.64 km
7,The Riverine By The Park,Fully Furnished Apartment,1302 sqft ,398 Kallang Road, Ready to move,3,2,"S$ 5,000 /mo",EW11 Lavender MRT Station,0.70 km
8,Hoa Nam Building,Fully Furnished Apartment,550 sqft ,27 Foch Road, Ready to move,1,1,"S$ 1,950 /mo",EW11 Lavender MRT Station,0.64 km
9,Studios @ Marne,Fully Furnished Apartment,517 sqft ,2 Marne Road, Ready to move,Studio,0,"S$ 2,100 /mo",EW11 Lavender MRT Station,0.91 km
10,10C Bendemeer Road,Fully Furnished HDB Apartment,100 sqft ,10C Bendemeer Road, Ready to move,Room,0,S$ 900 /mo,EW11 Lavender MRT Station,0.92 km
11,Verdun House,Fully Furnished Apartment,300 sqft ,6 Verdun House, Ready to move,Studio,0,"S$ 1,850 /mo",EW11 Lavender MRT Station,0.81 km
12,Citylights,Fully Furnished Condominium,592 sqft ,80 Jellicoe Road, Ready to move,1,1,"S$ 3,200 /mo",EW11 Lavender MRT Station,0.12 km
13,Horne Road Walk Up,Unfurnished Apartment,950 sqft ,Horne road, Ready to move,1,3,"S$ 2,700 /mo",EW11 Lavender MRT Station,0.30 km
14,Citylights,Partially Furnished Condominium,689 sqft ,86 Jellicoe Road, Ready to move,1,1,"S$ 2,950 /mo",EW11 Lavender MRT Station,0.12 km
15,Kerrisdale,Fully Furnished Condominium,150 sqft ,32 Sturdee Road, S$ 9.00 psf,Room,0,"S$ 1,350 /mo",EW11 Lavender MRT Station,0.86 km
16,City Square Residences,Fully Furnished Condominium,211 sqft ,8 Kitchener Link, S$ 9.00 psf,Room,0,"S$ 1,900 /mo",EW11 Lavender MRT Station,0.64 km
17,The Riverine By The Park,Partially Furnished Apartment,1776 sqft ,398 Kallang Road, S$ 4.22 psf,4,4,"S$ 7,500 /mo",EW11 Lavender MRT Station,0.70 km
18,City Square Residences,Fully Furnished Condominium,840 sqft ,6 Kitchener Link, S$ 3.93 psf,2,2,"S$ 3,300 /mo",EW11 Lavender MRT Station,0.64 km
19,The Plaza,Fully Furnished Apartment,840 sqft ,7500A Beach Road, S$ 3.93 psf,2,2,"S$ 3,300 /mo",EW11 Lavender MRT Station,0.98 km
0,Concourse Skyline,Condominium,1320 sqft ,300 Beach Road, S$ 5.30 psf,3,0,"S$ 7,000 /mo",EW11 Lavender MRT Station,0.78 km
1,8A Upper Boon Keng Road,Partially Furnished HDB Apartment,200 sqft ,8A upper boon Keng road, S$ 4.75 psf,Room,0,S$ 950 /mo,EW11 Lavender MRT Station,0.98 km
2,12 North Bridge Road,Fully Furnished HDB Apartment,1300 sqft ,12 North Bridge Road, S$ 2.46 psf,3,2,"S$ 3,200 /mo",EW11 Lavender MRT Station,0.35 km
3,Citylights,Fully Furnished Condominium,1421 sqft ,80 Jellicoe Road, S$ 3.87 psf,3,3,"S$ 5,500 /mo",EW11 Lavender MRT Station,0.12 km
4,The Plaza,Partially Furnished Apartment,1400 sqft ,7500A Beach Road, S$ 3.21 psf,3,2,"S$ 4,500 /mo",EW11 Lavender MRT Station,0.98 km
5,8A Upper Boon Keng Road,Fully Furnished HDB Apartment,100 sqft ,8A Upper Boon Keng Road, S$ 8.50 psf,Room,0,S$ 850 /mo,EW11 Lavender MRT Station,0.99 km
