0,The 101,Fully Furnished Apartment,420 sqft ,101 Beach Road, Ready to move,Studio,0,"S$ 2,500 /mo",EW12 Bugis MRT Station,0.34 km
1,DUO Residences,Partially Furnished Apartment,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 4,600 /mo",EW12 Bugis MRT Station,0.28 km
2,DUO Residences,Apartment,700 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,200 /mo",EW12 Bugis MRT Station,0.28 km
3,DUO Residences,Partially Furnished Apartment,667 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,500 /mo",EW12 Bugis MRT Station,0.28 km
4,DUO Residences,Partially Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,800 /mo",EW12 Bugis MRT Station,0.28 km
5,The Bencoolen,Fully Furnished Apartment,900 sqft ,180A Bencoolen Street, Ready to move,2,2,"S$ 3,400 /mo",EW12 Bugis MRT Station,0.31 km
6,DUO Residences,Partially Furnished Apartment,538 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,300 /mo",EW12 Bugis MRT Station,0.28 km
7,DUO Residences,Partially Furnished Apartment,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 4,500 /mo",EW12 Bugis MRT Station,0.28 km
8,Concourse Skyline,Partially Furnished Condominium,1668 sqft ,300 Beach Road, Ready to move,3,3,"S$ 6,200 /mo",EW12 Bugis MRT Station,0.65 km
9,DUO Residences,Partially Furnished Apartment,732 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,500 /mo",EW12 Bugis MRT Station,0.28 km
10,DUO Residences,Partially Furnished Apartment,1528 sqft ,1 Fraser Street, Ready to move,3,3,"S$ 7,700 /mo",EW12 Bugis MRT Station,0.28 km
11,Parc Sophia,Fully Furnished Apartment,624 sqft ,8 Adis Road, Ready to move,1,1,"S$ 2,800 /mo",EW12 Bugis MRT Station,0.96 km
12,DUO Residences,Apartment,419 sqft ,1 Fraser Street, Ready to move,Studio,0,"S$ 2,900 /mo",EW12 Bugis MRT Station,0.28 km
