0,DUO Residences,Partially Furnished Apartment,1528 sqft ,1 Fraser Street, Ready to move,3,3,"S$ 7,700 /mo",EW13 City Hall MRT Station,0.93 km
1,DUO Residences,Fully Furnished Condominium,600 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,800 /mo",EW13 City Hall MRT Station,0.93 km
2,DUO Residences,Partially Furnished Apartment,839 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,600 /mo",EW13 City Hall MRT Station,0.93 km
3,Sunshine Plaza,Fully Furnished Condominium,762 sqft ,91 Bencoolen Street, Ready to move,2,1,"S$ 3,200 /mo",EW13 City Hall MRT Station,0.84 km
4,DUO Residences,Partially Furnished Apartment,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 4,600 /mo",EW13 City Hall MRT Station,0.93 km
5,DUO Residences,Apartment,700 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,200 /mo",EW13 City Hall MRT Station,0.93 km
6,DUO Residences,Partially Furnished Apartment,667 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.93 km
7,DUO Residences,Partially Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,800 /mo",EW13 City Hall MRT Station,0.93 km
8,The Bencoolen,Fully Furnished Apartment,900 sqft ,180A Bencoolen Street, Ready to move,2,2,"S$ 3,400 /mo",EW13 City Hall MRT Station,0.95 km
9,DUO Residences,Partially Furnished Apartment,538 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,300 /mo",EW13 City Hall MRT Station,0.93 km
10,DUO Residences,Partially Furnished Apartment,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 4,500 /mo",EW13 City Hall MRT Station,0.93 km
11,DUO Residences,Partially Furnished Apartment,732 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,500 /mo",EW13 City Hall MRT Station,0.93 km
12,DUO Residences,Apartment,419 sqft ,1 Fraser Street, Ready to move,Studio,0,"S$ 2,900 /mo",EW13 City Hall MRT Station,0.93 km
13,The Bencoolen,Fully Furnished Apartment,936 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,600 /mo",EW13 City Hall MRT Station,0.95 km
14,Sophia Residence,Partially Furnished Condominium,1991 sqft ,5 Sophia Road, Available from 15 Apr,3,3,"S$ 5,700 /mo",EW13 City Hall MRT Station,0.90 km
15,The Bencoolen,Fully Furnished Apartment,985 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.95 km
16,The Bencoolen,Fully Furnished Apartment,1201 sqft ,180 Bencoolen Street, Ready to move,3,2,"S$ 4,100 /mo",EW13 City Hall MRT Station,0.95 km
17,The Bencoolen,Fully Furnished Apartment,1200 sqft ,180 Bencoolen Street, Ready to move,3,2,"S$ 4,100 /mo",EW13 City Hall MRT Station,0.95 km
18,DUO Residences,Fully Furnished Apartment,538 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,550 /mo",EW13 City Hall MRT Station,0.93 km
19,Sophia Hills,Condominium,200 sqft ,11 Mount Sophia, Available from 15 Apr,Studio,0,"S$ 2,000 /mo",EW13 City Hall MRT Station,0.89 km
0,The Bencoolen,Fully Furnished Apartment,958 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,600 /mo",EW13 City Hall MRT Station,0.95 km
1,Suites At Orchard,Fully Furnished Condominium,550 sqft ,38 Handy Road, Ready to move,1,1,"S$ 3,690 /mo",EW13 City Hall MRT Station,0.92 km
2,DUO Residences,Partially Furnished Apartment,450 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,200 /mo",EW13 City Hall MRT Station,0.93 km
3,The Bencoolen,Fully Furnished Apartment,1200 sqft ,180 Bencoolen Street, Ready to move,3,2,"S$ 4,200 /mo",EW13 City Hall MRT Station,0.95 km
4,DUO Residences,Partially Furnished Apartment,614 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.93 km
5,Sophia Hills,Condominium,700 sqft ,11 Mount Sophia, Available from 15 Apr,2,2,"S$ 4,200 /mo",EW13 City Hall MRT Station,0.89 km
6,Sophia Residence,Fully Furnished Condominium,350 sqft ,9 Sophia Road, Available from 18 May,1,1,"S$ 2,380 /mo",EW13 City Hall MRT Station,0.90 km
7,The Bencoolen,Fully Furnished Apartment,986 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.95 km
8,Burlington Square,Fully Furnished Apartment,840 sqft ,175B Bencoolen Street, Ready to move,2,2,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.99 km
9,Burlington Square,Apartment,936 sqft ,175 Bencoolen Street, Ready to move,2,2,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.99 km
10,Burlington Square,Fully Furnished Apartment,936 sqft ,175 Bencoolen Street, Ready to move,2,2,"S$ 3,800 /mo",EW13 City Hall MRT Station,0.99 km
11,Sophia Residence,Partially Furnished Condominium,1485 sqft ,5 Sophia Road, Available from 30 Apr,3,2,"S$ 6,000 /mo",EW13 City Hall MRT Station,0.90 km
12,Sophia Residence,Fully Furnished Condominium,614 sqft ,7 Sophia Road, Ready to move,1,1,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.90 km
13,Sophia Residence,Fully Furnished Condominium,614 sqft ,5 Sophia Road, Ready to move,1,1,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.90 km
14,Liang Seah Place,Fully Furnished Apartment,1173 sqft ,1 Liang Seah Street, Ready to move,2,2,"S$ 4,000 /mo",EW13 City Hall MRT Station,0.71 km
15,The Bencoolen,Partially Furnished Condominium,900 sqft ,180 Bencoolen Street, S$ 3.78 psf,2,2,"S$ 3,400 /mo",EW13 City Hall MRT Station,0.95 km
16,DUO Residences,Partially Furnished Apartment,560 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,700 /mo",EW13 City Hall MRT Station,0.93 km
17,Sophia Residence,Fully Furnished Condominium,797 sqft ,5 Sophia Road, Ready to move,2,1,"S$ 3,900 /mo",EW13 City Hall MRT Station,0.90 km
18,Suites At Orchard,Fully Furnished Condominium,548 sqft ,38 Handy Road, Ready to move,2,2,"S$ 4,200 /mo",EW13 City Hall MRT Station,0.92 km
19,DUO Residences,Partially Furnished Apartment,936 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,000 /mo",EW13 City Hall MRT Station,0.93 km
0,Suites At Orchard,Fully Furnished Condominium,920 sqft ,38 Handy Road, Ready to move,1,1,"S$ 4,900 /mo",EW13 City Hall MRT Station,0.92 km
1,Waterloo Apartments,Fully Furnished Apartment,1500 sqft ,64 Waterloo Street, Ready to move,1,2,"S$ 1,100 /mo",EW13 City Hall MRT Station,0.66 km
2,Burlington Square,Fully Furnished Apartment,753 sqft ,175A Bencoolen Street, Ready to move,1,1,"S$ 2,999 /mo",EW13 City Hall MRT Station,0.99 km
3,Sophia Residence,Fully Furnished Condominium,800 sqft ,9 Sophia Road, Ready to move,2,1,"S$ 3,900 /mo",EW13 City Hall MRT Station,0.90 km
4,Suites At Orchard,Fully Furnished Condominium,560 sqft ,38 Handy Road, Ready to move,1,1,"S$ 4,000 /mo",EW13 City Hall MRT Station,0.92 km
5,Suites At Orchard,Fully Furnished Condominium,560 sqft ,38 Handy Road, Ready to move,1,1,"S$ 4,200 /mo",EW13 City Hall MRT Station,0.92 km
6,DUO Residences,Partially Furnished Apartment,936 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,100 /mo",EW13 City Hall MRT Station,0.93 km
7,Sophia Residence,Condominium,1055 sqft ,11 Sophia Road, Ready to move,3,2,"S$ 5,300 /mo",EW13 City Hall MRT Station,0.90 km
8,Soho@Central,Partially Furnished Condominium,890 sqft ,Eu Tong Seng, Available from 1 Jun,1,1,"S$ 5,200 /mo",EW13 City Hall MRT Station,0.72 km
9,DUO Residences,Partially Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,2,1,"S$ 3,999 /mo",EW13 City Hall MRT Station,0.93 km
10,DUO Residences,Partially Furnished Apartment,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 4,700 /mo",EW13 City Hall MRT Station,0.93 km
11,Burlington Square,Partially Furnished Apartment,840 sqft ,175 Bencoolen Street, Ready to move,2,2,"S$ 3,400 /mo",EW13 City Hall MRT Station,0.99 km
12,The Bencoolen,Fully Furnished Apartment,1033 sqft ,180 Bencoolen Street, S$ 4.07 psf,3,2,"S$ 4,200 /mo",EW13 City Hall MRT Station,0.95 km
13,DUO Residences,Apartment,1528 sqft ,1 Fraser Street, Ready to move,3,3,"S$ 8,000 /mo",EW13 City Hall MRT Station,0.93 km
14,DUO Residences,Partially Furnished Apartment,734 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,500 /mo",EW13 City Hall MRT Station,0.93 km
15,DUO Residences,Partially Furnished Condominium,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,000 /mo",EW13 City Hall MRT Station,0.93 km
16,DUO Residences,Partially Furnished Apartment,667 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,500 /mo",EW13 City Hall MRT Station,0.93 km
17,The Bencoolen,Fully Furnished Apartment,900 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,400 /mo",EW13 City Hall MRT Station,0.95 km
18,LIV On Sophia,Fully Furnished Apartment,400 sqft ,14 Adis Road, Ready to move,1,1,"S$ 2,400 /mo",EW13 City Hall MRT Station,0.96 km
19,Sophia Road,Fully Furnished Apartment,480 sqft ,1 Sophia Road, Ready to move,Studio,0,"S$ 2,400 /mo",EW13 City Hall MRT Station,0.91 km
0,DUO Residences,Apartment,732 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,000 /mo",EW13 City Hall MRT Station,0.93 km
1,The Bencoolen,Fully Furnished Apartment,872 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,500 /mo",EW13 City Hall MRT Station,0.95 km
2,DUO Residences,Partially Furnished Apartment,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,900 /mo",EW13 City Hall MRT Station,0.93 km
3,Riverwalk Apartments,Partially Furnished Apartment,1614 sqft ,20 Upper Circular Road, Available from 1 Jun,3,2,"S$ 6,000 /mo",EW13 City Hall MRT Station,0.63 km
4,Sophia Hills,Partially Furnished Condominium,710 sqft ,11 Mount Sophia, Available from 16 Apr,2,2,"S$ 4,200 /mo",EW13 City Hall MRT Station,0.89 km
5,Min Yuan,Fully Furnished Apartment,110 sqft ,62 Waterloo Street, S$ 9.09 psf,Room,0,"S$ 1,000 /mo",EW13 City Hall MRT Station,0.64 km
6,The Bencoolen,Fully Furnished Apartment,1050 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,750 /mo",EW13 City Hall MRT Station,0.95 km
7,DUO Residences,Partially Furnished Apartment,1528 sqft ,1 Fraser Street, Ready to move,3,3,"S$ 7,300 /mo",EW13 City Hall MRT Station,0.93 km
8,LIV On Sophia,Fully Furnished Apartment,165 sqft ,14 Adis Road, Ready to move,Studio,0,"S$ 1,550 /mo",EW13 City Hall MRT Station,0.96 km
9,Sophia Residence,Fully Furnished Condominium,796 sqft ,9 Sophia Road, Ready to move,2,1,"S$ 3,900 /mo",EW13 City Hall MRT Station,0.90 km
10,Sophia Residence,Fully Furnished Condominium,797 sqft ,5 Sophia Road, Ready to move,2,2,"S$ 3,900 /mo",EW13 City Hall MRT Station,0.90 km
11,DUO Residences,Partially Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,700 /mo",EW13 City Hall MRT Station,0.93 km
12,DUO Residences,Partially Furnished Condominium,1012 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 4,889 /mo",EW13 City Hall MRT Station,0.93 km
13,Suites At Orchard,Fully Furnished Condominium,548 sqft ,38 Handy Road, Ready to move,2,1,"S$ 4,200 /mo",EW13 City Hall MRT Station,0.92 km
