0,The Sail @ Marina Bay,Fully Furnished Apartment,592 sqft ,2 Marina Boulevard, Ready to move,1,1,"S$ 3,700 /mo",EW14 Raffles Place MRT Station,0.36 km
1,The Clift,Fully Furnished Apartment,775 sqft ,21 McCallum Street, Ready to move,1,1,"S$ 4,500 /mo",EW14 Raffles Place MRT Station,0.65 km
2,Five On Shenton (V On Shenton),Partially Furnished Condominium,1527 sqft ,5 Shenton Way, Ready to move,3,2,"S$ 6,250 /mo",EW14 Raffles Place MRT Station,0.76 km
3,Five On Shenton (V On Shenton),Condominium,1148 sqft ,5 Shenton Way, Ready to move,3,2,"S$ 5,200 /mo",EW14 Raffles Place MRT Station,0.76 km
4,Five On Shenton (V On Shenton),Partially Furnished Condominium,1528 sqft ,5 Shenton Way, Ready to move,3,3,"S$ 6,300 /mo",EW14 Raffles Place MRT Station,0.76 km
5,Five On Shenton (V On Shenton),Partially Furnished Condominium,484 sqft ,5 Shenton Way, Ready to move,1,1,"S$ 2,700 /mo",EW14 Raffles Place MRT Station,0.76 km
6,Five On Shenton (V On Shenton),Condominium,721 sqft ,5 Shenton Way, Ready to move,1,1,"S$ 3,700 /mo",EW14 Raffles Place MRT Station,0.76 km
7,Five On Shenton (V On Shenton),Condominium,1055 sqft ,5 Shenton Way, Ready to move,2,2,"S$ 4,300 /mo",EW14 Raffles Place MRT Station,0.76 km
8,Marina One Residences,Partially Furnished Apartment,657 sqft ,23 Marina Way, Ready to move,1,1,"S$ 4,800 /mo",EW14 Raffles Place MRT Station,0.83 km
9,Marina One Residences,Partially Furnished Apartment,700 sqft ,23 Marina Way, Ready to move,1,1,"S$ 4,800 /mo",EW14 Raffles Place MRT Station,0.83 km
10,Marina One Residences,Partially Furnished Apartment,721 sqft ,23 Marina Way, Ready to move,1,1,"S$ 4,900 /mo",EW14 Raffles Place MRT Station,0.83 km
11,One Shenton,Fully Furnished Condominium,1130 sqft ,1 Shenton Way, Ready to move,2,2,"S$ 5,200 /mo",EW14 Raffles Place MRT Station,0.52 km
12,Five On Shenton (V On Shenton),Partially Furnished Condominium,1528 sqft ,5A Shenton Way, Ready to move,3,2,"S$ 6,500 /mo",EW14 Raffles Place MRT Station,0.76 km
13,Marina One Residences,Partially Furnished Apartment,1142 sqft ,23 Marina Way, Ready to move,2,2,"S$ 5,900 /mo",EW14 Raffles Place MRT Station,0.83 km
14,The Sail @ Marina Bay,Fully Furnished Apartment,883 sqft ,2 Marina Boulevard, Ready to move,2,2,"S$ 4,500 /mo",EW14 Raffles Place MRT Station,0.36 km
15,The Sail @ Marina Bay,Fully Furnished Apartment,893 sqft ,2 Marina Boulevard, Available from 1 Jun,2,2,"S$ 4,200 /mo",EW14 Raffles Place MRT Station,0.36 km
16,The Sail @ Marina Bay,Partially Furnished Apartment,1389 sqft ,2 Marina Boulevard, Ready to move,3,2,"S$ 6,499 /mo",EW14 Raffles Place MRT Station,0.36 km
17,The Sail @ Marina Bay,Fully Furnished Apartment,883 sqft ,2 Marina Boulevard, Ready to move,2,2,"S$ 5,700 /mo",EW14 Raffles Place MRT Station,0.36 km
18,Five On Shenton (V On Shenton),Partially Furnished Condominium,743 sqft ,5 Shenton Way, Ready to move,1,1,"S$ 4,200 /mo",EW14 Raffles Place MRT Station,0.76 km
19,Marina One Residences,Partially Furnished Apartment,1141 sqft ,23 Marina Way, Ready to move,2,2,"S$ 6,000 /mo",EW14 Raffles Place MRT Station,0.83 km
20,The Sail @ Marina Bay,Partially Furnished Condominium,936 sqft ,2 Marina Boulevard, Available from 3 May,2,2,"S$ 5,600 /mo",EW14 Raffles Place MRT Station,0.36 km
0,Marina One Residences,Partially Furnished Apartment,689 sqft ,23 Marina Way, Ready to move,1,1,"S$ 4,500 /mo",EW14 Raffles Place MRT Station,0.83 km
1,Five On Shenton (V On Shenton),Fully Furnished Condominium,721 sqft ,5 Shenton Way, Ready to move,2,1,"S$ 4,400 /mo",EW14 Raffles Place MRT Station,0.76 km
2,Marina One,Partially Furnished Condominium,764 sqft ,7 Central Boulevard, Ready to move,1,1,"S$ 4,800 /mo",EW14 Raffles Place MRT Station,0.73 km
3,Five On Shenton (V On Shenton),Partially Furnished Condominium,1055 sqft ,5 Shenton Way, Ready to move,2,2,"S$ 5,000 /mo",EW14 Raffles Place MRT Station,0.76 km
4,Five On Shenton (V On Shenton),Partially Furnished Condominium,689 sqft ,5 Shenton Way, Ready to move,2,1,"S$ 4,200 /mo",EW14 Raffles Place MRT Station,0.76 km
5,The Sail @ Marina Bay,Fully Furnished Apartment,678 sqft ,2 Marina Boulevard, Available from 2 Jun,1,1,"S$ 3,900 /mo",EW14 Raffles Place MRT Station,0.36 km
6,Five On Shenton (V On Shenton),Partially Furnished Condominium,1216 sqft ,5 Shenton Way, Ready to move,2,2,"S$ 5,500 /mo",EW14 Raffles Place MRT Station,0.76 km
