0,Five On Shenton (V On Shenton),Partially Furnished Condominium,7255 sqft ,5 Shenton Way, Ready to move,4,4,"S$ 25,000 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
1,The Sail @ Marina Bay,Fully Furnished Apartment,592 sqft ,2 Marina Boulevard, Ready to move,1,1,"S$ 3,700 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
2,Pinnacle @ Duxton,Fully Furnished HDB Apartment,966 sqft ,1 Cantonment Road, Available from 15 Apr,2,2,"S$ 3,500 /mo",EW15 Tanjong Pagar MRT Station,0.50 km
3,The Clift,Apartment,802 sqft ,21 McCallum Street, Ready to move,1,1,"S$ 4,500 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
4,Skysuites @ Anson,Fully Furnished Condominium,699 sqft ,8 Enggor Street, Ready to move,1,1,"S$ 3,900 /mo",EW15 Tanjong Pagar MRT Station,0.33 km
5,Icon,Apartment,581 sqft ,10 Gopeng Street, Ready to move,1,1,"S$ 3,000 /mo",EW15 Tanjong Pagar MRT Station,0.19 km
6,Five On Shenton (V On Shenton),Partially Furnished Condominium,7200 sqft ,5 Shenton Way, Ready to move,5,6,"S$ 25,000 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
7,The Sail @ Marina Bay,Fully Furnished Apartment,893 sqft ,2 Marina Boulevard, S$ 5.26 psf,2,2,"S$ 4,700 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
8,Eon Shenton,Partially Furnished Condominium,538 sqft ,70 Shenton Way, Ready to move,2,1,"S$ 3,500 /mo",EW15 Tanjong Pagar MRT Station,0.30 km
9,Marina One Residences,Fully Furnished Apartment,764 sqft ,23 Marina Way, Ready to move,1,1,"S$ 5,200 /mo",EW15 Tanjong Pagar MRT Station,0.88 km
10,Lumiere,Fully Furnished Apartment,678 sqft ,2 Mistri Road, Ready to move,1,1,"S$ 3,300 /mo",EW15 Tanjong Pagar MRT Station,0.26 km
11,International Plaza,Fully Furnished Apartment,1033 sqft ,10 Anson Road, Available from 21 Apr,3,2,"S$ 4,500 /mo",EW15 Tanjong Pagar MRT Station,0.07 km
12,Emerald Garden,Partially Furnished Condominium,829 sqft ,33 Club Street, Ready to move,2,1,"S$ 3,700 /mo",EW15 Tanjong Pagar MRT Station,0.55 km
13,The Sail @ Marina Bay,Fully Furnished Apartment,883 sqft ,2 Marina Boulevard, Ready to move,2,2,"S$ 5,500 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
14,The Sail @ Marina Bay,Condominium,1390 sqft ,2 Marina Boulevard, Ready to move,3,2,"S$ 6,500 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
15,The Sail @ Marina Bay,Fully Furnished Condominium,689 sqft ,2 Marina Boulevard, Ready to move,1,1,"S$ 4,500 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
16,The Sail @ Marina Bay,Fully Furnished Condominium,883 sqft ,2 Marina Boulevard, Ready to move,2,2,"S$ 4,500 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
17,The Sail @ Marina Bay,Fully Furnished Apartment,657 sqft ,2 Marina Boulevard, Ready to move,1,1,"S$ 3,500 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
18,The Sail @ Marina Bay,Fully Furnished Apartment,667 sqft ,2 Marina Boulevard, Ready to move,1,1,"S$ 3,300 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
19,The Sail @ Marina Bay,Fully Furnished Apartment,893 sqft ,2 Marina Boulevard, Ready to move,2,2,"S$ 4,200 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
20,Eon Shenton,Partially Furnished Condominium,538 sqft ,70 Shenton Way, Ready to move,2,1,"S$ 3,600 /mo",EW15 Tanjong Pagar MRT Station,0.30 km
21,Marina Bay Suites,Partially Furnished Apartment,2680 sqft ,3 Central Boulevard, Available from 15 Apr,4,5,"S$ 11,000 /mo",EW15 Tanjong Pagar MRT Station,0.83 km
0,Five On Shenton (V On Shenton),Condominium,1055 sqft ,5 Shenton Way, Ready to move,2,2,"S$ 4,300 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
1,Skysuites @ Anson,Fully Furnished Condominium,399 sqft ,8 Enggor Street, Ready to move,1,1,"S$ 3,090 /mo",EW15 Tanjong Pagar MRT Station,0.33 km
2,Five On Shenton (V On Shenton),Condominium,474 sqft ,5 Shenton Way, Ready to move,Studio,0,"S$ 3,200 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
3,The Clift,Fully Furnished Apartment,775 sqft ,21 McCallum Street, Ready to move,1,1,"S$ 4,500 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
4,Five On Shenton (V On Shenton),Partially Furnished Condominium,1527 sqft ,5 Shenton Way, Ready to move,3,2,"S$ 6,250 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
5,Five On Shenton (V On Shenton),Condominium,1148 sqft ,5 Shenton Way, Ready to move,3,2,"S$ 5,200 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
6,Five On Shenton (V On Shenton),Partially Furnished Condominium,1528 sqft ,5 Shenton Way, Ready to move,3,3,"S$ 6,300 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
7,Five On Shenton (V On Shenton),Partially Furnished Condominium,484 sqft ,5 Shenton Way, Ready to move,1,1,"S$ 2,700 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
8,Five On Shenton (V On Shenton),Condominium,721 sqft ,5 Shenton Way, Ready to move,1,1,"S$ 3,700 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
9,Altez,Partially Furnished Condominium,850 sqft ,16 Enggor Street, Available from 17 Apr,1,1,"S$ 5,000 /mo",EW15 Tanjong Pagar MRT Station,0.33 km
10,Marina One Residences,Partially Furnished Apartment,657 sqft ,23 Marina Way, Ready to move,1,1,"S$ 4,800 /mo",EW15 Tanjong Pagar MRT Station,0.88 km
11,Marina One Residences,Partially Furnished Apartment,700 sqft ,23 Marina Way, Ready to move,1,1,"S$ 4,800 /mo",EW15 Tanjong Pagar MRT Station,0.88 km
12,Marina One Residences,Partially Furnished Apartment,721 sqft ,23 Marina Way, Ready to move,1,1,"S$ 4,900 /mo",EW15 Tanjong Pagar MRT Station,0.88 km
13,Onze @ Tanjong Pagar,Fully Furnished Apartment,656 sqft ,11 Kee Seng Street, Ready to move,2,1,"S$ 3,300 /mo",EW15 Tanjong Pagar MRT Station,0.45 km
14,Onze @ Tanjong Pagar,Partially Furnished Apartment,480 sqft ,11 Kee Seng Street, Ready to move,1,1,"S$ 2,700 /mo",EW15 Tanjong Pagar MRT Station,0.45 km
15,One Shenton,Fully Furnished Condominium,1130 sqft ,1 Shenton Way, Ready to move,2,2,"S$ 5,200 /mo",EW15 Tanjong Pagar MRT Station,0.61 km
16,Icon,Partially Furnished Apartment,904 sqft ,10 Gopeng Street, Ready to move,2,2,"S$ 5,000 /mo",EW15 Tanjong Pagar MRT Station,0.19 km
17,Icon,Fully Furnished Apartment,581 sqft ,10 Gopeng Street, Ready to move,1,1,"S$ 3,700 /mo",EW15 Tanjong Pagar MRT Station,0.19 km
18,Eon Shenton,Partially Furnished Condominium,1055 sqft ,70 Shenton Way, S$ 4.63 psf,2,1,"S$ 4,888 /mo",EW15 Tanjong Pagar MRT Station,0.30 km
19,Eon Shenton,Partially Furnished Condominium,1044 sqft ,70 Shenton Way, Ready to move,2,2,"S$ 5,100 /mo",EW15 Tanjong Pagar MRT Station,0.30 km
0,76 Shenton,Partially Furnished Apartment,624 sqft ,76 Shenton Way, Ready to move,1,1,"S$ 3,750 /mo",EW15 Tanjong Pagar MRT Station,0.34 km
1,Five On Shenton (V On Shenton),Partially Furnished Condominium,1528 sqft ,5A Shenton Way, Ready to move,3,2,"S$ 6,500 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
2,Marina One Residences,Partially Furnished Apartment,1142 sqft ,23 Marina Way, Ready to move,2,2,"S$ 5,900 /mo",EW15 Tanjong Pagar MRT Station,0.88 km
3,The Sail @ Marina Bay,Fully Furnished Apartment,883 sqft ,2 Marina Boulevard, Ready to move,2,2,"S$ 4,500 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
4,The Sail @ Marina Bay,Fully Furnished Apartment,893 sqft ,2 Marina Boulevard, Available from 1 Jun,2,2,"S$ 4,200 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
5,Eon Shenton,Partially Furnished Condominium,538 sqft ,70 Shenton Way, Ready to move,2,1,"S$ 3,800 /mo",EW15 Tanjong Pagar MRT Station,0.30 km
6,Spottiswoode 18,Partially Furnished Condominium,657 sqft ,18 Spottiswoode Park Road, Ready to move,2,2,"S$ 3,000 /mo",EW15 Tanjong Pagar MRT Station,0.94 km
7,The Sail @ Marina Bay,Partially Furnished Apartment,1389 sqft ,2 Marina Boulevard, Ready to move,3,2,"S$ 6,499 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
8,The Sail @ Marina Bay,Fully Furnished Apartment,883 sqft ,2 Marina Boulevard, Ready to move,2,2,"S$ 5,700 /mo",EW15 Tanjong Pagar MRT Station,0.95 km
9,Eon Shenton,Partially Furnished Condominium,538 sqft ,70 Shenton Way, Ready to move,2,1,"S$ 4,000 /mo",EW15 Tanjong Pagar MRT Station,0.30 km
