0,The Clift,Fully Furnished Apartment,829 sqft ,21 McCallum Street, Available from 12 Apr,1,1,"S$ 5,300 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
1,Pearl Bank Apartment,Fully Furnished Apartment,250 sqft ,1 Pearl Bank, Ready to move,Room,0,"S$ 1,350 /mo",EW15 Tanjong Pagar MRT Station,0.97 km
2,Pearl Bank Apartment,Fully Furnished Apartment,150 sqft ,1 Pearl Bank, S$ 7.33 psf,1,1,"S$ 1,100 /mo",EW15 Tanjong Pagar MRT Station,0.97 km
3,Five On Shenton (V On Shenton),Fully Furnished Condominium,441 sqft ,5 Shenton Way, Ready to move,Studio,0,"S$ 3,300 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
4,Five On Shenton (V On Shenton),Condominium,958 sqft ,5A Shenton Way, Ready to move,2,2,"S$ 4,499 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
5,Five On Shenton (V On Shenton),Condominium,883 sqft ,5 Shenton Way, Ready to move,2,2,"S$ 3,999 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
6,Five On Shenton (V On Shenton),Condominium,743 sqft ,5 Shenton Way, Ready to move,1,1,"S$ 3,499 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
7,Five On Shenton (V On Shenton),Condominium,721 sqft ,5 Shenton Way, Ready to move,1,1,"S$ 3,599 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
8,Five On Shenton (V On Shenton),Condominium,452 sqft ,5 Shenton Way, Ready to move,Studio,0,"S$ 2,799 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
9,Five On Shenton (V On Shenton),Condominium,441 sqft ,5 Shenton Way, Ready to move,Studio,0,"S$ 2,799 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
10,Five On Shenton (V On Shenton),Condominium,1528 sqft ,5 Shenton Way, Ready to move,3,2,"S$ 6,499 /mo",EW15 Tanjong Pagar MRT Station,0.37 km
11,Five On Shenton (V On Shenton),Condominium,484 sqft ,5 Shenton Way, Ready to move,1,1,"S$ 2,799 /mo",EW15 Tanjong Pagar MRT Station,0.35 km
