0,Emerald Garden,Partially Furnished Condominium,958 sqft ,(within 0.90 km), Ready to move,2,2,"S$ 3,600 /mo",EW16 Outram Park MRT Station,0.90 km
1,Altez,Partially Furnished Condominium,753 sqft ,16 Enggor Street, Ready to move,1,1,"S$ 4,900 /mo",EW16 Outram Park MRT Station,0.99 km
2,Spottiswoode Residences,Fully Furnished Condominium,604 sqft ,48 Spottiswoode Park Road, Ready to move,1,1,"S$ 3,100 /mo",EW16 Outram Park MRT Station,0.75 km
3,Spottiswoode Residences,Fully Furnished Condominium,603 sqft ,48 Spottiswoode Park Road, Ready to move,1,1,"S$ 3,000 /mo",EW16 Outram Park MRT Station,0.75 km
4,Spottiswoode Residences,Partially Furnished Condominium,797 sqft ,48 Spottiswoode Park Road, Ready to move,2,2,"S$ 3,750 /mo",EW16 Outram Park MRT Station,0.75 km
5,Spottiswoode Residences,Fully Furnished Condominium,605 sqft ,48 Spottiswoode Park Road, Ready to move,1,1,"S$ 2,900 /mo",EW16 Outram Park MRT Station,0.75 km
6,River Place,Partially Furnished Condominium,1658 sqft ,62 Havelock Road, Ready to move,3,3,"S$ 6,880 /mo",EW16 Outram Park MRT Station,0.92 km
7,Icon,Fully Furnished Apartment,570 sqft ,10 Gopeng Street, Available from 30 Apr,1,1,"S$ 3,000 /mo",EW16 Outram Park MRT Station,0.97 km
8,1 Tanjong Pagar Plaza,Partially Furnished HDB Apartment,720 sqft ,1 Tanjong Pagar Plaza, Ready to move,2,2,"S$ 2,600 /mo",EW16 Outram Park MRT Station,0.85 km
9,Emerald Garden,Fully Furnished Condominium,1001 sqft ,33 Club Street, Available from 27 Apr,2,2,"S$ 3,999 /mo",EW16 Outram Park MRT Station,0.90 km
10,Icon,Fully Furnished Apartment,1060 sqft ,10 Gopeng Street, Available from 16 Apr,2,2,"S$ 5,200 /mo",EW16 Outram Park MRT Station,0.97 km
11,Emerald Garden,Unfurnished Condominium,1313 sqft ,(within 0.90 km), Available from 1 May,3,3,"S$ 5,100 /mo",EW16 Outram Park MRT Station,0.90 km
12,127D Kim Tian Road,Fully Furnished HDB Apartment,250 sqft ,127D Kim Tian Road, Ready to move,Room,0,S$ 900 /mo,EW16 Outram Park MRT Station,0.96 km
13,Pinnacle @ Duxton,Fully Furnished HDB Apartment,966 sqft ,1 Cantonment Road, Available from 15 Apr,2,2,"S$ 3,500 /mo",EW16 Outram Park MRT Station,0.73 km
14,Skysuites @ Anson,Fully Furnished Condominium,699 sqft ,8 Enggor Street, Ready to move,1,1,"S$ 3,900 /mo",EW16 Outram Park MRT Station,0.99 km
15,Icon,Apartment,581 sqft ,10 Gopeng Street, Ready to move,1,1,"S$ 3,000 /mo",EW16 Outram Park MRT Station,0.97 km
16,Emerald Garden,Partially Furnished Condominium,829 sqft ,33 Club Street, Ready to move,2,1,"S$ 3,700 /mo",EW16 Outram Park MRT Station,0.90 km
17,Skysuites @ Anson,Fully Furnished Condominium,399 sqft ,8 Enggor Street, Ready to move,1,1,"S$ 3,090 /mo",EW16 Outram Park MRT Station,0.99 km
18,River Place,Fully Furnished Condominium,1033 sqft ,60 Havelock Road, Ready to move,2,2,"S$ 3,999 /mo",EW16 Outram Park MRT Station,0.92 km
19,River Place,Partially Furnished Condominium,1323 sqft ,60 Havelock Road, Ready to move,3,2,"S$ 5,000 /mo",EW16 Outram Park MRT Station,0.92 km
20,Altez,Partially Furnished Condominium,850 sqft ,16 Enggor Street, Available from 17 Apr,1,1,"S$ 5,000 /mo",EW16 Outram Park MRT Station,0.99 km
21,Onze @ Tanjong Pagar,Fully Furnished Apartment,656 sqft ,11 Kee Seng Street, Ready to move,2,1,"S$ 3,300 /mo",EW16 Outram Park MRT Station,0.82 km
0,Onze @ Tanjong Pagar,Partially Furnished Apartment,480 sqft ,11 Kee Seng Street, Ready to move,1,1,"S$ 2,700 /mo",EW16 Outram Park MRT Station,0.82 km
1,Icon,Partially Furnished Apartment,904 sqft ,10 Gopeng Street, Ready to move,2,2,"S$ 5,000 /mo",EW16 Outram Park MRT Station,0.97 km
2,River Place,Fully Furnished Condominium,1055 sqft ,60 Havelock Road, Ready to move,2,2,"S$ 4,500 /mo",EW16 Outram Park MRT Station,0.92 km
3,Icon,Fully Furnished Apartment,581 sqft ,10 Gopeng Street, Ready to move,1,1,"S$ 3,700 /mo",EW16 Outram Park MRT Station,0.97 km
4,Spottiswoode Residences,Fully Furnished Condominium,603 sqft ,48 Spottiswoode Park Road, S$ 5.31 psf,1,1,"S$ 3,199 /mo",EW16 Outram Park MRT Station,0.75 km
5,Spottiswoode 18,Partially Furnished Condominium,657 sqft ,18 Spottiswoode Park Road, Ready to move,2,2,"S$ 3,000 /mo",EW16 Outram Park MRT Station,0.68 km
6,Icon,Partially Furnished Apartment,904 sqft ,10 Gopeng Street, Ready to move,2,2,"S$ 4,700 /mo",EW16 Outram Park MRT Station,0.97 km
7,River Place,Fully Furnished Condominium,1700 sqft ,60 Havelock Road, Ready to move,3,3,"S$ 6,800 /mo",EW16 Outram Park MRT Station,0.92 km
8,Icon,Apartment,581 sqft ,10 Gopeng Street, Ready to move,1,1,"S$ 3,500 /mo",EW16 Outram Park MRT Station,0.97 km
9,Altez,Fully Furnished Condominium,549 sqft ,16 Enggor Street, Ready to move,1,1,"S$ 3,800 /mo",EW16 Outram Park MRT Station,0.99 km
10,Icon,Unfurnished Apartment,904 sqft ,10 Gopeng Street, Ready to move,2,1,"S$ 4,500 /mo",EW16 Outram Park MRT Station,0.97 km
11,Spottiswoode 18,Partially Furnished Condominium,657 sqft ,18 Spottiswoode Park Road, Ready to move,2,2,"S$ 3,300 /mo",EW16 Outram Park MRT Station,0.68 km
