0,Skysuites @ Anson,Partially Furnished Condominium,1001 sqft ,8 Enggor Street, Ready to move,3,3,"S$ 6,500 /mo",EW16 Outram Park MRT Station,0.99 km
1,Skysuites @ Anson,Fully Furnished Condominium,365 sqft ,8 Enggor Street, Ready to move,Studio,0,"S$ 2,900 /mo",EW16 Outram Park MRT Station,0.99 km
2,Skysuites @ Anson,Fully Furnished Condominium,699 sqft ,8 Enggor Street, Ready to move,2,2,"S$ 4,300 /mo",EW16 Outram Park MRT Station,0.99 km
3,Pearl's Hill Terrace,Fully Furnished Apartment,160 sqft ,201 Pearl's Hill Terrace, Ready to move,2,1,"S$ 1,700 /mo",EW16 Outram Park MRT Station,0.47 km
4,10 Jalan Bukit Ho Swee,Fully Furnished HDB Apartment,336 sqft ,10 Jalan Bukit Ho Swee, Ready to move,1,1,"S$ 2,400 /mo",EW16 Outram Park MRT Station,0.95 km
5,Craig Place,Partially Furnished Apartment,570 sqft ,(within 0.55 km), Ready to move,1,1,"S$ 2,900 /mo",EW16 Outram Park MRT Station,0.55 km
6,10 Jalan Bukit Ho Swee,HDB Apartment,377 sqft ,10 Jalan Bukit Ho Swee, Ready to move,1,1,"S$ 2,000 /mo",EW16 Outram Park MRT Station,0.95 km
7,Altez,Partially Furnished Condominium,1173 sqft ,16 Enggor Street, Available from 1 Jun,2,2,"S$ 6,100 /mo",EW16 Outram Park MRT Station,0.99 km
8,Pearl's Hill Terrace,Fully Furnished Apartment,526 sqft ,201 Pearl's Hill Terrace, Ready to move,2,1,"S$ 1,905 /mo",EW16 Outram Park MRT Station,0.47 km
9,Altez,Partially Furnished Condominium,1109 sqft ,16 Enggor Street, Ready to move,2,2,"S$ 7,000 /mo",EW16 Outram Park MRT Station,0.99 km
10,Spottiswoode Residences,Partially Furnished Condominium,603 sqft ,48 Spottiswoode Park Road, Ready to move,1,1,"S$ 3,300 /mo",EW16 Outram Park MRT Station,0.75 km
11,Spottiswoode Residences,Condominium,797 sqft ,48 Spottiswoode Park Road, Available from 1 May,2,2,"S$ 4,350 /mo",EW16 Outram Park MRT Station,0.75 km
12,3 Tanjong Pagar Plaza,Partially Furnished HDB Apartment,635 sqft ,3 Tanjong Pagar Plaza, Available from 26 Jun,2,2,"S$ 2,600 /mo",EW16 Outram Park MRT Station,0.76 km
13,Pinnacle @ Duxton,Fully Furnished HDB Apartment,130 sqft ,1 Cantonment Road, Ready to move,Room,0,"S$ 1,200 /mo",EW16 Outram Park MRT Station,0.73 km
14,7 Tanjong Pagar Plaza,Fully Furnished HDB Apartment,893 sqft ,7 Tanjong Pagar Plaza, Ready to move,3,2,"S$ 3,000 /mo",EW16 Outram Park MRT Station,0.71 km
15,34 Kim Cheng Street,Partially Furnished HDB Apartment,947 sqft ,34 Kim Cheng Street, Ready to move,2,1,"S$ 3,500 /mo",EW16 Outram Park MRT Station,0.88 km
16,46 Seng Poh Road,Fully Furnished HDB Apartment,947 sqft ,46 Seng Poh Road, Ready to move,2,1,"S$ 3,300 /mo",EW16 Outram Park MRT Station,0.85 km
17,73 Eng Watt Street,Fully Furnished Walk-up,1000 sqft ,73 Eng Watt Street, Ready to move,2,1,"S$ 4,500 /mo",EW16 Outram Park MRT Station,0.73 km
18,79 Chay Yan Street,Partially Furnished Walk-up,1894 sqft ,(within 0.88 km), Available from 24 May,4,2,"S$ 7,500 /mo",EW16 Outram Park MRT Station,0.88 km
19,56 Eng Hoon Street,Fully Furnished Walk-up,1005 sqft ,56 Eng Hoon Street, Ready to move,3,1,"S$ 3,600 /mo",EW16 Outram Park MRT Station,0.62 km
0,3 Tanjong Pagar Plaza,Fully Furnished HDB Apartment,635 sqft ,3 Tanjong Pagar Plaza, Ready to move,2,2,"S$ 2,250 /mo",EW16 Outram Park MRT Station,0.76 km
