0,Highline Residences,Partially Furnished Condominium,506 sqft ,1 Kim Tian Road, Ready to move,1,1,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.38 km
1,Jervois Mansions,Partially Furnished Condominium,2600 sqft ,18 Jervois Road, Ready to move,3,3,"S$ 7,800 /mo",EW17 Tiong Bahru MRT Station,0.87 km
2,Valley Park,Partially Furnished Condominium,1722 sqft ,477 River Valley Road, Ready to move,3,3,"S$ 5,800 /mo",EW17 Tiong Bahru MRT Station,0.87 km
3,RV Residences,Fully Furnished Condominium,678 sqft ,467 River Valley Road, Ready to move,2,2,"S$ 3,200 /mo",EW17 Tiong Bahru MRT Station,0.95 km
4,Mill Point,Fully Furnished Apartment,530 sqft ,3 Zion Close, Available from 15 Apr,Studio,0,"S$ 3,000 /mo",EW17 Tiong Bahru MRT Station,0.88 km
5,Nathan Residences,Fully Furnished Condominium,840 sqft ,25 Nathan Road, Ready to move,1,1,"S$ 3,000 /mo",EW17 Tiong Bahru MRT Station,0.95 km
6,RV Residences,Fully Furnished Condominium,678 sqft ,467 River Valley Road, Ready to move,2,2,"S$ 3,800 /mo",EW17 Tiong Bahru MRT Station,0.95 km
7,Highline Residences,Partially Furnished Condominium,700 sqft ,1 Kim Tian Road, Ready to move,2,1,"S$ 3,900 /mo",EW17 Tiong Bahru MRT Station,0.38 km
8,Regency Suites,Fully Furnished Condominium,1421 sqft ,36 Kim Tian Road, Ready to move,3,3,"S$ 5,600 /mo",EW17 Tiong Bahru MRT Station,0.27 km
9,RV Residences,Partially Furnished Condominium,688 sqft ,471 River Valley Road, Ready to move,2,2,"S$ 3,100 /mo",EW17 Tiong Bahru MRT Station,0.96 km
10,Emerald Park,Fully Furnished Condominium,1210 sqft ,2 Indus Road, Ready to move,3,3,"S$ 3,600 /mo",EW17 Tiong Bahru MRT Station,0.45 km
11,RV Residences,Fully Furnished Condominium,689 sqft ,465 River Valley Road, Ready to move,2,2,"S$ 3,388 /mo",EW17 Tiong Bahru MRT Station,0.95 km
12,RV Residences,Fully Furnished Condominium,678 sqft ,463 River Valley Road, Ready to move,2,2,"S$ 3,200 /mo",EW17 Tiong Bahru MRT Station,0.95 km
13,Highline Residences,Partially Furnished Condominium,506 sqft ,1 Kim Tian Road, Ready to move,1,1,"S$ 3,000 /mo",EW17 Tiong Bahru MRT Station,0.38 km
14,Highline Residences,Partially Furnished Condominium,667 sqft ,1 Kim Tian Road, Ready to move,2,1,"S$ 4,300 /mo",EW17 Tiong Bahru MRT Station,0.38 km
15,Highline Residences,Partially Furnished Condominium,506 sqft ,1 Kim Tian Road, Ready to move,1,1,"S$ 3,200 /mo",EW17 Tiong Bahru MRT Station,0.38 km
16,Highline Residences,Condominium,915 sqft ,9 Kim Tian Road, Ready to move,3,2,"S$ 5,000 /mo",EW17 Tiong Bahru MRT Station,0.38 km
17,Highline Residences,Partially Furnished Condominium,667 sqft ,1 Kim Tian Road, Ready to move,2,2,"S$ 4,300 /mo",EW17 Tiong Bahru MRT Station,0.38 km
18,Meraprime,Fully Furnished Condominium,1098 sqft ,301 Jalan Bukit Ho Swee, Ready to move,3,3,"S$ 5,150 /mo",EW17 Tiong Bahru MRT Station,0.14 km
19,Central Green,Condominium,1292 sqft ,1 Jalan Membina, Ready to move,3,3,"S$ 4,500 /mo",EW17 Tiong Bahru MRT Station,0.13 km
0,Highline Residences,Condominium,700 sqft ,9 Kim Tian Road, Ready to move,2,1,"S$ 4,000 /mo",EW17 Tiong Bahru MRT Station,0.38 km
1,125 Kim Tian Road,Partially Furnished HDB Apartment,1119 sqft ,125 Kim Tian Road, Available from 30 May,3,2,"S$ 2,950 /mo",EW17 Tiong Bahru MRT Station,0.29 km
2,127D Kim Tian Road,Fully Furnished HDB Apartment,250 sqft ,127D Kim Tian Road, Ready to move,Room,0,S$ 900 /mo,EW17 Tiong Bahru MRT Station,0.64 km
3,129 Kim Tian Road,Partially Furnished HDB Apartment,950 sqft ,129 Kim Tian Road, Ready to move,3,1,"S$ 2,600 /mo",EW17 Tiong Bahru MRT Station,0.58 km
4,40 Beo Crescent,Fully Furnished HDB Apartment,650 sqft ,40 Beo Crescent, Available from 1 May,2,1,"S$ 1,900 /mo",EW17 Tiong Bahru MRT Station,0.35 km
5,Nathan Residences,Partially Furnished Condominium,592 sqft ,25 Nathan Road, S$ 5.23 psf,1,2,"S$ 3,099 /mo",EW17 Tiong Bahru MRT Station,0.95 km
6,Highline Residences,Partially Furnished Condominium,506 sqft ,7 Kim Tian Road, Ready to move,1,1,"S$ 3,500 /mo",EW17 Tiong Bahru MRT Station,0.38 km
7,105 Henderson Crescent,Fully Furnished HDB Apartment,699 sqft ,105 Henderson Crescent, Ready to move,3,2,"S$ 1,800 /mo",EW17 Tiong Bahru MRT Station,0.68 km
8,1+1 Blk 132 Jalan Bukit Merah,Fully Furnished HDB Apartment,280 sqft ,1+1 Blk 132 Jalan Bukit Merah, Available from 1 Jun,1,1,"S$ 1,200 /mo",EW17 Tiong Bahru MRT Station,0.79 km
9,Highline Residences,Partially Furnished Condominium,1152 sqft ,1 Kim Tian Road, Ready to move,3,3,"S$ 6,000 /mo",EW17 Tiong Bahru MRT Station,0.38 km
10,PRICE REDUCED! 4 BEDROOM W/ BALCONY | GREAT WORLD CITY | PARK CONNECTOR,Partially Furnished Condominium,1841 sqft ,Jervois enclave, Ready to move,4,4,"S$ 7,000 /mo",EW17 Tiong Bahru MRT Station,0.77 km
11,Highline Residences,Partially Furnished Condominium,700 sqft ,9 Kim Tian Road, S$ 6.43 psf,2,1,"S$ 4,500 /mo",EW17 Tiong Bahru MRT Station,0.38 km
12,Jervois Lodge,Partially Furnished Condominium,1238 sqft ,32 Jervois Road, Ready to move,3,3,"S$ 3,899 /mo",EW17 Tiong Bahru MRT Station,0.96 km
13,Highline Residences,Partially Furnished Condominium,506 sqft ,9 Kim Tian Road, Ready to move,1,1,"S$ 3,400 /mo",EW17 Tiong Bahru MRT Station,0.38 km
14,46 Jalan Bukit Ho Swee,Fully Furnished HDB Apartment,667 sqft ,46 Jalan Bukit Ho Swee, Ready to move,3,1,"S$ 2,000 /mo",EW17 Tiong Bahru MRT Station,0.27 km
15,Highline Residences,Partially Furnished Condominium,743 sqft ,1 Kim Tian Road, Ready to move,2,2,"S$ 4,000 /mo",EW17 Tiong Bahru MRT Station,0.38 km
16,119 Bukit Merah View,Fully Furnished HDB Apartment,689 sqft ,119 Bukit Merah View, Ready to move,2,1,"S$ 2,200 /mo",EW17 Tiong Bahru MRT Station,0.73 km
17,Highline Residences,Partially Furnished Condominium,1109 sqft ,1 Kim Tian Road, Ready to move,3,3,"S$ 5,700 /mo",EW17 Tiong Bahru MRT Station,0.38 km
18,One Jervois,Partially Furnished Condominium,1841 sqft ,11 Jervois Close, Available from 15 Apr,4,4,"S$ 7,000 /mo",EW17 Tiong Bahru MRT Station,0.78 km
19,Highline Residences,Partially Furnished Condominium,915 sqft ,9 Kim Tian Road, Ready to move,3,2,"S$ 4,900 /mo",EW17 Tiong Bahru MRT Station,0.38 km
0,Highline Residences,Fully Furnished Condominium,506 sqft ,7 Kim Tian Road, Ready to move,1,1,"S$ 3,400 /mo",EW17 Tiong Bahru MRT Station,0.38 km
1,Highline Residences,Condominium,1087 sqft ,1 Kim Tian Road, Ready to move,3,2,"S$ 5,800 /mo",EW17 Tiong Bahru MRT Station,0.38 km
2,Highline Residences,Condominium,635 sqft ,1 Kim Tian Road, Ready to move,2,1,"S$ 4,200 /mo",EW17 Tiong Bahru MRT Station,0.38 km
3,The Crest,Partially Furnished Condominium,1130 sqft ,101 Prince Charles Crescent, Ready to move,3,3,"S$ 5,000 /mo",EW17 Tiong Bahru MRT Station,0.72 km
4,Highline Residences,Condominium,506 sqft ,1 Kim Tian Road, Ready to move,1,1,"S$ 3,400 /mo",EW17 Tiong Bahru MRT Station,0.38 km
