0,Lotus At Jervois,Fully Furnished Condominium,1431 sqft ,31 Jervois Road, Ready to move,4,3,"S$ 5,950 /mo",EW17 Tiong Bahru MRT Station,0.85 km
1,127D Kim Tian Road,Partially Furnished HDB Apartment,947 sqft ,127D Kim Tian Road, Ready to move,3,2,"S$ 2,680 /mo",EW17 Tiong Bahru MRT Station,0.64 km
2,119 Bukit Merah View,Fully Furnished HDB Apartment,125 sqft ,119 Bukit Merah View, Available from 20 Apr,Room,0,S$ 750 /mo,EW17 Tiong Bahru MRT Station,0.73 km
3,Jervois Lodge,Unfurnished Condominium,1216 sqft ,32 Jervois Road, Ready to move,3,2,"S$ 4,000 /mo",EW17 Tiong Bahru MRT Station,0.96 km
4,The Crest,Partially Furnished Condominium,1225 sqft ,101 Prince Charles Crescent, Ready to move,3,3,"S$ 5,100 /mo",EW17 Tiong Bahru MRT Station,0.72 km
5,Central Green,Fully Furnished Condominium,764 sqft ,9 Jalan Membina, Ready to move,1,1,"S$ 3,000 /mo",EW17 Tiong Bahru MRT Station,0.13 km
6,Jervois Mansions,Partially Furnished Condominium,3000 sqft ,18 Jervois Road, Ready to move,3,2,"S$ 9,250 /mo",EW17 Tiong Bahru MRT Station,0.87 km
7,4 Jalan Bukit Ho Swee,Fully Furnished HDB Apartment,636 sqft ,4 Jalan Bukit Ho Swee, Ready to move,2,2,"S$ 2,000 /mo",EW17 Tiong Bahru MRT Station,0.48 km
8,Central Green,Fully Furnished Condominium,1292 sqft ,1 Jalan Membina, Available from 30 Apr,3,3,"S$ 4,600 /mo",EW17 Tiong Bahru MRT Station,0.13 km
9,Twin Regency,Fully Furnished Condominium,1216 sqft ,28 Kim Tian Road, Available from 1 Jul,3,3,"S$ 5,600 /mo",EW17 Tiong Bahru MRT Station,0.23 km
10,Zenith @ Zion,Apartment,570 sqft ,60 Zion Road, Ready to move,1,1,"S$ 3,050 /mo",EW17 Tiong Bahru MRT Station,0.84 km
11,Mill Point,Fully Furnished Apartment,600 sqft ,3 Zion Close, Ready to move,1,1,"S$ 2,800 /mo",EW17 Tiong Bahru MRT Station,0.88 km
12,Eng Hoon Mansions,Fully Furnished Apartment,300 sqft ,17 Eng Hoon Street, S$ 7.33 psf,Studio,0,"S$ 2,200 /mo",EW17 Tiong Bahru MRT Station,0.90 km
