0,Alex Residences,Partially Furnished Apartment,1023 sqft ,Alexandra View, Ready to move,3,3,"S$ 4,300 /mo",EW18 Redhill MRT Station,0.06 km
1,Alex Residences,Partially Furnished Apartment,657 sqft ,Alexandra View, Ready to move,2,2,"S$ 3,200 /mo",EW18 Redhill MRT Station,0.06 km
2,Jervois Mansions,Partially Furnished Condominium,2600 sqft ,18 Jervois Road, Ready to move,3,3,"S$ 7,800 /mo",EW18 Redhill MRT Station,0.95 km
3,Alex Residences,Partially Furnished Apartment,1044 sqft ,28 Alexandra View, Ready to move,3,3,"S$ 5,500 /mo",EW18 Redhill MRT Station,0.11 km
4,Tanglin View,Fully Furnished Condominium,880 sqft ,150 Prince Charles Crescent, Ready to move,2,2,"S$ 3,350 /mo",EW18 Redhill MRT Station,0.28 km
5,Ascentia Sky,Fully Furnished Apartment,1474 sqft ,1 Alexandra View, Ready to move,3,3,"S$ 5,500 /mo",EW18 Redhill MRT Station,0.23 km
6,Ascentia Sky,Partially Furnished Apartment,1001 sqft ,1 Alexandra View, Ready to move,2,2,"S$ 3,999 /mo",EW18 Redhill MRT Station,0.23 km
7,9 Jalan Rumah Tinggi,Fully Furnished HDB Apartment,1463 sqft ,9 Jalan Rumah Tinggi, Available from 1 May,3,2,"S$ 2,700 /mo",EW18 Redhill MRT Station,0.94 km
8,Alex Residences,Partially Furnished Apartment,1008 sqft ,Alexandra View, Ready to move,3,2,"S$ 4,300 /mo",EW18 Redhill MRT Station,0.06 km
9,59 Strathmore Avenue,Fully Furnished HDB Apartment,1184 sqft ,59 Strathmore Avenue, Ready to move,3,2,"S$ 2,900 /mo",EW18 Redhill MRT Station,0.74 km
10,105 Henderson Crescent,Fully Furnished HDB Apartment,699 sqft ,105 Henderson Crescent, Ready to move,3,2,"S$ 1,800 /mo",EW18 Redhill MRT Station,0.64 km
11,Alex Residences,Partially Furnished Apartment,678 sqft ,Alexandra View, Ready to move,2,2,"S$ 3,650 /mo",EW18 Redhill MRT Station,0.06 km
12,Jervois Lodge,Partially Furnished Condominium,1238 sqft ,32 Jervois Road, Ready to move,3,3,"S$ 3,899 /mo",EW18 Redhill MRT Station,0.89 km
13,119 Bukit Merah View,Fully Furnished HDB Apartment,689 sqft ,119 Bukit Merah View, Ready to move,2,1,"S$ 2,200 /mo",EW18 Redhill MRT Station,0.83 km
14,Ascentia Sky,Partially Furnished Apartment,1475 sqft ,3 Alexandra View, Available from 16 Apr,3,3,"S$ 6,000 /mo",EW18 Redhill MRT Station,0.23 km
15,One Jervois,Partially Furnished Condominium,1841 sqft ,11 Jervois Close, Available from 15 Apr,4,4,"S$ 7,000 /mo",EW18 Redhill MRT Station,0.97 km
16,Alex Residences,Partially Furnished Apartment,925 sqft ,Alexandra View, Ready to move,3,2,"S$ 4,600 /mo",EW18 Redhill MRT Station,0.06 km
17,Ascentia Sky,Partially Furnished Apartment,1475 sqft ,1 Alexandra View, Ready to move,3,3,"S$ 5,700 /mo",EW18 Redhill MRT Station,0.23 km
18,The Crest,Partially Furnished Condominium,1130 sqft ,101 Prince Charles Crescent, Ready to move,3,3,"S$ 5,000 /mo",EW18 Redhill MRT Station,0.74 km
19,Alex Residences,Partially Furnished Condominium,1108 sqft ,28 Alexandra View, Ready to move,3,3,"S$ 4,300 /mo",EW18 Redhill MRT Station,0.11 km
0,Alex Residences,Fully Furnished Apartment,656 sqft ,Alexandra View, Ready to move,2,2,"S$ 3,500 /mo",EW18 Redhill MRT Station,0.06 km
1,Alex Residences,Fully Furnished Apartment,657 sqft ,28 Alexandra View, Ready to move,2,2,"S$ 3,400 /mo",EW18 Redhill MRT Station,0.11 km
