0,Alex Residences,Partially Furnished Apartment,678 sqft ,Alexandra View, Ready to move,2,2,"S$ 4,500 /mo",EW18 Redhill MRT Station,0.06 km
1,164 Bukit Merah Central,Partially Furnished HDB Apartment,667 sqft ,164 Bukit Merah Central, Ready to move,2,1,"S$ 2,200 /mo",EW18 Redhill MRT Station,0.70 km
2,Jervois Lodge,Fully Furnished Condominium,250 sqft ,34 Jervois Road, Ready to move,Room,0,"S$ 1,200 /mo",EW18 Redhill MRT Station,0.89 km
3,Jervois Mansions,Partially Furnished Condominium,3000 sqft ,18 Jervois Road, Ready to move,3,3,"S$ 9,250 /mo",EW18 Redhill MRT Station,0.95 km
4,JJ's Residences @ Jervois,Fully Furnished Apartment,550 sqft ,29 Jervois Road, S$ 6.36 psf,2,1,"S$ 3,500 /mo",EW18 Redhill MRT Station,0.89 km
5,Alex Residences,Partially Furnished Apartment,1044 sqft ,Alexandra View, Ready to move,3,3,"S$ 4,900 /mo",EW18 Redhill MRT Station,0.06 km
6,53 Lengkok Bahru,Fully Furnished HDB Apartment,903 sqft ,53 Lengkok Bahru, Ready to move,3,2,"S$ 2,500 /mo",EW18 Redhill MRT Station,0.37 km
7,36 Jalan Rumah Tinggi,Fully Furnished HDB Apartment,150 sqft ,36 Jalan Rumah Tinggi, Ready to move,1,1,S$ 750 /mo,EW18 Redhill MRT Station,0.89 km
8,The Crest,Partially Furnished Condominium,1184 sqft ,103 Prince Charles Crescent, Ready to move,3,2,"S$ 5,300 /mo",EW18 Redhill MRT Station,0.74 km
9,Echelon,Partially Furnished Condominium,732 sqft ,9 Alexandra View, S$ 4.92 psf,2,2,"S$ 3,600 /mo",EW18 Redhill MRT Station,0.20 km
10,The Metropolitan Condominium,Partially Furnished Condominium,721 sqft ,6 Alexandra View, S$ 4.58 psf,2,1,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.12 km
11,Tanglin Regency,Fully Furnished Condominium,850 sqft ,383 Tanglin Road, Ready to move,2,2,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.25 km
12,The Metropolitan Condominium,Partially Furnished Condominium,840 sqft ,6 Alexandra View, Ready to move,2,2,"S$ 3,200 /mo",EW18 Redhill MRT Station,0.12 km
13,The Metropolitan Condominium,Fully Furnished Condominium,1399 sqft ,8 Alexandra View, Ready to move,3,3,"S$ 5,000 /mo",EW18 Redhill MRT Station,0.12 km
