0,59 Strathmore Avenue,Fully Furnished HDB Apartment,200 sqft ,59 Strathmore Avenue, S$ 4.95 psf,Room,0,S$ 990 /mo,EW19 Queenstown MRT Station,0.56 km
1,Shepard's Hill Estate,Partially Furnished Detached House,"1206 sqft, 5338 sqft (land) ",(within 0.40 km), Ready to move,4,3,"S$ 6,000 /mo",EW19 Queenstown MRT Station,0.40 km
2,59 Strathmore Avenue,Fully Furnished HDB Apartment,1184 sqft ,59 Strathmore Avenue, Ready to move,3,2,"S$ 2,900 /mo",EW19 Queenstown MRT Station,0.56 km
3,170 Stirling Road,Fully Furnished HDB Apartment,645 sqft ,170 Stirling Road, Ready to move,2,1,"S$ 2,000 /mo",EW19 Queenstown MRT Station,0.52 km
4,Commonwealth Towers,Fully Furnished Condominium,441 sqft ,commonwealth Avenue, S$ 5.33 psf,1,1,"S$ 2,350 /mo",EW19 Queenstown MRT Station,0.11 km
5,Commonwealth Towers,Condominium,452 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,250 /mo",EW19 Queenstown MRT Station,0.11 km
6,Commonwealth Towers,Condominium,700 sqft ,232 Commonwealth Avenue, Ready to move,2,2,"S$ 3,250 /mo",EW19 Queenstown MRT Station,0.06 km
7,Commonwealth Towers,Condominium,654 sqft ,230 Commonwealth Avenue, Ready to move,2,2,"S$ 3,200 /mo",EW19 Queenstown MRT Station,0.24 km
8,Commonwealth Towers,Condominium,452 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,300 /mo",EW19 Queenstown MRT Station,0.11 km
9,Commonwealth Towers,Condominium,689 sqft ,commonwealth Avenue, Ready to move,2,2,"S$ 3,000 /mo",EW19 Queenstown MRT Station,0.11 km
10,Commonwealth Towers,Condominium,452 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,200 /mo",EW19 Queenstown MRT Station,0.11 km
11,Commonwealth Towers,Condominium,484 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,200 /mo",EW19 Queenstown MRT Station,0.11 km
12,Commonwealth Towers,Condominium,797 sqft ,commonwealth Avenue, Ready to move,2,2,"S$ 3,200 /mo",EW19 Queenstown MRT Station,0.11 km
13,Commonwealth Towers,Condominium,689 sqft ,commonwealth Avenue, Ready to move,2,2,"S$ 3,300 /mo",EW19 Queenstown MRT Station,0.11 km
14,Commonwealth Towers,Condominium,474 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,400 /mo",EW19 Queenstown MRT Station,0.11 km
15,Commonwealth Towers,Fully Furnished Condominium,463 sqft ,commonwealth Avenue, Ready to move,1,1,"S$ 2,500 /mo",EW19 Queenstown MRT Station,0.11 km
16,Commonwealth Towers,Partially Furnished Condominium,700 sqft ,commonwealth Avenue, Ready to move,2,2,"S$ 3,300 /mo",EW19 Queenstown MRT Station,0.11 km
17,Commonwealth Towers,Partially Furnished Condominium,1055 sqft ,commonwealth Avenue, Ready to move,3,2,"S$ 4,500 /mo",EW19 Queenstown MRT Station,0.11 km
18,Commonwealth Towers,Partially Furnished Condominium,1302 sqft ,commonwealth Avenue, Ready to move,4,4,"S$ 5,250 /mo",EW19 Queenstown MRT Station,0.11 km
19,Alexis,Partially Furnished Apartment,711 sqft ,356 Alexandra Road, Ready to move,2,1,"S$ 2,800 /mo",EW19 Queenstown MRT Station,0.39 km
20,Commonwealth Towers,Partially Furnished Condominium,797 sqft ,232 Commonwealth Avenue, Ready to move,2,2,"S$ 3,200 /mo",EW19 Queenstown MRT Station,0.03 km
21,Commonwealth Towers,Partially Furnished Condominium,700 sqft ,232 Commonwealth Avenue, Ready to move,2,2,"S$ 3,250 /mo",EW19 Queenstown MRT Station,0.12 km
0,Commonwealth Towers,Partially Furnished Condominium,485 sqft ,232 Commonwealth Avenue, Ready to move,1,1,"S$ 2,300 /mo",EW19 Queenstown MRT Station,0.12 km
1,Commonwealth Towers,Partially Furnished Condominium,474 sqft ,232 Commonwealth Avenue, Ready to move,1,1,"S$ 2,200 /mo",EW19 Queenstown MRT Station,0.03 km
2,Commonwealth Towers,Partially Furnished Condominium,754 sqft ,232 Commonwealth Avenue, Ready to move,2,2,"S$ 3,200 /mo",EW19 Queenstown MRT Station,0.12 km
3,Commonwealth Towers,Partially Furnished Condominium,1076 sqft ,232 Commonwealth Avenue, Ready to move,3,2,"S$ 4,000 /mo",EW19 Queenstown MRT Station,0.03 km
4,Commonwealth Towers,Partially Furnished Condominium,1302 sqft ,232 Commonwealth Avenue, Ready to move,4,3,"S$ 5,200 /mo",EW19 Queenstown MRT Station,0.03 km
5,Commonwealth Towers,Partially Furnished Condominium,797 sqft ,232 Commonwealth Avenue, Ready to move,2,2,"S$ 3,200 /mo",EW19 Queenstown MRT Station,0.03 km
6,Commonwealth Towers,Partially Furnished Condominium,486 sqft ,230 Commonwealth Avenue, Ready to move,1,1,"S$ 2,300 /mo",EW19 Queenstown MRT Station,0.24 km
