0,247 Tampines Street 21,Fully Furnished HDB Apartment,979 sqft ,247 Tampines Street 21, Ready to move,3,2,"S$ 2,500 /mo",EW2 Tampines MRT Station,0.22 km
1,946 Tampines Avenue 4,Fully Furnished HDB Apartment,1180 sqft ,946 Tampines Avenue 4, Ready to move,3,2,"S$ 2,500 /mo",EW2 Tampines MRT Station,0.61 km
2,236 Tampines Street 21,Fully Furnished HDB Apartment,210 sqft ,236 Tampines Street 21, S$ 3.33 psf,Room,0,S$ 700 /mo,EW2 Tampines MRT Station,0.38 km
3,148 Tampines Avenue 5,Fully Furnished HDB Apartment,250 sqft ,148 Tampines Avenue 5, Ready to move,Room,0,S$ 998 /mo,EW2 Tampines MRT Station,0.48 km
4,505 Tampines Central 1,Fully Furnished HDB Apartment,180 sqft ,505 Tampines Central 1, S$ 4.44 psf,Room,0,S$ 800 /mo,EW2 Tampines MRT Station,0.25 km
5,111 Tampines Street 11,Partially Furnished HDB Apartment,1094 sqft ,111 Tampines Street 11, Ready to move,4,2,"S$ 2,400 /mo",EW2 Tampines MRT Station,0.75 km
6,237 Tampines Street 21,HDB Apartment,786 sqft ,237 Tampines Street 21, Available from 1 May,2,2,"S$ 2,000 /mo",EW2 Tampines MRT Station,0.35 km
7,209 Tampines Street 21,Fully Furnished HDB Apartment,1195 sqft ,209 Tampines Street 21, Ready to move,3,2,"S$ 2,300 /mo",EW2 Tampines MRT Station,0.87 km
8,242 Tampines Street 21,Fully Furnished HDB Apartment,1044 sqft ,242 Tampines Street 21, Ready to move,3,2,"S$ 2,700 /mo",EW2 Tampines MRT Station,0.19 km
9,946 Tampines Avenue 4,Fully Furnished HDB Apartment,1180 sqft ,946 Tampines Avenue 4, Ready to move,3,2,"S$ 2,600 /mo",EW2 Tampines MRT Station,0.61 km
10,861A Tampines Avenue 5,Fully Furnished HDB Apartment,280 sqft ,861A Tampines Avenue 5, Ready to move,Room,0,S$ 750 /mo,EW2 Tampines MRT Station,0.87 km
11,The Tampines Trilliant,Fully Furnished Executive Condominium,1302 sqft ,15 Tampines Central 7, Ready to move,Room,0,"S$ 3,200 /mo",EW2 Tampines MRT Station,0.86 km
12,406 Tampines Street 41,Fully Furnished HDB Apartment,893 sqft ,406 Tampines Street 41, Available from 30 Apr,3,2,"S$ 2,600 /mo",EW2 Tampines MRT Station,0.53 km
