0,856B Tampines Street 82,Partially Furnished HDB Apartment,1500 sqft ,856B Tampines Street 82, Ready to move,4,2,"S$ 2,400 /mo",EW2 Tampines MRT Station,0.81 km
1,265 Tampines Street 21,Fully Furnished HDB Apartment,250 sqft ,265 Tampines Street 21, Ready to move,Room,0,S$ 750 /mo,EW2 Tampines MRT Station,0.55 km
2,159 Tampines Street 12,HDB Apartment,100 sqft ,159 Tampines Street 12, Ready to move,Room,0,S$ 800 /mo,EW2 Tampines MRT Station,0.25 km
3,230J Tampines Street 21,Fully Furnished HDB Apartment,200 sqft ,230J Tampines Street 21, Ready to move,Room,0,"S$ 1,400 /mo",EW2 Tampines MRT Station,0.59 km
4,Master Room 263 Tampines Street 21,Fully Furnished HDB Apartment,180 sqft ,263 Tampines Street 21, Ready to move,Room,0,S$ 800 /mo,EW2 Tampines MRT Station,0.67 km
5,244 Tampines Street 21,Fully Furnished HDB Apartment,721 sqft ,244 Tampines Street 21, Available from 28 Apr,2,2,"S$ 2,200 /mo",EW2 Tampines MRT Station,0.24 km
6,505 Tampines Central 1,Fully Furnished HDB Apartment,200 sqft ,505 Tampines Central 1, Ready to move,Room,0,"S$ 1,200 /mo",EW2 Tampines MRT Station,0.25 km
7,417 Tampines Street 41,Fully Furnished HDB Apartment,721 sqft ,417 Tampines Street 41, Available from 10 May,2,1,"S$ 1,850 /mo",EW2 Tampines MRT Station,0.66 km
8,431 Tampines Street 41,Fully Furnished HDB Apartment,1500 sqft ,431 Tampines Street 41, Ready to move,4,2,"S$ 2,400 /mo",EW2 Tampines MRT Station,0.94 km
9,858B Tampines Avenue 5,Partially Furnished HDB Apartment,1119 sqft ,858B Tampines Avenue 5, Ready to move,3,2,"S$ 2,400 /mo",EW2 Tampines MRT Station,0.75 km
10,236 Tampines Street 21,Fully Furnished HDB Apartment,148 sqft ,236 Tampines Street 21, Available from 1 May,Room,0,S$ 750 /mo,EW2 Tampines MRT Station,0.38 km
11,161 Tampines Street 12,Fully Furnished HDB Apartment,150 sqft ,161 Tampines Street 12, Ready to move,Room,0,S$ 750 /mo,EW2 Tampines MRT Station,0.37 km
12,109 Tampines Street 11,Fully Furnished HDB Apartment,796 sqft ,109 Tampines Street 11, Ready to move,2,2,"S$ 1,800 /mo",EW2 Tampines MRT Station,0.78 km
13,247 Tampines Street 21,Fully Furnished HDB Apartment,180 sqft ,247 Tampines Street 21, Available from 15 Apr,Room,0,S$ 700 /mo,EW2 Tampines MRT Station,0.22 km
14,445 Tampines Street 42,Fully Furnished HDB Apartment,680 sqft ,445 Tampines Street 42, S$ 2.65 psf,2,2,"S$ 1,800 /mo",EW2 Tampines MRT Station,0.84 km
15,410 Tampines Street 41,Fully Furnished HDB Apartment,700 sqft ,410 Tampines Street 41, Ready to move,2,1,"S$ 1,780 /mo",EW2 Tampines MRT Station,0.63 km
16,935 Tampines Street 91,Fully Furnished HDB Apartment,1200 sqft ,935 Tampines Street 91, Ready to move,3,2,"S$ 2,500 /mo",EW2 Tampines MRT Station,0.93 km
17,Tampines Court,Fully Furnished Condominium,1700 sqft ,118 Tampines Street 11, Available from 17 Jun,3,3,"S$ 2,400 /mo",EW2 Tampines MRT Station,0.93 km
18,271 Tampines Street 21,Fully Furnished HDB Apartment,721 sqft ,271 Tampines Street 21, Available from 18 May,2,2,"S$ 2,000 /mo",EW2 Tampines MRT Station,0.61 km
19,236 Tampines Street 21,Fully Furnished HDB Apartment,180 sqft ,236 Tampines Street 21, Ready to move,Room,0,S$ 750 /mo,EW2 Tampines MRT Station,0.38 km
