0,Commonwealth Towers,Partially Furnished Condominium,700 sqft ,Commonwealth Avenue, Ready to move,2,2,"S$ 3,290 /mo",EW20 Commonwealth MRT Station,0.29 km
1,Commonwealth Towers,Fully Furnished Condominium,484 sqft ,Commonwealth Avenue, Ready to move,1,1,"S$ 2,500 /mo",EW20 Commonwealth MRT Station,0.29 km
2,Commonwealth Towers,Partially Furnished Condominium,1033 sqft ,Commonwealth Avenue, Ready to move,3,3,"S$ 3,989 /mo",EW20 Commonwealth MRT Station,0.29 km
3,Commonwealth Towers,Partially Furnished Condominium,1054 sqft ,Commonwealth Avenue, Ready to move,3,3,"S$ 4,099 /mo",EW20 Commonwealth MRT Station,0.29 km
4,62 Commonwealth Drive,Fully Furnished HDB Apartment,650 sqft ,62 Commonwealth Drive, Ready to move,2,2,"S$ 1,880 /mo",EW20 Commonwealth MRT Station,0.48 km
5,63 Commonwealth Drive,Fully Furnished HDB Apartment,764 sqft ,63 Commonwealth Drive, Ready to move,2,1,"S$ 2,000 /mo",EW20 Commonwealth MRT Station,0.44 km
6,110 Commonwealth Crescent,Fully Furnished HDB Apartment,506 sqft ,110 Commonwealth Crescent, Ready to move,1,1,"S$ 1,600 /mo",EW20 Commonwealth MRT Station,0.47 km
7,31 Holland Close,Fully Furnished HDB Apartment,721 sqft ,31 Holland Close, Ready to move,2,2,"S$ 2,000 /mo",EW20 Commonwealth MRT Station,0.50 km
8,117 Commonwealth Drive,Fully Furnished HDB Apartment,699 sqft ,117 Commonwealth Drive, Available from 30 May,2,1,"S$ 1,750 /mo",EW20 Commonwealth MRT Station,0.49 km
9,Holland Peak,Partially Furnished Condominium,1012 sqft ,27 Holland Hill, Ready to move,2,2,"S$ 3,000 /mo",EW20 Commonwealth MRT Station,0.77 km
10,Commonwealth Towers,Partially Furnished Condominium,474 sqft ,Commonwealth Avenue, Ready to move,1,1,"S$ 2,600 /mo",EW20 Commonwealth MRT Station,0.29 km
11,Olina Lodge,Partially Furnished Condominium,1540 sqft ,15 Holland Hill, Ready to move,3,3,"S$ 3,900 /mo",EW20 Commonwealth MRT Station,0.84 km
12,Viz At Holland,Partially Furnished Condominium,2518 sqft ,221 Queensway, Ready to move,4,3,"S$ 9,800 /mo",EW20 Commonwealth MRT Station,0.75 km
13,Majestic Swettenham GCB D10 For Rent,Partially Furnished Good Class Bungalow,"8933 sqft, 18428 sqft (land) ",Swettenham Road, Ready to move,5,6,"S$ 21,000 /mo",EW20 Commonwealth MRT Station,0.83 km
14,10 Holland Avenue,Fully Furnished HDB Apartment,947 sqft ,10 Holland Avenue, Available from 15 May,3,1,"S$ 2,880 /mo",EW20 Commonwealth MRT Station,0.74 km
15,"Beautiful, Modern Good Class Bungalow At Ridout For Rent",Partially Furnished Good Class Bungalow,"9000 sqft, 15000 sqft (land) ",Ridout Road, Ready to move,6,6,"S$ 28,000 /mo",EW20 Commonwealth MRT Station,0.59 km
16,41 Holland Drive,Fully Furnished HDB Apartment,635 sqft ,41 Holland Drive, Ready to move,2,2,"S$ 2,400 /mo",EW20 Commonwealth MRT Station,0.76 km
17,Holland Village,Partially Furnished Walk-up,420 sqft ,Holland Village, Ready to move,Studio,0,"S$ 2,379 /mo",EW20 Commonwealth MRT Station,0.99 km
18,Viz At Holland,Fully Furnished Condominium,1228 sqft ,221 Queensway, Ready to move,3,2,"S$ 4,500 /mo",EW20 Commonwealth MRT Station,0.75 km
19,Olina Lodge,Fully Furnished Walk-up,1500 sqft ,15 Holland Hill, Ready to move,3,2,"S$ 3,800 /mo",EW20 Commonwealth MRT Station,0.84 km
0,Holland Peak,Partially Furnished Condominium,1528 sqft ,27 Holland Hill, Ready to move,3,3,"S$ 4,000 /mo",EW20 Commonwealth MRT Station,0.77 km
1,Parvis,Partially Furnished Condominium,990 sqft ,18 Holland Hill, Ready to move,2,2,"S$ 5,300 /mo",EW20 Commonwealth MRT Station,0.83 km
2,Viz At Holland,Fully Furnished Condominium,1228 sqft ,221 Queensway, Ready to move,2,2,"S$ 4,500 /mo",EW20 Commonwealth MRT Station,0.75 km
3,6 Holland Close,Fully Furnished HDB Apartment,699 sqft ,6 Holland Close, Ready to move,3,1,"S$ 2,200 /mo",EW20 Commonwealth MRT Station,0.58 km
4,Holland Peak,Fully Furnished Condominium,590 sqft ,27 Holland Hill, Ready to move,1,1,"S$ 2,800 /mo",EW20 Commonwealth MRT Station,0.77 km
5,Viz At Holland,Condominium,1359 sqft ,221 Queensway, Ready to move,3,3,"S$ 4,250 /mo",EW20 Commonwealth MRT Station,0.75 km
6,District 10 Good Class Bungalow @Holland/Dempsey,Partially Furnished Good Class Bungalow,"9000 sqft, 9000 sqft (land) ",Swettenham Road, Ready to move,6,8,"S$ 19,800 /mo",EW20 Commonwealth MRT Station,0.83 km
7,Commonwealth Towers,Partially Furnished Condominium,1302 sqft ,Commonwealth Avenue, Ready to move,4,3,"S$ 5,378 /mo",EW20 Commonwealth MRT Station,0.29 km
8,One North Residences,Fully Furnished Apartment,1109 sqft ,7 One-North Gateway, Ready to move,3,2,"S$ 5,000 /mo",EW20 Commonwealth MRT Station,0.94 km
9,7A Commonwealth Avenue,Partially Furnished HDB Apartment,1399 sqft ,7A Commonwealth Avenue, Ready to move,4,2,"S$ 2,900 /mo",EW20 Commonwealth MRT Station,0.57 km
10,11 Holland Drive,Fully Furnished HDB Apartment,699 sqft ,11 Holland Drive, Available from 20 Apr,2,1,"S$ 2,500 /mo",EW20 Commonwealth MRT Station,0.84 km
11,Black N White Single Storey Bungalow Swettenham Road,Partially Furnished Bungalow House,"2711 sqft, 7862 sqft (land) ",Swettenham Road, Ready to move,3,4,"S$ 8,900 /mo",EW20 Commonwealth MRT Station,0.88 km
12,Parvis,Partially Furnished Condominium,990 sqft ,18 Holland Hill, Ready to move,2,2,"S$ 5,300 /mo",EW20 Commonwealth MRT Station,0.83 km
13,One North Residences,Fully Furnished Apartment,1324 sqft ,Slim Barracks Rise, Ready to move,3,3,"S$ 5,400 /mo",EW20 Commonwealth MRT Station,0.94 km
14,Holland Peak,Fully Furnished Condominium,590 sqft ,27 Holland Hill, Ready to move,1,1,"S$ 2,750 /mo",EW20 Commonwealth MRT Station,0.77 km
15,Commonwealth Towers,Partially Furnished Condominium,1160 sqft ,Commonwealth Avenue, Ready to move,3,3,"S$ 4,500 /mo",EW20 Commonwealth MRT Station,0.29 km
16,53 Commonwealth Drive,Fully Furnished HDB Apartment,200 sqft ,53 Commonwealth Drive, Ready to move,Room,0,"S$ 1,200 /mo",EW20 Commonwealth MRT Station,0.19 km
17,Viz At Holland,Fully Furnished Condominium,1259 sqft ,221 Queensway, Ready to move,3,3,"S$ 4,300 /mo",EW20 Commonwealth MRT Station,0.75 km
