0,91 Tanglin Halt Road,HDB Apartment,1184 sqft ,91 Tanglin Halt Road, Ready to move,3,2,"S$ 2,999 /mo",EW20 Commonwealth MRT Station,0.08 km
1,30A Holland Close,Fully Furnished HDB Apartment,100 sqft ,30A Holland Close, Ready to move,Room,0,S$ 900 /mo,EW20 Commonwealth MRT Station,0.53 km
2,Holland Peak,Fully Furnished Condominium,250 sqft ,27 Holland Hill, Ready to move,Room,0,"S$ 1,600 /mo",EW20 Commonwealth MRT Station,0.77 km
3,Viz At Holland,Fully Furnished Condominium,1228 sqft ,221 Queensway, Ready to move,2,2,"S$ 4,500 /mo",EW20 Commonwealth MRT Station,0.75 km
4,One North Residences,Fully Furnished Apartment,517 sqft ,Slim Barracks Rise, Ready to move,1,1,"S$ 2,800 /mo",EW20 Commonwealth MRT Station,0.94 km
5,81 Commonwealth Close,Fully Furnished HDB Apartment,645 sqft ,81 Commonwealth Close, S$ 2.95 psf,2,2,"S$ 1,900 /mo",EW20 Commonwealth MRT Station,0.29 km
6,8 HOLLAND HEIGHTS,Partially Furnished Bungalow House,"7000 sqft, 7000 sqft (land) ",HOLLAND HEIGHTS, Ready to move,4,4,"S$ 10,000 /mo",EW20 Commonwealth MRT Station,0.80 km
7,Stirling Lodging,Fully Furnished Apartment,150 sqft ,stirling road, S$ 3.33 psf,Room,0,S$ 499 /mo,EW20 Commonwealth MRT Station,0.71 km
8,86 Commonwealth Close,Fully Furnished HDB Apartment,650 sqft ,86 Commonwealth Close, Ready to move,3,2,"S$ 2,300 /mo",EW20 Commonwealth MRT Station,0.21 km
9,53 Commonwealth Drive,Fully Furnished HDB Apartment,200 sqft ,53 Commonwealth Drive, S$ 6.25 psf,Room,0,"S$ 1,250 /mo",EW20 Commonwealth MRT Station,0.19 km
10,11 Holland Drive,Fully Furnished HDB Apartment,150 sqft ,11 Holland Drive, Ready to move,Room,0,S$ 600 /mo,EW20 Commonwealth MRT Station,0.84 km
11,111 Commonwealth Crescent,Fully Furnished HDB Apartment,764 sqft ,111 Commonwealth Crescent, Ready to move,2,2,"S$ 2,100 /mo",EW20 Commonwealth MRT Station,0.42 km
12,13 Holland Drive,Fully Furnished HDB Apartment,699 sqft ,13 Holland Drive, Ready to move,2,1,"S$ 2,300 /mo",EW20 Commonwealth MRT Station,0.92 km
13,66 Commonwealth Drive,Fully Furnished HDB Apartment,580 sqft ,66 Commonwealth Drive, Ready to move,2,1,"S$ 1,800 /mo",EW20 Commonwealth MRT Station,0.43 km
14,One North Residences,Apartment,592 sqft ,Slim Barracks Rise, Ready to move,Studio,0,"S$ 2,700 /mo",EW20 Commonwealth MRT Station,0.94 km
15,111 Commonwealth Crescent,Fully Furnished HDB Apartment,646 sqft ,111 Commonwealth Crescent, Ready to move,3,2,"S$ 2,200 /mo",EW20 Commonwealth MRT Station,0.42 km
16,One North Residences,Fully Furnished Condominium,614 sqft ,Slim Barracks Rise, Available from 31 May,Studio,0,"S$ 3,000 /mo",EW20 Commonwealth MRT Station,0.94 km
17,Tanglin Halt Rd,Fully Furnished HDB Apartment,1292 sqft ,28 Tanglin halt road, Ready to move,3,4,"S$ 3,000 /mo",EW20 Commonwealth MRT Station,0.46 km
18,2 Holland Avenue,Fully Furnished HDB Apartment,730 sqft ,2 Holland Avenue, S$ 3.15 psf,3,2,"S$ 2,300 /mo",EW20 Commonwealth MRT Station,0.78 km
19,88 Commonwealth Close,Fully Furnished HDB Apartment,200 sqft ,88 Commonwealth Close, S$ 3.65 psf,Room,0,S$ 730 /mo,EW20 Commonwealth MRT Station,0.26 km
0,30 Holland Close,Fully Furnished HDB Apartment,1130 sqft ,30 Holland Close, Ready to move,3,2,"S$ 2,900 /mo",EW20 Commonwealth MRT Station,0.60 km
1,82 Commonwealth Close,Fully Furnished HDB Apartment,500 sqft ,82 Commonwealth Close, S$ 3.70 psf,1,2,"S$ 1,850 /mo",EW20 Commonwealth MRT Station,0.28 km
2,Parvis,Partially Furnished Condominium,2013 sqft ,18 Holland Hill, Ready to move,4,3,"S$ 10,500 /mo",EW20 Commonwealth MRT Station,0.83 km
3,Holland Peak,Fully Furnished Condominium,571 sqft ,27 Holland Hill, Ready to move,1,1,"S$ 2,590 /mo",EW20 Commonwealth MRT Station,0.77 km
4,Holland Peak,Partially Furnished Condominium,1012 sqft ,27 Holland Hill, Ready to move,2,2,"S$ 3,400 /mo",EW20 Commonwealth MRT Station,0.77 km
5,30 Holland Close,Fully Furnished HDB Apartment,1130 sqft ,30 Holland Close, Ready to move,3,2,"S$ 2,900 /mo",EW20 Commonwealth MRT Station,0.60 km
6,MDIS Residences@Stirling,Fully Furnished Apartment,210 sqft ,503 Stirling Road, Ready to move,Room,0,S$ 482 /mo,EW20 Commonwealth MRT Station,0.71 km
7,95 Commonwealth Drive,Fully Furnished HDB Apartment,645 sqft ,95 Commonwealth Drive, Available from 1 May,2,2,"S$ 2,000 /mo",EW20 Commonwealth MRT Station,0.46 km
