0,The Rochester,Fully Furnished Apartment,1701 sqft ,33 Rochester Drive, Ready to move,3,3,"S$ 6,600 /mo",EW21 Buona Vista MRT Station,0.27 km
1,Heritage View,Fully Furnished Condominium,1163 sqft ,10 Dover Rise, Ready to move,3,3,"S$ 4,288 /mo",EW21 Buona Vista MRT Station,0.75 km
2,Heritage View,Fully Furnished Condominium,1195 sqft ,10 Dover Rise, Ready to move,3,2,"S$ 4,200 /mo",EW21 Buona Vista MRT Station,0.75 km
3,110 Commonwealth Crescent,Fully Furnished HDB Apartment,506 sqft ,110 Commonwealth Crescent, Ready to move,1,1,"S$ 1,600 /mo",EW21 Buona Vista MRT Station,0.97 km
4,28C Dover Crescent,Fully Furnished HDB Apartment,1022 sqft ,28C Dover Crescent, Ready to move,3,2,"S$ 2,750 /mo",EW21 Buona Vista MRT Station,0.93 km
5,31 Holland Close,Fully Furnished HDB Apartment,721 sqft ,31 Holland Close, Ready to move,2,2,"S$ 2,000 /mo",EW21 Buona Vista MRT Station,0.79 km
6,The Ford @ Holland,Fully Furnished Condominium,549 sqft ,1 Ford Avenue, Ready to move,1,1,"S$ 2,800 /mo",EW21 Buona Vista MRT Station,0.83 km
7,Dover Parkview,Fully Furnished Condominium,936 sqft ,30 Dover Rise, Ready to move,2,3,"S$ 2,900 /mo",EW21 Buona Vista MRT Station,0.72 km
8,Heritage View,Condominium,1163 sqft ,10 Dover Rise, Ready to move,3,3,"S$ 4,000 /mo",EW21 Buona Vista MRT Station,0.75 km
9,Dover Parkview,Fully Furnished Condominium,936 sqft ,38 Dover Rise, Available from 15 May,2,3,"S$ 3,000 /mo",EW21 Buona Vista MRT Station,0.72 km
10,33 Ghim Moh Link,Partially Furnished HDB Apartment,1001 sqft ,33 Ghim Moh Link, Ready to move,3,2,"S$ 3,300 /mo",EW21 Buona Vista MRT Station,0.77 km
11,Heritage View,Partially Furnished Condominium,1195 sqft ,10 Dover Rise, Ready to move,3,3,"S$ 3,800 /mo",EW21 Buona Vista MRT Station,0.75 km
12,Dover Parkview,Fully Furnished Condominium,936 sqft ,30 Dover Rise, Ready to move,2,2,"S$ 3,000 /mo",EW21 Buona Vista MRT Station,0.72 km
