0,28 Ghim Moh Link,HDB Apartment,150 sqft ,28 Ghim Moh Link, Ready to move,Room,0,S$ 850 /mo,EW21 Buona Vista MRT Station,0.54 km
1,Ghim Moh Estate,Partially Furnished HDB Apartment,700 sqft ,Block 3 ghim moh, Ready to move,2,1,"S$ 1,900 /mo",EW21 Buona Vista MRT Station,0.63 km
2,33 Ghim Moh Link,Fully Furnished HDB Apartment,180 sqft ,33 Ghim Moh Link, Ready to move,Room,0,S$ 850 /mo,EW21 Buona Vista MRT Station,0.77 km
3,12 Dover Close East,Partially Furnished HDB Apartment,1227 sqft ,12 Dover Close East, Ready to move,3,2,"S$ 2,600 /mo",EW21 Buona Vista MRT Station,0.52 km
4,The Ford @ Holland,Fully Furnished Condominium,549 sqft ,1 Ford Avenue, Ready to move,1,1,"S$ 2,800 /mo",EW21 Buona Vista MRT Station,0.83 km
5,111 Commonwealth Crescent,HDB Apartment,200 sqft ,111 Commonwealth Crescent, Ready to move,Room,0,S$ 600 /mo,EW21 Buona Vista MRT Station,0.96 km
6,13 Ghim Moh Road,HDB Apartment,1227 sqft ,13 Ghim Moh Road, Ready to move,3,2,"S$ 2,900 /mo",EW21 Buona Vista MRT Station,0.30 km
7,Heritage View,Fully Furnished Condominium,1195 sqft ,10 Dover Rise, Ready to move,3,2,"S$ 4,088 /mo",EW21 Buona Vista MRT Station,0.75 km
8,Heritage View,Fully Furnished Condominium,1163 sqft ,10 Dover Rise, Ready to move,3,2,"S$ 4,500 /mo",EW21 Buona Vista MRT Station,0.75 km
9,The Rochester,Apartment,1700 sqft ,The Rochester, Ready to move,3,3,"S$ 6,500 /mo",EW21 Buona Vista MRT Station,0.26 km
10,23 Ghim Moh Link,Fully Furnished HDB Apartment,129 sqft ,23 Ghim Moh Link, S$ 6.59 psf,Room,0,S$ 850 /mo,EW21 Buona Vista MRT Station,0.45 km
11,Dover Parkview,Fully Furnished Condominium,1668 sqft ,32 Dover Rise, Available from 11 May,3,3,"S$ 3,980 /mo",EW21 Buona Vista MRT Station,0.72 km
12,42 Holland Drive,Partially Furnished HDB Apartment,107 sqft ,42 Holland Drive, Ready to move,Room,0,S$ 650 /mo,EW21 Buona Vista MRT Station,0.33 km
13,The Rochester,Partially Furnished Apartment,1022 sqft ,35 Rochester Drive, S$ 3.86 psf,1,2,"S$ 3,950 /mo",EW21 Buona Vista MRT Station,0.27 km
14,18B Holland Drive,Fully Furnished HDB Apartment,721 sqft ,18B Holland Drive, Ready to move,1,2,"S$ 1,900 /mo",EW21 Buona Vista MRT Station,0.50 km
15,The Ford @ Holland,Partially Furnished Condominium,506 sqft ,1 Ford Avenue, Ready to move,1,1,"S$ 2,800 /mo",EW21 Buona Vista MRT Station,0.83 km
16,2 Holland Avenue,Fully Furnished HDB Apartment,785 sqft ,2 Holland Avenue, Ready to move,2,1,"S$ 2,400 /mo",EW21 Buona Vista MRT Station,0.70 km
17,One North Residences,Partially Furnished Apartment,1119 sqft ,7 One-North Gateway, Ready to move,1,1,"S$ 3,600 /mo",EW21 Buona Vista MRT Station,0.50 km
18,Heritage View,Fully Furnished Condominium,969 sqft ,10 Dover Rise, Available from 1 May,2,2,"S$ 3,800 /mo",EW21 Buona Vista MRT Station,0.75 km
19,12 Holland Avenue,Unfurnished HDB Apartment,947 sqft ,12 Holland Avenue, Ready to move,3,2,"S$ 2,800 /mo",EW21 Buona Vista MRT Station,0.58 km
0,The Rochester,Fully Furnished Apartment,1302 sqft ,33 Rochester Drive, Ready to move,2,2,"S$ 5,500 /mo",EW21 Buona Vista MRT Station,0.27 km
1,Heritage View,Condominium,1195 sqft ,10 Dover Rise, Ready to move,3,3,"S$ 4,100 /mo",EW21 Buona Vista MRT Station,0.75 km
2,One North Residences,Fully Furnished Apartment,517 sqft ,Slim Barracks Rise, Ready to move,Studio,0,"S$ 3,000 /mo",EW21 Buona Vista MRT Station,0.50 km
