0,Jalan Kebaya,Partially Furnished Semi-Detached House,"4200 sqft, 3500 sqft (land) ",Jalan Kebaya, Ready to move,5,4,"S$ 8,200 /mo",EW22 Dover MRT Station,0.37 km
1,Holland Road,Partially Furnished Semi-Detached House,"6000 sqft, 6000 sqft (land) ",Holland road, Ready to move,6,6,"S$ 15,000 /mo",EW22 Dover MRT Station,0.95 km
2,Dover Parkview,Fully Furnished Condominium,969 sqft ,30 Dover Rise, Available from 16 Apr,2,2,"S$ 3,100 /mo",EW22 Dover MRT Station,0.84 km
3,Astor Green,Fully Furnished Condominium,1528 sqft ,5 Pine Grove, Ready to move,3,2,"S$ 3,500 /mo",EW22 Dover MRT Station,0.76 km
4,Holland Road,Unfurnished Bungalow House,"6000 sqft, 6000 sqft (land) ",(within 0.98 km), Ready to move,6,6,"S$ 15,000 /mo",EW22 Dover MRT Station,0.98 km
5,Mount Sinai Avenue,Partially Furnished Corner Terrace,"3711 sqft, 3300 sqft (land) ",Mount Sinai AVenue, Ready to move,4,3,"S$ 6,800 /mo",EW22 Dover MRT Station,0.49 km
6,28C Dover Crescent,Fully Furnished HDB Apartment,1022 sqft ,28C Dover Crescent, Ready to move,3,2,"S$ 2,750 /mo",EW22 Dover MRT Station,0.77 km
7,Cavendish Park,Fully Furnished Condominium,950 sqft ,16 Pine Grove, Ready to move,2,2,"S$ 2,600 /mo",EW22 Dover MRT Station,0.67 km
8,Dover Parkview,Fully Furnished Condominium,936 sqft ,30 Dover Rise, Ready to move,2,3,"S$ 2,900 /mo",EW22 Dover MRT Station,0.84 km
9,Allsworth Park,Fully Furnished Condominium,1033 sqft ,361 Holland Road, Ready to move,2,1,"S$ 2,800 /mo",EW22 Dover MRT Station,0.93 km
10,Dover Parkview,Fully Furnished Condominium,936 sqft ,38 Dover Rise, Available from 15 May,2,3,"S$ 3,000 /mo",EW22 Dover MRT Station,0.84 km
11,33 Ghim Moh Link,Partially Furnished HDB Apartment,1001 sqft ,33 Ghim Moh Link, Ready to move,3,2,"S$ 3,300 /mo",EW22 Dover MRT Station,0.60 km
12,Pandan Valley,Partially Furnished Condominium,2220 sqft ,1 Pandan Valley, Ready to move,4,4,"S$ 4,300 /mo",EW22 Dover MRT Station,0.95 km
13,Dover Parkview,Fully Furnished Condominium,936 sqft ,30 Dover Rise, Ready to move,2,2,"S$ 3,000 /mo",EW22 Dover MRT Station,0.84 km
14,Holland Road,Partially Furnished Detached House,"6000 sqft, 6000 sqft (land) ",357 Holland Road, Ready to move,6,7,"S$ 15,000 /mo",EW22 Dover MRT Station,1.00 km
15,Ridgewood Condominium,Partially Furnished Condominium,2002 sqft ,1 - 5 Ridgewood Close, Available from 22 May,3,3,"S$ 6,200 /mo",EW22 Dover MRT Station,0.63 km
16,Detached House With Large Pool In Holland Road,Partially Furnished Detached House,"6000 sqft, 6000 sqft (land) ",Holland road, Ready to move,6,6,"S$ 16,880 /mo",EW22 Dover MRT Station,0.95 km
17,"PRICE REDUCED! RARE | SPACIOUS 1, 346 SQFT | 2 BEDDER | LUSH BALCONIES | NEAR DOVER MRT",Partially Furnished Condominium,1346 sqft ,Mount Sinai enclave, Ready to move,2,2,"S$ 3,500 /mo",EW22 Dover MRT Station,0.89 km
18,Holland Grove,Partially Furnished Semi-Detached House,"4424 sqft, 3596 sqft (land) ",57 Holland Grove View, Ready to move,4,4,"S$ 8,300 /mo",EW22 Dover MRT Station,0.48 km
19,? Modern Resort-Style Home In Holland Vicinity ?,Partially Furnished Detached House,"6000 sqft, 6000 sqft (land) ",(within 0.93 km), Ready to move,6,6,"S$ 15,000 /mo",EW22 Dover MRT Station,0.93 km
20,Mt Sinai Residences,Partially Furnished Detached House,6318 sqft ,Mount Sinai Lane, Ready to move,4,4,"S$ 9,900 /mo",EW22 Dover MRT Station,0.98 km
21,Pandan Valley,Partially Furnished Condominium,2220 sqft ,1 Pandan Valley, Ready to move,4,4,"S$ 4,500 /mo",EW22 Dover MRT Station,0.95 km
0,Dover Parkview,Fully Furnished Condominium,969 sqft ,36 Dover Rise, Available from 1 May,2,2,"S$ 3,200 /mo",EW22 Dover MRT Station,0.84 km
1,Dover Parkview,Partially Furnished Condominium,969 sqft ,32 Dover Rise, Ready to move,2,2,"S$ 3,300 /mo",EW22 Dover MRT Station,0.84 km
2,Holland Grove,Partially Furnished Semi-Detached House,"3600 sqft, 2153 sqft (land) ",Holland Grove View, Available from 15 May,4,5,"S$ 6,000 /mo",EW22 Dover MRT Station,0.48 km
3,Ridgewood Condominium,Unfurnished Condominium,1722 sqft ,1 - 5 Ridgewood Close, Ready to move,3,3,"S$ 3,900 /mo",EW22 Dover MRT Station,0.63 km
4,The Marbella,Partially Furnished Condominium,1476 sqft ,29A Mount Sinai Rise, Available from 25 Jun,3,3,"S$ 6,000 /mo",EW22 Dover MRT Station,0.34 km
5,412 Commonwealth Avenue West,HDB Apartment,1044 sqft ,412 Commonwealth Avenue West, Ready to move,3,2,"S$ 2,500 /mo",EW22 Dover MRT Station,0.89 km
6,Dover Parkview,Fully Furnished Condominium,936 sqft ,30 Dover Rise, Ready to move,2,2,"S$ 3,200 /mo",EW22 Dover MRT Station,0.84 km
7,Fontana Heights,Partially Furnished Condominium,7500 sqft ,39 Mount Sinai Road, Ready to move,4,6,"S$ 17,000 /mo",EW22 Dover MRT Station,0.49 km
8,Allsworth Park,Fully Furnished Condominium,1033 sqft ,369 Holland Road, Ready to move,2,1,"S$ 2,700 /mo",EW22 Dover MRT Station,0.93 km
9,Dover Parkview,Fully Furnished Condominium,969 sqft ,30 Dover Rise, Available from 1 Jul,2,2,"S$ 3,200 /mo",EW22 Dover MRT Station,0.84 km
10,Fontana Heights,Partially Furnished Condominium,3457 sqft ,39 Mount Sinai Road, Ready to move,4,4,"S$ 10,000 /mo",EW22 Dover MRT Station,0.49 km
11,Astor Green,Fully Furnished Condominium,1377 sqft ,3 Pine Grove, Ready to move,3,2,"S$ 3,998 /mo",EW22 Dover MRT Station,0.76 km
12,414 Commonwealth Avenue West,Fully Furnished HDB Apartment,200 sqft ,414 Commonwealth Avenue West, Ready to move,Room,0,S$ 700 /mo,EW22 Dover MRT Station,0.77 km
13,Cavendish Park,Fully Furnished Condominium,958 sqft ,18 Pine Grove, Ready to move,2,2,"S$ 2,600 /mo",EW22 Dover MRT Station,0.67 km
14,The Trizon,Fully Furnished Condominium,1012 sqft ,8 Ridgewood Close, Ready to move,2,2,"S$ 4,500 /mo",EW22 Dover MRT Station,0.56 km
15,Pandan Valley,Partially Furnished Condominium,2024 sqft ,3 Pandan Valley, S$ 1.98 psf,4,4,"S$ 4,000 /mo",EW22 Dover MRT Station,0.95 km
