0,428 Clementi Avenue 3,Fully Furnished HDB Apartment,750 sqft ,428 Clementi Avenue 3, Ready to move,2,2,"S$ 2,400 /mo",EW23 Clementi MRT Station,0.37 km
1,426 Clementi Avenue 3,Partially Furnished HDB Apartment,922 sqft ,426 Clementi Avenue 3, Available from 15 Apr,2,2,"S$ 2,200 /mo",EW23 Clementi MRT Station,0.40 km
2,429 Clementi Avenue 3,Fully Furnished HDB Apartment,883 sqft ,429 Clementi Avenue 3, Available from 1 May,3,2,"S$ 2,400 /mo",EW23 Clementi MRT Station,0.38 km
3,The Parc Condominium,Partially Furnished Condominium,1421 sqft ,1 West Coast Walk, Ready to move,3,2,"S$ 4,000 /mo",EW23 Clementi MRT Station,0.77 km
4,350 Clementi Avenue 2,Fully Furnished HDB Apartment,990 sqft ,350 Clementi Avenue 2, S$ 0.66 psf,Room,0,S$ 650 /mo,EW23 Clementi MRT Station,0.55 km
5,The Parc Condominium,Partially Furnished Condominium,1216 sqft ,3 West Coast Walk, Ready to move,3,3,"S$ 3,900 /mo",EW23 Clementi MRT Station,0.77 km
6,The Parc Condominium,Partially Furnished Condominium,1421 sqft ,1 West Coast Walk, Ready to move,3,2,"S$ 4,500 /mo",EW23 Clementi MRT Station,0.77 km
7,412 Commonwealth Avenue West,HDB Apartment,1044 sqft ,412 Commonwealth Avenue West, Ready to move,3,2,"S$ 2,500 /mo",EW23 Clementi MRT Station,0.73 km
8,Bungalow @ Faber Park For Rent,Partially Furnished Bungalow House,"6000 sqft, 9500 sqft (land) ",(within 0.86 km), Ready to move,4,5,"S$ 8,000 /mo",EW23 Clementi MRT Station,0.86 km
9,The Parc Condominium,Fully Furnished Condominium,1442 sqft ,15 West Coast Walk, Available from 3 May,4,3,"S$ 4,500 /mo",EW23 Clementi MRT Station,0.77 km
10,414 Commonwealth Avenue West,Fully Furnished HDB Apartment,200 sqft ,414 Commonwealth Avenue West, Ready to move,Room,0,S$ 700 /mo,EW23 Clementi MRT Station,0.79 km
11,427 Clementi Avenue 3,Fully Furnished HDB Apartment,721 sqft ,427 Clementi Avenue 3, Ready to move,2,2,"S$ 2,300 /mo",EW23 Clementi MRT Station,0.38 km
12,Park West,Partially Furnished Condominium,1249 sqft ,2 Jalan Lempeng, Available from 30 Apr,3,3,"S$ 2,800 /mo",EW23 Clementi MRT Station,0.62 km
13,319 Clementi Avenue 4,Fully Furnished HDB Apartment,721 sqft ,319 Clementi Avenue 4, S$ 3.12 psf,2,2,"S$ 2,250 /mo",EW23 Clementi MRT Station,0.29 km
14,The Parc Condominium,Fully Furnished Condominium,1421 sqft ,11 West Coast Walk, Available from 22 Apr,4,3,"S$ 4,500 /mo",EW23 Clementi MRT Station,0.77 km
15,103 Clementi Street 14,Fully Furnished HDB Apartment,990 sqft ,103 Clementi Street 14, Ready to move,3,2,"S$ 2,400 /mo",EW23 Clementi MRT Station,0.94 km
16,345 Clementi Avenue 5,Fully Furnished HDB Apartment,750 sqft ,345 Clementi Avenue 5, Ready to move,2,2,"S$ 2,000 /mo",EW23 Clementi MRT Station,0.49 km
17,456 Clementi Avenue 3,Fully Furnished HDB Apartment,914 sqft ,456 Clementi Avenue 3, Ready to move,3,2,"S$ 2,600 /mo",EW23 Clementi MRT Station,0.37 km
18,The Parc Condominium,Partially Furnished Condominium,1421 sqft ,11 West Coast Walk, Ready to move,4,3,"S$ 4,300 /mo",EW23 Clementi MRT Station,0.77 km
19,Freesia Woods,Partially Furnished Condominium,1227 sqft ,61 Sunset Way, Ready to move,2,2,"S$ 3,000 /mo",EW23 Clementi MRT Station,0.99 km
0,427 Clementi Avenue 3,Fully Furnished HDB Apartment,753 sqft ,427 Clementi Avenue 3, Available from 14 Apr,2,2,"S$ 2,300 /mo",EW23 Clementi MRT Station,0.38 km
1,Regent Park,Fully Furnished Condominium,960 sqft ,26 Jalan Lempeng, Ready to move,2,2,"S$ 3,000 /mo",EW23 Clementi MRT Station,0.57 km
2,102 Clementi Street 14,Fully Furnished HDB Apartment,1100 sqft ,102 Clementi Street 14, Ready to move,3,2,"S$ 2,399 /mo",EW23 Clementi MRT Station,0.93 km
3,301 Clementi Avenue 4,Fully Furnished HDB Apartment,990 sqft ,301 Clementi Avenue 4, Ready to move,3,2,"S$ 2,400 /mo",EW23 Clementi MRT Station,0.79 km
4,The Parc Condominium,Fully Furnished Condominium,980 sqft ,1 West Coast Walk, Ready to move,2,2,"S$ 3,000 /mo",EW23 Clementi MRT Station,0.77 km
5,104 Clementi Street 14,Fully Furnished HDB Apartment,1689 sqft ,104 Clementi Street 14, Ready to move,4,3,"S$ 2,450 /mo",EW23 Clementi MRT Station,0.99 km
6,The Trilinq,Condominium,1518 sqft ,28 Jalan Lempeng, Ready to move,4,3,"S$ 4,900 /mo",EW23 Clementi MRT Station,0.56 km
7,The Parc Condominium,Fully Furnished Condominium,1216 sqft ,5 West Coast Walk, Ready to move,3,2,"S$ 4,300 /mo",EW23 Clementi MRT Station,0.77 km
8,The Parc Condominium,Partially Furnished Condominium,1292 sqft ,11 West Coast Walk, Ready to move,3,3,"S$ 4,000 /mo",EW23 Clementi MRT Station,0.77 km
9,309 Clementi Avenue 4,Fully Furnished HDB Apartment,721 sqft ,309 Clementi Avenue 4, Ready to move,2,2,"S$ 2,100 /mo",EW23 Clementi MRT Station,0.67 km
10,345 Clementi Avenue 5,HDB Apartment,600 sqft ,345 Clementi Avenue 5, Ready to move,2,2,"S$ 1,800 /mo",EW23 Clementi MRT Station,0.49 km
11,416 Clementi Avenue 1,Fully Furnished HDB Apartment,200 sqft ,416 Clementi Avenue 1, S$ 4.00 psf,Room,0,S$ 800 /mo,EW23 Clementi MRT Station,0.85 km
12,Faber Park Bangalow,Partially Furnished Bungalow House,"10000 sqft, 7500 sqft (land) ",Faber Park, Ready to move,4,5,"S$ 8,888 /mo",EW23 Clementi MRT Station,0.83 km
13,Regent Park,Fully Furnished Condominium,1130 sqft ,26 Jalan Lempeng, Ready to move,3,3,"S$ 3,100 /mo",EW23 Clementi MRT Station,0.57 km
14,354 Clementi Avenue 2,HDB Apartment,600 sqft ,354 Clementi Avenue 2, Ready to move,2,2,"S$ 1,800 /mo",EW23 Clementi MRT Station,0.58 km
15,Faber Park,Fully Furnished Bungalow House,"6000 sqft, 10000 sqft (land) ",Faber Park, Ready to move,5,4,"S$ 8,000 /mo",EW23 Clementi MRT Station,0.90 km
16,506 West Coast Drive,Fully Furnished HDB Apartment,980 sqft ,506 West Coast Drive, Ready to move,3,2,"S$ 2,390 /mo",EW23 Clementi MRT Station,0.59 km
17,Regent Park,Fully Furnished Condominium,818 sqft ,(within 0.57 km), Ready to move,2,2,"S$ 2,500 /mo",EW23 Clementi MRT Station,0.57 km
18,"340 Clementi Avenue 5, Singapore",Partially Furnished HDB Apartment,1302 sqft ,340 Clementi Avenue 5, Ready to move,3,2,"S$ 2,500 /mo",EW23 Clementi MRT Station,0.67 km
19,The Trilinq,Fully Furnished Condominium,538 sqft ,28B Jalan Lempeng, Ready to move,1,1,"S$ 2,800 /mo",EW23 Clementi MRT Station,0.56 km
0,357 Clementi Avenue 2,Fully Furnished HDB Apartment,1300 sqft ,357 Clementi Avenue 2, Available from 1 Jun,3,2,"S$ 3,300 /mo",EW23 Clementi MRT Station,0.44 km
1,334 Clementi Avenue 2,HDB Apartment,67 sqft ,334 Clementi Avenue 2, Ready to move,2,2,"S$ 2,200 /mo",EW23 Clementi MRT Station,0.31 km
2,208A Clementi Avenue 6,HDB Apartment,100 sqft ,208A Clementi Avenue 6, S$ 7.00 psf,Room,0,S$ 700 /mo,EW23 Clementi MRT Station,0.68 km
3,316 Clementi Avenue 4,Fully Furnished HDB Apartment,981 sqft ,316 Clementi Avenue 4, Ready to move,3,2,"S$ 2,500 /mo",EW23 Clementi MRT Station,0.39 km
4,Regent Park,Partially Furnished Condominium,1130 sqft ,26 Jalan Lempeng, Ready to move,3,3,"S$ 3,100 /mo",EW23 Clementi MRT Station,0.57 km
5,Hundred Trees,Fully Furnished Condominium,786 sqft ,85 West Coast Drive, Available from 15 Apr,2,1,"S$ 2,950 /mo",EW23 Clementi MRT Station,0.75 km
6,358 Clementi Avenue 2,HDB Apartment,990 sqft ,358 Clementi Avenue 2, Ready to move,Room,0,S$ 750 /mo,EW23 Clementi MRT Station,0.42 km
7,The Trilinq,Condominium,710 sqft ,28 Jalan Lempeng, Ready to move,2,1,"S$ 3,300 /mo",EW23 Clementi MRT Station,0.56 km
8,312B Clementi Avenue 4,Fully Furnished HDB Apartment,1100 sqft ,312B Clementi Avenue 4, Ready to move,Room,0,S$ 700 /mo,EW23 Clementi MRT Station,0.52 km
9,308 Clementi Avenue 4,Partially Furnished HDB Apartment,690 sqft ,308 Clementi Avenue 4, Ready to move,2,2,"S$ 1,900 /mo",EW23 Clementi MRT Station,0.68 km
10,The Parc Condominium,Fully Furnished Condominium,1421 sqft ,1 West Coast Walk, Available from 7 Jun,3,3,"S$ 4,350 /mo",EW23 Clementi MRT Station,0.77 km
11,Hundred Trees,Fully Furnished Condominium,786 sqft ,(within 0.75 km), Ready to move,2,2,"S$ 2,800 /mo",EW23 Clementi MRT Station,0.75 km
12,Regent Park,Fully Furnished Condominium,904 sqft ,26 Jalan Lempeng, Ready to move,2,2,"S$ 2,700 /mo",EW23 Clementi MRT Station,0.57 km
13,Hundred Trees,Fully Furnished Condominium,915 sqft ,89 West Coast Drive, Ready to move,2,2,"S$ 2,700 /mo",EW23 Clementi MRT Station,0.75 km
14,508 West Coast Drive,Fully Furnished HDB Apartment,732 sqft ,508 West Coast Drive, Ready to move,2,2,"S$ 1,800 /mo",EW23 Clementi MRT Station,0.55 km
15,The Trilinq,Condominium,538 sqft ,28 Jalan Lempeng, Ready to move,1,1,"S$ 2,696 /mo",EW23 Clementi MRT Station,0.56 km
16,Regent Park,Partially Furnished Condominium,1130 sqft ,26 Jalan Lempeng, S$ 2.83 psf,3,3,"S$ 3,200 /mo",EW23 Clementi MRT Station,0.57 km
17,Park West,Fully Furnished Condominium,1250 sqft ,2 Jalan Lempeng, Ready to move,3,3,"S$ 2,700 /mo",EW23 Clementi MRT Station,0.62 km
18,318 Clementi Avenue 4,Fully Furnished HDB Apartment,100 sqft ,318 Clementi Avenue 4, Ready to move,Room,0,"S$ 1,000 /mo",EW23 Clementi MRT Station,0.33 km
19,The Parc Condominium,Condominium,667 sqft ,1 West Coast Walk, Ready to move,1,1,"S$ 2,600 /mo",EW23 Clementi MRT Station,0.77 km
0,Regent Park,Fully Furnished Condominium,904 sqft ,22 Jalan Lempeng, Ready to move,2,2,"S$ 2,900 /mo",EW23 Clementi MRT Station,0.57 km
1,Hundred Trees,Condominium,786 sqft ,85 West Coast Drive, Ready to move,2,2,"S$ 2,800 /mo",EW23 Clementi MRT Station,0.75 km
2,304 Clementi Avenue 4,Fully Furnished HDB Apartment,882 sqft ,304 Clementi Avenue 4, Ready to move,2,2,"S$ 3,300 /mo",EW23 Clementi MRT Station,0.65 km
3,308 Clementi Avenue 4,Fully Furnished HDB Apartment,721 sqft ,308 Clementi Avenue 4, Ready to move,2,2,"S$ 1,950 /mo",EW23 Clementi MRT Station,0.68 km
4,378 Clementi Avenue 5,Fully Furnished HDB Apartment,990 sqft ,378 Clementi Avenue 5, Ready to move,2,2,"S$ 2,300 /mo",EW23 Clementi MRT Station,0.38 km
5,428 Clementi Avenue 3,Fully Furnished HDB Apartment,150 sqft ,428 Clementi Avenue 3, Ready to move,Room,0,S$ 750 /mo,EW23 Clementi MRT Station,0.37 km
6,506 West Coast Drive,Fully Furnished HDB Apartment,990 sqft ,506 West Coast Drive, Ready to move,3,2,"S$ 2,350 /mo",EW23 Clementi MRT Station,0.59 km
7,329 Clementi Avenue 2,Fully Furnished HDB Apartment,990 sqft ,329 Clementi Avenue 2, Ready to move,3,2,"S$ 2,500 /mo",EW23 Clementi MRT Station,0.29 km
8,Hundred Trees,Fully Furnished Condominium,786 sqft ,95 West Coast Drive, Ready to move,2,2,"S$ 2,900 /mo",EW23 Clementi MRT Station,0.75 km
9,New Room @ Casa Clementi,Fully Furnished HDB Apartment,100 sqft ,New Room @ Casa Clementi, Ready to move,Room,0,S$ 800 /mo,EW23 Clementi MRT Station,0.69 km
10,Hundred Trees,Fully Furnished Condominium,786 sqft ,(within 0.75 km), Ready to move,2,2,"S$ 2,800 /mo",EW23 Clementi MRT Station,0.75 km
11,Pine Grove,Fully Furnished Condominium,120 sqft ,1A Pine Grove, S$ 8.08 psf,Room,0,S$ 970 /mo,EW23 Clementi MRT Station,0.96 km
12,454 Clementi Avenue 3,Fully Furnished HDB Apartment,130 sqft ,454 Clementi Avenue 3, Ready to move,Room,0,S$ 740 /mo,EW23 Clementi MRT Station,0.32 km
13,456 Clementi Avenue 3,Fully Furnished HDB Apartment,1000 sqft ,456 Clementi Avenue 3, S$ 2.50 psf,3,2,"S$ 2,500 /mo",EW23 Clementi MRT Station,0.37 km
14,329 Clementi Avenue 2,Fully Furnished HDB Apartment,721 sqft ,329 Clementi Avenue 2, S$ 2.77 psf,2,2,"S$ 2,000 /mo",EW23 Clementi MRT Station,0.29 km
15,303 Clementi Avenue 4,Fully Furnished HDB Apartment,722 sqft ,303 Clementi Avenue 4, Ready to move,2,2,"S$ 1,900 /mo",EW23 Clementi MRT Station,0.70 km
16,343 Clementi Avenue 5,Fully Furnished HDB Apartment,250 sqft ,343 Clementi Avenue 5, Ready to move,Room,0,"S$ 1,100 /mo",EW23 Clementi MRT Station,0.71 km
17,515 West Coast Road,Fully Furnished HDB Apartment,200 sqft ,515 West Coast Road, Ready to move,Room,0,"S$ 1,000 /mo",EW23 Clementi MRT Station,0.96 km
18,339 Clementi Avenue 5,Fully Furnished HDB Apartment,721 sqft ,339 Clementi Avenue 5, Ready to move,2,2,"S$ 1,900 /mo",EW23 Clementi MRT Station,0.67 km
19,441B Clementi Avenue 3,Fully Furnished HDB Apartment,753 sqft ,441B Clementi Avenue 3, Ready to move,2,2,"S$ 2,200 /mo",EW23 Clementi MRT Station,0.11 km
0,Faber Park,Partially Furnished Bungalow House,"6000 sqft, 9077 sqft (land) ",(within 0.82 km), Ready to move,5,5,"S$ 8,800 /mo",EW23 Clementi MRT Station,0.82 km
1,440C Clementi Avenue 3,Partially Furnished HDB Apartment,1184 sqft ,440C Clementi Avenue 3, Ready to move,2,2,"S$ 2,500 /mo",EW23 Clementi MRT Station,0.16 km
2,450 Clementi Avenue 3,Fully Furnished HDB Apartment,120 sqft ,450 Clementi Avenue 3, Ready to move,Room,0,S$ 750 /mo,EW23 Clementi MRT Station,0.19 km
3,506 West Coast Drive,Fully Furnished HDB Apartment,990 sqft ,506 West Coast Drive, Ready to move,3,2,"S$ 2,300 /mo",EW23 Clementi MRT Station,0.59 km
4,The Trilinq,Partially Furnished Condominium,539 sqft ,28 Jalan Lempeng, Ready to move,1,1,"S$ 2,500 /mo",EW23 Clementi MRT Station,0.56 km
5,327 Clementi Avenue 5,Fully Furnished HDB Apartment,720 sqft ,327 Clementi Avenue 5, Ready to move,2,2,"S$ 2,350 /mo",EW23 Clementi MRT Station,0.16 km
6,461 Clementi Avenue 3,Fully Furnished HDB Apartment,150 sqft ,461 Clementi Avenue 3, Ready to move,Room,0,S$ 800 /mo,EW23 Clementi MRT Station,0.49 km
7,The Parc Condominium,Condominium,1464 sqft ,1 West Coast Walk, Ready to move,4,3,"S$ 4,400 /mo",EW23 Clementi MRT Station,0.77 km
