0,Parc Oasis,Fully Furnished Condominium,1076 sqft ,35 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,600 /mo",EW25 Chinese Garden MRT Station,0.26 km
1,Lakeville,Partially Furnished Condominium,775 sqft ,5 Jurong Lake Link, Available from 9 May,2,2,"S$ 2,500 /mo",EW25 Chinese Garden MRT Station,0.92 km
2,Lakeville,Fully Furnished Condominium,560 sqft ,Jurong Lake Link, Available from 1 May,1,1,"S$ 2,200 /mo",EW25 Chinese Garden MRT Station,0.92 km
3,Tropika East,Partially Furnished Condominium,452 sqft ,(within 0.86 km), Ready to move,1,1,"S$ 2,000 /mo",EW25 Chinese Garden MRT Station,0.86 km
4,The Mayfair,Fully Furnished Condominium,1227 sqft ,1 Jurong East Street 32, Ready to move,3,2,"S$ 3,200 /mo",EW25 Chinese Garden MRT Station,0.40 km
5,Parc Oasis,Fully Furnished Condominium,1300 sqft ,35 Jurong East Avenue 1, Ready to move,3,2,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.26 km
6,Parc Oasis,Partially Furnished Condominium,1507 sqft ,35 Jurong East Avenue 1, Ready to move,4,3,"S$ 3,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
7,Parc Oasis,Partially Furnished Condominium,1389 sqft ,35 Jurong East Avenue 1, Ready to move,3,3,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.26 km
8,Lakeville,Fully Furnished Condominium,764 sqft ,Jurong Lake Link, Available from 1 Jun,2,2,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.92 km
9,Westmere,Fully Furnished Condominium,1249 sqft ,77 Jurong East Street 13, Ready to move,3,3,"S$ 3,200 /mo",EW25 Chinese Garden MRT Station,0.73 km
10,113 Jurong East Street 13,HDB Apartment,900 sqft ,113 Jurong East Street 13, Ready to move,2,2,"S$ 2,000 /mo",EW25 Chinese Garden MRT Station,0.50 km
11,Parc Oasis,Fully Furnished Condominium,1076 sqft ,35 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
12,Lakeville,Fully Furnished Condominium,764 sqft ,Jurong Lake Link, Available from 1 Jun,2,2,"S$ 2,700 /mo",EW25 Chinese Garden MRT Station,0.92 km
13,Parc Oasis,Fully Furnished Condominium,1388 sqft ,51 Jurong East Avenue 1, Ready to move,3,3,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
14,Parc Oasis,Condominium,1227 sqft ,35 Jurong East Avenue 1, Ready to move,3,3,"S$ 2,980 /mo",EW25 Chinese Garden MRT Station,0.26 km
15,Parc Oasis,Fully Furnished Condominium,1076 sqft ,35 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
16,Parc Oasis,Fully Furnished Condominium,1389 sqft ,35 Jurong East Avenue 1, Ready to move,3,3,"S$ 3,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
17,Parc Oasis,Fully Furnished Condominium,1077 sqft ,35 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
18,Parc Oasis,Fully Furnished Condominium,1076 sqft ,35 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
19,Parc Oasis,Fully Furnished Condominium,1378 sqft ,39 Jurong East Avenue 1, Available from 12 May,3,2,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.26 km
0,Lakeside Tower,Partially Furnished Apartment,1981 sqft ,9G Yuan Ching Road, Ready to move,3,2,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.96 km
1,238 Jurong East Street 21,Fully Furnished HDB Apartment,1291 sqft ,238 Jurong East Street 21, Available from 1 May,3,2,"S$ 2,500 /mo",EW25 Chinese Garden MRT Station,0.92 km
2,The Mayfair,Fully Furnished Condominium,893 sqft ,1 Jurong East Street 32, Ready to move,3,2,"S$ 2,400 /mo",EW25 Chinese Garden MRT Station,0.40 km
3,224 Jurong East Street 21,Fully Furnished HDB Apartment,980 sqft ,224 Jurong East Street 21, Ready to move,3,2,"S$ 2,200 /mo",EW25 Chinese Garden MRT Station,0.46 km
4,Parc Oasis,Fully Furnished Condominium,1227 sqft ,49 Jurong East Avenue 1, S$ 2.28 psf,3,3,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
5,104 Jurong East Street 13,Partially Furnished HDB Apartment,732 sqft ,104 Jurong East Street 13, Ready to move,2,2,"S$ 1,880 /mo",EW25 Chinese Garden MRT Station,0.86 km
6,113 Jurong East Street 13,Fully Furnished HDB Apartment,1011 sqft ,113 Jurong East Street 13, Ready to move,3,2,"S$ 2,000 /mo",EW25 Chinese Garden MRT Station,0.50 km
7,The Mayfair,Condominium,1195 sqft ,1 Jurong East Street 32, Ready to move,3,2,"S$ 2,500 /mo",EW25 Chinese Garden MRT Station,0.40 km
8,Ivory Heights,Fully Furnished Condominium,100 sqft ,Jurong East Street 13, Ready to move,Room,0,S$ 700 /mo,EW25 Chinese Garden MRT Station,0.90 km
9,Parc Oasis,Partially Furnished Condominium,1378 sqft ,45 Jurong East Avenue 1, Ready to move,3,2,"S$ 3,300 /mo",EW25 Chinese Garden MRT Station,0.26 km
10,372 Jurong East Street 32,Partially Furnished HDB Apartment,689 sqft ,372 Jurong East Street 32, S$ 2.83 psf,2,2,"S$ 1,950 /mo",EW25 Chinese Garden MRT Station,0.69 km
11,Ivory Heights,Partially Furnished Condominium,1688 sqft ,122 Jurong East Street 13, Ready to move,3,2,"S$ 2,600 /mo",EW25 Chinese Garden MRT Station,0.90 km
12,Parc Oasis,Fully Furnished Condominium,1076 sqft ,53 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
13,The Mayfair,Condominium,635 sqft ,9 Jurong East Street 32, Ready to move,1,1,"S$ 2,400 /mo",EW25 Chinese Garden MRT Station,0.40 km
14,Parc Oasis,Fully Furnished Condominium,1076 sqft ,53 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
15,253 Jurong East Street 24,Partially Furnished HDB Apartment,721 sqft ,253 Jurong East Street 24, Ready to move,2,2,"S$ 2,000 /mo",EW25 Chinese Garden MRT Station,0.50 km
16,The Mayfair,Fully Furnished Condominium,635 sqft ,1 Jurong East Street 32, Available from 20 Apr,1,1,"S$ 2,300 /mo",EW25 Chinese Garden MRT Station,0.40 km
17,106 Jurong East Street 13,Fully Furnished HDB Apartment,1290 sqft ,106 Jurong East Street 13, Available from 16 May,3,2,"S$ 2,400 /mo",EW25 Chinese Garden MRT Station,0.81 km
18,Westmere,Fully Furnished Apartment,1098 sqft ,Jurong East St 13, Ready to move,3,2,"S$ 2,500 /mo",EW25 Chinese Garden MRT Station,0.66 km
19,Ivory Heights,Fully Furnished Condominium,700 sqft ,124 Jurong East Street 13, S$ 3.14 psf,2,1,"S$ 2,200 /mo",EW25 Chinese Garden MRT Station,0.90 km
0,Parc Oasis,Partially Furnished Condominium,1378 sqft ,35 Jurong East Avenue 1, Ready to move,3,3,"S$ 3,590 /mo",EW25 Chinese Garden MRT Station,0.26 km
1,Parc Oasis,Condominium,1389 sqft ,53 Jurong East Avenue 1, Ready to move,3,2,"S$ 3,100 /mo",EW25 Chinese Garden MRT Station,0.26 km
2,372 Jurong East Street 32,HDB Apartment,689 sqft ,372 Jurong East Street 32, S$ 2.83 psf,2,0,"S$ 1,950 /mo",EW25 Chinese Garden MRT Station,0.69 km
3,Lakeside Tower,Partially Furnished Apartment,1980 sqft ,9G Yuan Ching Road, Ready to move,2,2,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.96 km
4,The Mayfair,Fully Furnished Condominium,1163 sqft ,3 Jurong East Street 32, Ready to move,3,3,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.40 km
5,Ivory Heights,Fully Furnished Apartment,1700 sqft ,Jurong East Street 13, Ready to move,3,2,"S$ 2,500 /mo",EW25 Chinese Garden MRT Station,0.90 km
6,Ivory Heights,Partially Furnished Condominium,1690 sqft ,Jurong East Street 13, Ready to move,3,2,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.90 km
7,483 Jurong West Street 41,Unfurnished HDB Apartment,990 sqft ,483 Jurong West Street 41, Ready to move,3,2,"S$ 2,300 /mo",EW25 Chinese Garden MRT Station,0.97 km
8,The Mayfair,Partially Furnished Condominium,1195 sqft ,7 Jurong East Street 32, Ready to move,3,1,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.40 km
9,Parc Oasis,Fully Furnished Condominium,1227 sqft ,47 Jurong East Avenue 1, Ready to move,3,2,"S$ 3,700 /mo",EW25 Chinese Garden MRT Station,0.26 km
10,306 Jurong East Street 32,Fully Furnished HDB Apartment,748 sqft ,306 Jurong East Street 32, S$ 2.54 psf,2,2,"S$ 1,900 /mo",EW25 Chinese Garden MRT Station,0.49 km
11,219A Jurong East Street 21,Fully Furnished HDB Apartment,1290 sqft ,219A Jurong East Street 21, Ready to move,4,2,"S$ 2,400 /mo",EW25 Chinese Garden MRT Station,0.58 km
12,The Mayfair,Fully Furnished Condominium,1194 sqft ,1 Jurong East Street 32, Ready to move,3,3,"S$ 2,700 /mo",EW25 Chinese Garden MRT Station,0.40 km
13,Parc Oasis,Fully Furnished Condominium,1227 sqft ,43 Jurong East Avenue 1, Ready to move,3,3,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
14,Westmere,Fully Furnished Condominium,1300 sqft ,77 Jurong East Street 13, Ready to move,3,2,"S$ 3,100 /mo",EW25 Chinese Garden MRT Station,0.73 km
15,Lakeville,Fully Furnished Condominium,635 sqft ,1 Jurong Lake Link, Ready to move,2,1,"S$ 2,400 /mo",EW25 Chinese Garden MRT Station,0.92 km
16,212 Jurong East Street 21,Partially Furnished HDB Apartment,1300 sqft ,212 Jurong East Street 21, S$ 1.85 psf,3,2,"S$ 2,400 /mo",EW25 Chinese Garden MRT Station,0.95 km
17,Lakeville,Fully Furnished Condominium,635 sqft ,Jurong Lake Link, Available from 1 May,2,1,"S$ 2,300 /mo",EW25 Chinese Garden MRT Station,0.92 km
18,Parc Oasis,Fully Furnished Condominium,1227 sqft ,43 Jurong East Avenue 1, S$ 2.85 psf,3,3,"S$ 3,500 /mo",EW25 Chinese Garden MRT Station,0.26 km
19,Parc Oasis,Fully Furnished Condominium,1227 sqft ,35 Jurong East Avenue 1, Ready to move,3,2,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.26 km
0,Westmere,Fully Furnished Condominium,1249 sqft ,71 Jurong East Street 13, Ready to move,Room,0,"S$ 1,450 /mo",EW25 Chinese Garden MRT Station,0.73 km
1,Parc Oasis,Fully Furnished Condominium,1227 sqft ,35 Jurong East Avenue 1, Ready to move,3,3,"S$ 3,000 /mo",EW25 Chinese Garden MRT Station,0.26 km
2,302 Jurong East Street 32,Partially Furnished HDB Apartment,781 sqft ,302 Jurong East Street 32, Ready to move,Room,0,S$ 800 /mo,EW25 Chinese Garden MRT Station,0.35 km
3,Parc Oasis,Fully Furnished Condominium,1227 sqft ,51 Jurong East Avenue 1, Ready to move,3,2,"S$ 2,500 /mo",EW25 Chinese Garden MRT Station,0.26 km
4,Parc Oasis,Fully Furnished Condominium,1076 sqft ,35 Jurong East Avenue 1, Ready to move,2,4,"S$ 3,100 /mo",EW25 Chinese Garden MRT Station,0.26 km
5,Ivory Heights,Partially Furnished Condominium,1668 sqft ,122 Jurong East Street 13, Ready to move,3,3,"S$ 2,650 /mo",EW25 Chinese Garden MRT Station,0.90 km
6,Parc Oasis,Fully Furnished Condominium,1067 sqft ,35 Jurong East Avenue 1, Available from 8 May,2,2,"S$ 2,900 /mo",EW25 Chinese Garden MRT Station,0.26 km
7,218 Jurong East Street 21,Fully Furnished HDB Apartment,200 sqft ,218 Jurong East Street 21, S$ 3.00 psf,Room,0,S$ 600 /mo,EW25 Chinese Garden MRT Station,0.63 km
8,210 Jurong East Street 21,HDB Apartment,882 sqft ,210 Jurong East Street 21, Ready to move,2,2,"S$ 2,200 /mo",EW25 Chinese Garden MRT Station,0.82 km
9,Parc Oasis,Fully Furnished Condominium,1227 sqft ,35 Jurong East Avenue 1, Ready to move,3,3,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
10,Parc Oasis,Fully Furnished Condominium,1076 sqft ,53 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,500 /mo",EW25 Chinese Garden MRT Station,0.26 km
11,Parc Oasis,Fully Furnished Condominium,1227 sqft ,35 Jurong East Avenue 1, Ready to move,3,3,"S$ 2,750 /mo",EW25 Chinese Garden MRT Station,0.26 km
12,101 Jurong East Street 13,Fully Furnished HDB Apartment,150 sqft ,101 Jurong East Street 13, Ready to move,Room,0,S$ 550 /mo,EW25 Chinese Garden MRT Station,0.92 km
13,The Mayfair,Unfurnished Condominium,1163 sqft ,1 Jurong East Street 32, Ready to move,3,3,"S$ 2,600 /mo",EW25 Chinese Garden MRT Station,0.40 km
14,Parc Oasis,Condominium,1507 sqft ,35 Jurong East Avenue 1, S$ 2.72 psf,4,0,"S$ 4,100 /mo",EW25 Chinese Garden MRT Station,0.26 km
15,172 Bukit Batok West Avenue 8,Fully Furnished HDB Apartment,1119 sqft ,172 Bukit Batok West Avenue 8, Ready to move,3,2,"S$ 2,200 /mo",EW25 Chinese Garden MRT Station,0.95 km
16,483 Jurong West Street 41,HDB Apartment,700 sqft ,483 Jurong West Street 41, Ready to move,2,2,"S$ 1,800 /mo",EW25 Chinese Garden MRT Station,0.97 km
17,Parc Oasis,Fully Furnished Condominium,1076 sqft ,35 Jurong East Avenue 1, Ready to move,2,3,"S$ 3,200 /mo",EW25 Chinese Garden MRT Station,0.26 km
18,Parc Oasis,Partially Furnished Condominium,1076 sqft ,39 Jurong East Avenue 1, Ready to move,2,2,"S$ 2,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
19,Parc Oasis,Fully Furnished Condominium,1378 sqft ,41 Jurong East Avenue 1, Ready to move,3,3,"S$ 3,800 /mo",EW25 Chinese Garden MRT Station,0.26 km
0,308 Jurong East Street 32,Fully Furnished HDB Apartment,160 sqft ,308 Jurong East Street 32, Ready to move,Room,0,S$ 650 /mo,EW25 Chinese Garden MRT Station,0.60 km
1,Parc Oasis,Fully Furnished Condominium,1378 sqft ,35 Jurong East Avenue 1, Ready to move,3,3,"S$ 3,799 /mo",EW25 Chinese Garden MRT Station,0.26 km
2,324 Jurong East Street 31,Fully Furnished HDB Apartment,180 sqft ,324 Jurong East Street 31, Ready to move,Room,0,S$ 850 /mo,EW25 Chinese Garden MRT Station,0.79 km
3,Parc Oasis,Fully Furnished Condominium,1076 sqft ,35 Jurong East Avenue 1, Ready to move,2,3,"S$ 2,799 /mo",EW25 Chinese Garden MRT Station,0.26 km
4,220 Jurong East Street 21,HDB Apartment,1270 sqft ,220 Jurong East Street 21, S$ 1.81 psf,3,2,"S$ 2,300 /mo",EW25 Chinese Garden MRT Station,0.59 km
5,113 Jurong East Street 13,HDB Apartment,968 sqft ,113 Jurong East Street 13, Ready to move,2,2,"S$ 2,000 /mo",EW25 Chinese Garden MRT Station,0.50 km
