0,Parc Vista,Fully Furnished Condominium,1044 sqft ,450 Corporation Road, Ready to move,1,2,"S$ 2,300 /mo",EW26 Lakeside MRT Station,0.48 km
1,The Lakeshore,Partially Furnished Condominium,947 sqft ,31 Jurong West Street 41, Ready to move,2,2,"S$ 2,800 /mo",EW26 Lakeside MRT Station,0.21 km
2,Lakeville,Partially Furnished Condominium,775 sqft ,5 Jurong Lake Link, Available from 9 May,2,2,"S$ 2,500 /mo",EW26 Lakeside MRT Station,0.50 km
3,Lakeville,Fully Furnished Condominium,560 sqft ,Jurong Lake Link, Available from 1 May,1,1,"S$ 2,200 /mo",EW26 Lakeside MRT Station,0.50 km
4,Tropika East,Partially Furnished Condominium,452 sqft ,(within 0.57 km), Ready to move,1,1,"S$ 2,000 /mo",EW26 Lakeside MRT Station,0.57 km
5,455 Jurong West Street 42,Unfurnished HDB Apartment,1100 sqft ,455 Jurong West Street 42, Ready to move,3,2,"S$ 1,900 /mo",EW26 Lakeside MRT Station,0.80 km
6,The Lakefront Residences,Partially Furnished Condominium,721 sqft ,46 Lakeside Drive, Ready to move,2,2,"S$ 2,850 /mo",EW26 Lakeside MRT Station,0.18 km
7,538 Jurong West Avenue 1,Partially Furnished HDB Apartment,920 sqft ,538 Jurong West Avenue 1, Ready to move,3,2,"S$ 2,000 /mo",EW26 Lakeside MRT Station,0.85 km
8,Lakeville,Fully Furnished Condominium,764 sqft ,Jurong Lake Link, Available from 1 Jun,2,2,"S$ 3,000 /mo",EW26 Lakeside MRT Station,0.50 km
9,Caspian,Partially Furnished Condominium,893 sqft ,50 Lakeside Drive, Ready to move,2,2,"S$ 2,800 /mo",EW26 Lakeside MRT Station,0.18 km
10,Lakeville,Fully Furnished Condominium,764 sqft ,Jurong Lake Link, Available from 1 Jun,2,2,"S$ 2,700 /mo",EW26 Lakeside MRT Station,0.50 km
11,Caspian,Fully Furnished Condominium,463 sqft ,50 Lakeside Drive, Ready to move,1,1,"S$ 2,100 /mo",EW26 Lakeside MRT Station,0.18 km
12,The Lakefront Residences,Partially Furnished Condominium,990 sqft ,48 Lakeside Drive, Ready to move,2,2,"S$ 2,800 /mo",EW26 Lakeside MRT Station,0.18 km
13,The Lakeshore,Partially Furnished Condominium,927 sqft ,31 Jurong West Street 41, Ready to move,2,2,"S$ 2,450 /mo",EW26 Lakeside MRT Station,0.21 km
14,Caspian,Fully Furnished Condominium,1238 sqft ,50 Lakeside Drive, Available from 7 May,3,2,"S$ 3,500 /mo",EW26 Lakeside MRT Station,0.18 km
15,The Lakefront Residences,Fully Furnished Condominium,721 sqft ,42 Lakeside Drive, Available from 1 May,2,2,"S$ 2,900 /mo",EW26 Lakeside MRT Station,0.18 km
16,The Lakeshore,Partially Furnished Condominium,947 sqft ,31 Jurong West Street 41, Ready to move,2,2,"S$ 2,500 /mo",EW26 Lakeside MRT Station,0.21 km
17,491 Jurong West Avenue 1,Partially Furnished HDB Apartment,70 sqft ,491 Jurong West Avenue 1, Ready to move,2,2,"S$ 1,600 /mo",EW26 Lakeside MRT Station,0.86 km
18,The Lakefront Residences,Fully Furnished Condominium,721 sqft ,48 Lakeside Drive, Ready to move,2,2,"S$ 2,600 /mo",EW26 Lakeside MRT Station,0.18 km
19,The Lakeshore,Fully Furnished Condominium,1151 sqft ,31 Jurong West Street 41, Available from 20 Apr,3,2,"S$ 3,200 /mo",EW26 Lakeside MRT Station,0.21 km
