0,690 Jurong West Central 1,Partially Furnished HDB Apartment,1066 sqft ,690 Jurong West Central 1, Ready to move,3,2,"S$ 2,300 /mo",EW27 Boon Lay MRT Station,0.33 km
1,631 Jurong West Street 65,Partially Furnished HDB Apartment,1100 sqft ,631 Jurong West Street 65, Ready to move,3,2,"S$ 2,100 /mo",EW27 Boon Lay MRT Station,0.84 km
2,662A Jurong West Street 64,Fully Furnished HDB Apartment,1300 sqft ,662A Jurong West Street 64, Ready to move,3,2,"S$ 2,300 /mo",EW27 Boon Lay MRT Station,0.38 km
3,The Centris,Fully Furnished Apartment,1050 sqft ,65 Jurong West Central 3, Ready to move,2,2,"S$ 2,700 /mo",EW27 Boon Lay MRT Station,0.13 km
4,652C Jurong West Street 61,Fully Furnished HDB Apartment,1184 sqft ,652C Jurong West Street 61, Available from 1 May,3,2,"S$ 2,500 /mo",EW27 Boon Lay MRT Station,1.00 km
5,656D Jurong West Street 61,Fully Furnished HDB Apartment,1420 sqft ,656D Jurong West Street 61, Ready to move,3,2,"S$ 2,500 /mo",EW27 Boon Lay MRT Station,0.76 km
6,620 Jurong West Street 65,Partially Furnished HDB Apartment,1184 sqft ,620 Jurong West Street 65, S$ 1.94 psf,3,2,"S$ 2,300 /mo",EW27 Boon Lay MRT Station,0.80 km
7,635 Jurong West Street 65,Fully Furnished HDB Apartment,1184 sqft ,635 Jurong West Street 65, Ready to move,3,2,"S$ 2,300 /mo",EW27 Boon Lay MRT Station,0.97 km
8,663A Jurong West Street 65,Fully Furnished HDB Apartment,968 sqft ,663A Jurong West Street 65, Ready to move,3,2,"S$ 2,250 /mo",EW27 Boon Lay MRT Station,0.47 km
9,620 Jurong West Street 65,Fully Furnished HDB Apartment,1184 sqft ,620 Jurong West Street 65, Ready to move,3,2,"S$ 2,200 /mo",EW27 Boon Lay MRT Station,0.80 km
10,654A Jurong West Street 61,Fully Furnished HDB Apartment,1184 sqft ,654A Jurong West Street 61, Available from 1 May,3,2,"S$ 2,700 /mo",EW27 Boon Lay MRT Station,0.89 km
11,The Centris,Fully Furnished Apartment,1297 sqft ,87 Jurong West Central 3, Ready to move,3,3,"S$ 3,900 /mo",EW27 Boon Lay MRT Station,0.13 km
12,676A Jurong West Street 64,Fully Furnished HDB Apartment,1185 sqft ,676A Jurong West Street 64, Ready to move,3,2,"S$ 2,000 /mo",EW27 Boon Lay MRT Station,0.91 km
13,The Centris,Fully Furnished Apartment,1066 sqft ,67 Jurong West Central 3, Available from 15 Apr,3,2,"S$ 3,488 /mo",EW27 Boon Lay MRT Station,0.13 km
14,664A Jurong West Street 64,Partially Furnished HDB Apartment,1184 sqft ,664A Jurong West Street 64, Ready to move,3,2,"S$ 2,500 /mo",EW27 Boon Lay MRT Station,0.30 km
15,649B Jurong West Street 61,Fully Furnished HDB Apartment,1141 sqft ,649B Jurong West Street 61, S$ 1.93 psf,3,2,"S$ 2,200 /mo",EW27 Boon Lay MRT Station,0.88 km
