0,631 Jurong West Street 65,Partially Furnished HDB Apartment,1100 sqft ,631 Jurong West Street 65, Ready to move,3,2,"S$ 2,100 /mo",EW28 Pioneer MRT Station,0.77 km
1,662A Jurong West Street 64,Fully Furnished HDB Apartment,1300 sqft ,662A Jurong West Street 64, Ready to move,3,2,"S$ 2,300 /mo",EW28 Pioneer MRT Station,0.64 km
2,The Centris,Fully Furnished Apartment,1050 sqft ,65 Jurong West Central 3, Ready to move,2,2,"S$ 2,700 /mo",EW28 Pioneer MRT Station,0.88 km
3,652C Jurong West Street 61,Fully Furnished HDB Apartment,1184 sqft ,652C Jurong West Street 61, Available from 1 May,3,2,"S$ 2,500 /mo",EW28 Pioneer MRT Station,0.10 km
4,643 Jurong West Street 61,Fully Furnished HDB Apartment,1100 sqft ,643 Jurong West Street 61, Ready to move,3,2,"S$ 2,199 /mo",EW28 Pioneer MRT Station,0.25 km
5,656D Jurong West Street 61,Fully Furnished HDB Apartment,1420 sqft ,656D Jurong West Street 61, Ready to move,3,2,"S$ 2,500 /mo",EW28 Pioneer MRT Station,0.37 km
6,620 Jurong West Street 65,Partially Furnished HDB Apartment,1184 sqft ,620 Jurong West Street 65, S$ 1.94 psf,3,2,"S$ 2,300 /mo",EW28 Pioneer MRT Station,0.52 km
7,635 Jurong West Street 65,Fully Furnished HDB Apartment,1184 sqft ,635 Jurong West Street 65, Ready to move,3,2,"S$ 2,300 /mo",EW28 Pioneer MRT Station,0.61 km
8,663A Jurong West Street 65,Fully Furnished HDB Apartment,968 sqft ,663A Jurong West Street 65, Ready to move,3,2,"S$ 2,250 /mo",EW28 Pioneer MRT Station,0.54 km
9,620 Jurong West Street 65,Fully Furnished HDB Apartment,1184 sqft ,620 Jurong West Street 65, Ready to move,3,2,"S$ 2,200 /mo",EW28 Pioneer MRT Station,0.52 km
10,654A Jurong West Street 61,Fully Furnished HDB Apartment,1184 sqft ,654A Jurong West Street 61, Available from 1 May,3,2,"S$ 2,700 /mo",EW28 Pioneer MRT Station,0.19 km
11,The Centris,Fully Furnished Apartment,1297 sqft ,87 Jurong West Central 3, Ready to move,3,3,"S$ 3,900 /mo",EW28 Pioneer MRT Station,0.88 km
12,The Centris,Fully Furnished Apartment,1066 sqft ,67 Jurong West Central 3, Available from 15 Apr,3,2,"S$ 3,488 /mo",EW28 Pioneer MRT Station,0.88 km
13,951 Jurong West Street 91,Fully Furnished HDB Apartment,1355 sqft ,951 Jurong West Street 91, Ready to move,3,2,"S$ 2,000 /mo",EW28 Pioneer MRT Station,0.96 km
14,664A Jurong West Street 64,Partially Furnished HDB Apartment,1184 sqft ,664A Jurong West Street 64, Ready to move,3,2,"S$ 2,500 /mo",EW28 Pioneer MRT Station,0.72 km
15,649B Jurong West Street 61,Fully Furnished HDB Apartment,1141 sqft ,649B Jurong West Street 61, S$ 1.93 psf,3,2,"S$ 2,200 /mo",EW28 Pioneer MRT Station,0.13 km
16,The Centris,Fully Furnished Apartment,1011 sqft ,65 Jurong West Central 3, Available from 18 Apr,2,2,"S$ 2,700 /mo",EW28 Pioneer MRT Station,0.88 km
17,974 Jurong West Street 93,Fully Furnished HDB Apartment,1571 sqft ,974 Jurong West Street 93, Available from 1 May,4,2,"S$ 2,800 /mo",EW28 Pioneer MRT Station,0.52 km
18,986A Jurong West Street 93,Partially Furnished HDB Apartment,1194 sqft ,986A Jurong West Street 93, Available from 16 May,3,2,"S$ 2,100 /mo",EW28 Pioneer MRT Station,0.21 km
19,663A Jurong West Street 65,Fully Furnished HDB Apartment,980 sqft ,663A Jurong West Street 65, Ready to move,3,2,"S$ 2,250 /mo",EW28 Pioneer MRT Station,0.54 km
0,The Centris,Fully Furnished Apartment,1302 sqft ,75 Jurong West Central 3, Ready to move,3,3,"S$ 4,100 /mo",EW28 Pioneer MRT Station,0.88 km
