0,97 Bedok North Avenue 4,Fully Furnished HDB Apartment,200 sqft ,97 Bedok North Avenue 4, Available from 16 Apr,Room,0,S$ 800 /mo,EW4 Tanah Merah MRT Station,0.98 km
1,Urban Vista,Partially Furnished Condominium,624 sqft ,2 Tanah Merah Kechil Link, S$ 3.69 psf,2,1,"S$ 2,300 /mo",EW4 Tanah Merah MRT Station,0.27 km
2,TANAH MERAH MRT COMMON ROOM 400M,Fully Furnished Apartment,250 sqft ,EAST VILLAGE, Ready to move,Room,0,"S$ 1,000 /mo",EW4 Tanah Merah MRT Station,0.15 km
3,182 Bedok North Road,Fully Furnished HDB Apartment,150 sqft ,182 Bedok North Road, Ready to move,Room,0,S$ 700 /mo,EW4 Tanah Merah MRT Station,0.49 km
4,185 Bedok North Road,Fully Furnished HDB Apartment,900 sqft ,185 Bedok North Road, Ready to move,3,2,"S$ 2,500 /mo",EW4 Tanah Merah MRT Station,0.65 km
5,Urban Vista,Condominium,850 sqft ,14 Tanah Merah Kechil Link, Ready to move,3,2,"S$ 2,900 /mo",EW4 Tanah Merah MRT Station,0.27 km
6,Bedok Grove,Terraced House,"3261 sqft, 1981 sqft (land) ",Bedok Place, Ready to move,4,4,"S$ 6,100 /mo",EW4 Tanah Merah MRT Station,0.82 km
7,ECO,Partially Furnished Condominium,650 sqft ,277 Bedok South Avenue 3, Ready to move,1,1,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.68 km
8,ECO,Partially Furnished Condominium,635 sqft ,277 Bedok South Avenue 3, Ready to move,1,1,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.68 km
9,ECO,Partially Furnished Condominium,635 sqft ,279 Bedok South Avenue 3, Ready to move,1,2,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.68 km
10,ECO,Partially Furnished Condominium,635 sqft ,283 Bedok South Avenue 3, Ready to move,1,1,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.68 km
11,Casa Merah,Fully Furnished Apartment,1227 sqft ,50 Tanah Merah Kechil Avenue, Ready to move,3,3,"S$ 3,900 /mo",EW4 Tanah Merah MRT Station,0.28 km
12,The Glades,Partially Furnished Condominium,570 sqft ,Bedok Rise, Available from 19 May,2,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.20 km
13,Urban Vista,Fully Furnished Condominium,797 sqft ,2 Tanah Merah Kechil Link, Ready to move,3,2,"S$ 2,750 /mo",EW4 Tanah Merah MRT Station,0.27 km
14,Casa Merah,Condominium,1226 sqft ,50 Tanah Merah Kechil Avenue, Ready to move,3,3,"S$ 3,600 /mo",EW4 Tanah Merah MRT Station,0.28 km
15,Master Bed Room For Rent Near Tanah Merah MRT Station,Fully Furnished Terraced House,194 sqft ,JALAN TANJONG, Ready to move,Room,0,"S$ 1,400 /mo",EW4 Tanah Merah MRT Station,0.43 km
16,The Glades,Partially Furnished Condominium,452 sqft ,Bedok Rise, S$ 4.65 psf,1,1,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.20 km
17,The Glades,Partially Furnished Condominium,651 sqft ,Bedok Rise, S$ 3.69 psf,2,1,"S$ 2,400 /mo",EW4 Tanah Merah MRT Station,0.20 km
18,Casa Merah,Partially Furnished Condominium,1550 sqft ,60 Tanah Merah Kechil Avenue, Ready to move,4,4,"S$ 4,300 /mo",EW4 Tanah Merah MRT Station,0.28 km
19,Urban Vista,Fully Furnished Condominium,549 sqft ,6 Tanah Merah Kechil Link, Available from 30 Apr,1,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.27 km
20,East Meadows,Fully Furnished Condominium,1195 sqft ,32 Tanah Merah Kechil Road, Ready to move,3,3,"S$ 3,200 /mo",EW4 Tanah Merah MRT Station,0.32 km
0,East Meadows,Fully Furnished Condominium,1200 sqft ,30 Tanah Merah Kechil Road, Ready to move,3,3,"S$ 3,200 /mo",EW4 Tanah Merah MRT Station,0.32 km
1,The Glades,Fully Furnished Condominium,452 sqft ,12 Bedok, Ready to move,1,1,"S$ 2,488 /mo",EW4 Tanah Merah MRT Station,0.14 km
2,Casa Merah,Fully Furnished Condominium,1227 sqft ,50 Tanah Merah Kechil Avenue, Ready to move,3,3,"S$ 3,600 /mo",EW4 Tanah Merah MRT Station,0.28 km
3,Casa Merah,Fully Furnished Condominium,1227 sqft ,52 Tanah Merah Kechil Avenue, Available from 1 May,3,3,"S$ 3,500 /mo",EW4 Tanah Merah MRT Station,0.28 km
4,172 Bedok South Road,Partially Furnished HDB Apartment,1313 sqft ,172 Bedok South Road, Ready to move,3,2,"S$ 2,300 /mo",EW4 Tanah Merah MRT Station,0.77 km
5,Casa Merah,Fully Furnished Condominium,1238 sqft ,50 Tanah Merah Kechil Avenue, Ready to move,3,3,"S$ 3,600 /mo",EW4 Tanah Merah MRT Station,0.28 km
6,Bedok Grove,Partially Furnished Terraced House,"3261 sqft, 1776 sqft (land) ",34 Bedok Place, Ready to move,4,4,"S$ 5,900 /mo",EW4 Tanah Merah MRT Station,0.82 km
7,The Glades,Fully Furnished Condominium,480 sqft ,12 Bedok, Available from 20 May,1,1,"S$ 2,500 /mo",EW4 Tanah Merah MRT Station,0.14 km
8,Urban Vista,Fully Furnished Condominium,441 sqft ,2 Tanah Merah Kechil Link, Ready to move,1,1,"S$ 2,000 /mo",EW4 Tanah Merah MRT Station,0.27 km
9,ECO,Fully Furnished Condominium,581 sqft ,Bedok South Avenue 3, Available from 16 Apr,1,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.68 km
10,ECO,Partially Furnished Condominium,581 sqft ,Bedok South Avenue 3, Available from 16 Apr,1,1,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.68 km
11,ECO,Condominium,850 sqft ,Bedok South Avenue 3, Ready to move,2,2,"S$ 2,700 /mo",EW4 Tanah Merah MRT Station,0.68 km
12,Bedok Court,Unfurnished Condominium,2400 sqft ,295 Bedok South Avenue 3, Ready to move,3,2,"S$ 3,800 /mo",EW4 Tanah Merah MRT Station,0.62 km
13,Bedok Court,Partially Furnished Condominium,6800 sqft ,295 Bedok South Avenue 3, Ready to move,5,4,"S$ 5,800 /mo",EW4 Tanah Merah MRT Station,0.62 km
14,Casa Merah,Condominium,1227 sqft ,50 Tanah Merah Kechil Avenue, Ready to move,3,2,"S$ 3,600 /mo",EW4 Tanah Merah MRT Station,0.28 km
15,The Glades,Fully Furnished Condominium,678 sqft ,12 Bedok, Ready to move,2,2,"S$ 3,000 /mo",EW4 Tanah Merah MRT Station,0.14 km
16,ECO,Condominium,614 sqft ,Bedok South Avenue 3, Available from 1 May,2,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.68 km
17,ECO,Condominium,614 sqft ,Bedok South Avenue 3, Available from 1 May,1,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.68 km
18,The Glades,Partially Furnished Condominium,581 sqft ,6 Bedok Rise, Ready to move,2,1,"S$ 2,480 /mo",EW4 Tanah Merah MRT Station,0.31 km
19,Casa Merah,Fully Furnished Condominium,1227 sqft ,58 Tanah Merah Kechil Avenue, Ready to move,3,3,"S$ 3,599 /mo",EW4 Tanah Merah MRT Station,0.28 km
0,Casa Merah,Fully Furnished Condominium,2185 sqft ,60 Tanah Merah Kechil Avenue, Ready to move,4,4,"S$ 5,300 /mo",EW4 Tanah Merah MRT Station,0.28 km
1,Casa Merah,Fully Furnished Condominium,1227 sqft ,50 Tanah Merah Kechil Avenue, Ready to move,3,3,"S$ 3,600 /mo",EW4 Tanah Merah MRT Station,0.28 km
2,Urban Vista,Partially Furnished Condominium,797 sqft ,4 Tanah Merah Kechil Link, Available from 30 Apr,2,2,"S$ 2,800 /mo",EW4 Tanah Merah MRT Station,0.27 km
3,East Meadows,Fully Furnished Condominium,1195 sqft ,30 Tanah Merah Kechil Road, Ready to move,3,3,"S$ 3,300 /mo",EW4 Tanah Merah MRT Station,0.32 km
4,Casa Merah,Partially Furnished Condominium,1571 sqft ,62 Tanah Merah Kechil Avenue, Ready to move,4,4,"S$ 4,300 /mo",EW4 Tanah Merah MRT Station,0.28 km
5,Urban Vista,Partially Furnished Condominium,350 sqft ,Tanah Merah Kechil Road, Available from 10 Jun,Studio,0,"S$ 1,700 /mo",EW4 Tanah Merah MRT Station,0.34 km
6,ECO,Partially Furnished Condominium,549 sqft ,(within 0.68 km), Available from 7 May,1,1,"S$ 1,980 /mo",EW4 Tanah Merah MRT Station,0.68 km
7,Bedok Court,Partially Furnished Condominium,2500 sqft ,295 Bedok South Avenue 3, Ready to move,3,2,"S$ 3,800 /mo",EW4 Tanah Merah MRT Station,0.62 km
8,Casa Merah,Partially Furnished Condominium,1238 sqft ,54 Tanah Merah Kechil Avenue, Ready to move,3,3,"S$ 3,500 /mo",EW4 Tanah Merah MRT Station,0.28 km
9,Urban Vista,Fully Furnished Condominium,560 sqft ,10 Tanah Merah Kechil Link, Ready to move,2,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.27 km
10,D'Manor,Fully Furnished Cluster House,150 sqft ,Tanah Merah Kechil Avenue, Ready to move,Room,0,S$ 950 /mo,EW4 Tanah Merah MRT Station,0.27 km
