0,Bedok Residences,Partially Furnished Condominium,581 sqft ,30 Bedok North Drive, Ready to move,1,1,"S$ 2,500 /mo",EW5 Bedok MRT Station,0.26 km
1,Bedok Residences,Partially Furnished Condominium,883 sqft ,18 Bedok North Drive, Ready to move,2,2,"S$ 3,500 /mo",EW5 Bedok MRT Station,0.26 km
2,Bedok Residences,Partially Furnished Condominium,1109 sqft ,28 Bedok North Drive, Available from 7 May,2,2,"S$ 3,900 /mo",EW5 Bedok MRT Station,0.26 km
3,34 Bedok South Avenue 2,Fully Furnished HDB Apartment,904 sqft ,34 Bedok South Avenue 2, Ready to move,3,2,"S$ 2,400 /mo",EW5 Bedok MRT Station,0.90 km
4,20 Chai Chee Road,Fully Furnished HDB Apartment,150 sqft ,20 Chai Chee Road, Ready to move,Room,0,S$ 400 /mo,EW5 Bedok MRT Station,0.85 km
5,Bedok Residences,Fully Furnished Condominium,635 sqft ,28 Bedok North Drive, Ready to move,1,1,"S$ 2,400 /mo",EW5 Bedok MRT Station,0.26 km
6,Bedok Residences,Fully Furnished Condominium,527 sqft ,24 Bedok North Drive, Ready to move,1,1,"S$ 2,350 /mo",EW5 Bedok MRT Station,0.26 km
7,Bedok Residences,Condominium,1098 sqft ,24 Bedok North Drive, Ready to move,3,2,"S$ 3,700 /mo",EW5 Bedok MRT Station,0.26 km
8,Bedok Residences,Fully Furnished Condominium,883 sqft ,30 Bedok North Drive, Ready to move,2,2,"S$ 3,200 /mo",EW5 Bedok MRT Station,0.26 km
9,Bedok Residences,Partially Furnished Condominium,1109 sqft ,24 Bedok North Drive, Ready to move,2,2,"S$ 3,500 /mo",EW5 Bedok MRT Station,0.26 km
10,34 Chai Chee Avenue,Partially Furnished HDB Apartment,1259 sqft ,34 Chai Chee Avenue, Ready to move,3,2,"S$ 2,698 /mo",EW5 Bedok MRT Station,0.44 km
11,201 Bedok North Street 1,Fully Furnished HDB Apartment,797 sqft ,201 Bedok North Street 1, Ready to move,1,1,S$ 800 /mo,EW5 Bedok MRT Station,0.38 km
12,201 Bedok North Street 1,Fully Furnished HDB Apartment,796 sqft ,201 Bedok North Street 1, Ready to move,Room,0,S$ 800 /mo,EW5 Bedok MRT Station,0.38 km
13,Bedok Residences,Condominium,1292 sqft ,22 Bedok North Drive, Available from 28 May,3,2,"S$ 3,700 /mo",EW5 Bedok MRT Station,0.26 km
14,Casafina,Condominium,1378 sqft ,211 Bedok South Ave 1, S$ 2.61 psf,3,2,"S$ 3,600 /mo",EW5 Bedok MRT Station,0.96 km
15,Bedok Residences,Fully Furnished Condominium,1216 sqft ,24 Bedok North Drive, Ready to move,3,3,"S$ 4,100 /mo",EW5 Bedok MRT Station,0.26 km
16,421 Bedok North Road,Fully Furnished HDB Apartment,990 sqft ,421 Bedok North Road, Ready to move,3,2,"S$ 2,399 /mo",EW5 Bedok MRT Station,0.52 km
17,415 Bedok North Avenue 2,Fully Furnished HDB Apartment,200 sqft ,415 Bedok North Avenue 2, Ready to move,Room,0,S$ 650 /mo,EW5 Bedok MRT Station,0.64 km
18,425 Bedok North Road,Fully Furnished HDB Apartment,721 sqft ,425 Bedok North Road, Available from 25 Apr,2,2,"S$ 2,000 /mo",EW5 Bedok MRT Station,0.62 km
19,214 Bedok North Street 1,Partially Furnished HDB Apartment,732 sqft ,214 Bedok North Street 1, Available from 1 May,2,2,"S$ 2,100 /mo",EW5 Bedok MRT Station,0.29 km
0,Bedok Residences,Fully Furnished Condominium,872 sqft ,16 Bedok North Drive, Ready to move,2,2,"S$ 3,200 /mo",EW5 Bedok MRT Station,0.26 km
1,418 Bedok North Avenue 2,Fully Furnished HDB Apartment,50 sqft ,418 Bedok North Avenue 2, Available from 1 May,Room,0,S$ 650 /mo,EW5 Bedok MRT Station,0.54 km
2,Bedok Residences,Fully Furnished Condominium,936 sqft ,24 Bedok North Drive, Ready to move,2,2,"S$ 3,400 /mo",EW5 Bedok MRT Station,0.26 km
3,Bedok Residences,Partially Furnished Condominium,775 sqft ,26 Bedok North Drive, Ready to move,2,1,"S$ 2,900 /mo",EW5 Bedok MRT Station,0.26 km
4,Park East,Partially Furnished Condominium,900 sqft ,(within 0.91 km), S$ 2.33 psf,2,2,"S$ 2,100 /mo",EW5 Bedok MRT Station,0.91 km
5,Bedok Residences,Fully Furnished Condominium,883 sqft ,24 Bedok North Drive, Ready to move,2,2,"S$ 2,950 /mo",EW5 Bedok MRT Station,0.26 km
6,Bedok Residences,Condominium,1109 sqft ,24 Bedok North Drive, Available from 4 Jun,3,3,"S$ 4,100 /mo",EW5 Bedok MRT Station,0.26 km
7,20 Bedok South Road,Fully Furnished HDB Apartment,1259 sqft ,20 Bedok South Road, Ready to move,3,2,"S$ 2,200 /mo",EW5 Bedok MRT Station,0.60 km
8,221C Bedok Central,Fully Furnished HDB Apartment,150 sqft ,221C Bedok Central, S$ 4.53 psf,Room,0,S$ 680 /mo,EW5 Bedok MRT Station,0.44 km
9,Bedok Residences,Partially Furnished Condominium,1485 sqft ,24 Bedok North Drive, Available from 13 Apr,4,4,"S$ 5,000 /mo",EW5 Bedok MRT Station,0.26 km
10,522 Bedok North Avenue 1,Fully Furnished HDB Apartment,732 sqft ,522 Bedok North Avenue 1, Available from 1 May,2,2,"S$ 1,800 /mo",EW5 Bedok MRT Station,0.82 km
