0,Gold Palm Mansions,Apartment,1173 sqft ,139 Lorong K Telok Kurau, Ready to move,3,2,"S$ 3,350 /mo",EW6 Kembangan MRT Station,0.82 km
1,Mill Creek,Partially Furnished Condominium,915 sqft ,10 Lorong Marzuki, Ready to move,2,2,"S$ 2,750 /mo",EW6 Kembangan MRT Station,0.35 km
2,Envio,Fully Furnished Condominium,1033 sqft ,281 Joo Chiat Place, Available from 10 May,3,2,"S$ 3,100 /mo",EW6 Kembangan MRT Station,0.82 km
3,Jing Suite,Fully Furnished Apartment,246 sqft ,275 changi road, Ready to move,Studio,0,"S$ 1,550 /mo",EW6 Kembangan MRT Station,0.82 km
4,Jalan Daud Semi Detached,Partially Furnished Semi-Detached House,"4500 sqft, 3200 sqft (land) ",49A Jalan Daud, Ready to move,5,5,"S$ 4,900 /mo",EW6 Kembangan MRT Station,0.70 km
5,Lorong H Telok Kurau,Partially Furnished Walk-up,2000 sqft ,Lorong H Telok Kurau, Ready to move,4,3,"S$ 3,200 /mo",EW6 Kembangan MRT Station,0.57 km
6,Vacanza @ East,Partially Furnished Condominium,840 sqft ,38 Lengkong Tujoh, Available from 15 Apr,2,2,"S$ 2,500 /mo",EW6 Kembangan MRT Station,0.94 km
7,Gold Palm Mansions,Partially Furnished Condominium,1200 sqft ,139 Lorong K Telok Kurau, Ready to move,3,3,"S$ 3,000 /mo",EW6 Kembangan MRT Station,0.82 km
8,8 Eunos Crescent,Fully Furnished HDB Apartment,200 sqft ,8 Eunos Crescent, Ready to move,Room,0,"S$ 1,000 /mo",EW6 Kembangan MRT Station,0.89 km
9,The Trumps,Fully Furnished Condominium,1281 sqft ,1 Jalan Kembangan, Ready to move,1,1,"S$ 2,800 /mo",EW6 Kembangan MRT Station,0.11 km
10,Astoria Park,Fully Furnished Condominium,100 sqft ,28 Lorong Mydin, Ready to move,Room,0,"S$ 1,000 /mo",EW6 Kembangan MRT Station,0.10 km
11,Suites @ Eunos,Fully Furnished Condominium,380 sqft ,1 Jalan Yasin, Ready to move,1,1,"S$ 1,800 /mo",EW6 Kembangan MRT Station,0.77 km
12,Eunos Park,Partially Furnished Apartment,1292 sqft ,5 Kampong Eunos, Ready to move,3,2,"S$ 2,700 /mo",EW6 Kembangan MRT Station,0.78 km
13,Parc Bleu,Partially Furnished Condominium,1141 sqft ,262 Joo Chiat Place, S$ 2.89 psf,2,2,"S$ 3,300 /mo",EW6 Kembangan MRT Station,0.93 km
14,Parc Elegance,Fully Furnished Condominium,474 sqft ,15 Telok Kurau Road, Ready to move,1,1,"S$ 1,850 /mo",EW6 Kembangan MRT Station,0.57 km
15,Gold Palm Mansions,Partially Furnished Apartment,1173 sqft ,139 Lorong K Telok Kurau, Ready to move,3,3,"S$ 3,300 /mo",EW6 Kembangan MRT Station,0.82 km
16,8 Lorong G Telok Kurau,Partially Furnished Bungalow House,"6100 sqft, 7700 sqft (land) ",Lorong G Telok Kurau, Ready to move,6,4,"S$ 15,000 /mo",EW6 Kembangan MRT Station,0.90 km
17,Frankel Estate,Partially Furnished Detached House,"5600 sqft, 8200 sqft (land) ",(within 0.75 km), Available from 1 May,6,5,"S$ 11,000 /mo",EW6 Kembangan MRT Station,0.75 km
18,Suites@Changi,Fully Furnished Apartment,441 sqft ,226 Changi Road, Ready to move,1,1,"S$ 1,900 /mo",EW6 Kembangan MRT Station,0.99 km
19,Suites @ Eunos,Fully Furnished Condominium,380 sqft ,1 Jalan Yasin, Ready to move,1,1,"S$ 1,800 /mo",EW6 Kembangan MRT Station,0.77 km
0,Astoria Park,Partially Furnished Condominium,958 sqft ,28 Lorong Mydin, S$ 3.08 psf,2,2,"S$ 2,950 /mo",EW6 Kembangan MRT Station,0.10 km
1,Deng Fu Ville,Fully Furnished Apartment,1003 sqft ,30 Kampong Eunos, Available from 21 Apr,3,3,"S$ 2,950 /mo",EW6 Kembangan MRT Station,0.73 km
2,Soho Euhabitat Immediately Move In????,Condominium,570 sqft ,Euhabitat, Ready to move,1,1,"S$ 2,100 /mo",EW6 Kembangan MRT Station,0.90 km
3,Astoria Park,Fully Furnished Condominium,1195 sqft ,36 Lorong Mydin, S$ 2.93 psf,3,2,"S$ 3,500 /mo",EW6 Kembangan MRT Station,0.10 km
4,Palmera East,Fully Furnished Apartment,560 sqft ,29 Lorong Melayu, Ready to move,2,1,"S$ 2,300 /mo",EW6 Kembangan MRT Station,0.29 km
5,Nature Mansions,Unfurnished Apartment,1200 sqft ,52 Lorong K Telok Kurau, Ready to move,3,3,"S$ 3,000 /mo",EW6 Kembangan MRT Station,0.98 km
6,61 Chai Chee Road,Fully Furnished HDB Apartment,150 sqft ,61 Chai Chee Road, Ready to move,Room,0,S$ 500 /mo,EW6 Kembangan MRT Station,0.99 km
7,LORONG H TELOK KURAU,Fully Furnished Bungalow House,"500 sqft, 3000 sqft (land) ",Lorong H Telok Kurau, Ready to move,Room,0,"S$ 1,100 /mo",EW6 Kembangan MRT Station,0.46 km
8,Vacanza @ East,Partially Furnished Condominium,840 sqft ,48 Lengkong Tujoh, Available from 23 Jun,2,2,"S$ 2,650 /mo",EW6 Kembangan MRT Station,0.94 km
