0,25 Eunos Crescent,Fully Furnished HDB Apartment,63 sqft ,25 Eunos Crescent, Ready to move,1,2,"S$ 2,200 /mo",EW7 Eunos MRT Station,0.41 km
1,SUNSTONE RESIDENCES,Partially Furnished Apartment,1230 sqft ,51 Jalan Daud, Ready to move,3,2,"S$ 2,800 /mo",EW7 Eunos MRT Station,0.95 km
2,Townhouse For RENT @ Joo Chiat,Partially Furnished Terraced House,"2200 sqft, 1000 sqft (land) ",Joo Chiat Terrace, Ready to move,4,3,"S$ 3,300 /mo",EW7 Eunos MRT Station,0.53 km
3,Euhabitat,Partially Furnished Condominium,1012 sqft ,Jalan Eunos, Available from 1 Jun,2,2,"S$ 2,800 /mo",EW7 Eunos MRT Station,0.97 km
4,323 Ubi Avenue 1,Fully Furnished HDB Apartment,1100 sqft ,323 Ubi Avenue 1, Ready to move,3,2,"S$ 2,300 /mo",EW7 Eunos MRT Station,0.94 km
5,18 Eunos Crescent,Fully Furnished HDB Apartment,700 sqft ,18 Eunos Crescent, Ready to move,2,1,"S$ 1,950 /mo",EW7 Eunos MRT Station,0.45 km
6,The Heliconia,Fully Furnished Condominium,2133 sqft ,30 Jalan Daud, Ready to move,3,3,"S$ 4,600 /mo",EW7 Eunos MRT Station,0.96 km
7,Jalan Eunos,Unfurnished Terraced House,"1565 sqft, 1565 sqft (land) ",jalan eunos, Ready to move,4,3,"S$ 3,600 /mo",EW7 Eunos MRT Station,0.39 km
8,Palm Oasis,Partially Furnished Apartment,783 sqft ,51 Lorong H Telok Kurau, Ready to move,2,2,"S$ 2,900 /mo",EW7 Eunos MRT Station,0.73 km
9,East Ville,Partially Furnished Condominium,1100 sqft ,43 Joo Chiat Lane, Ready to move,3,2,"S$ 2,200 /mo",EW7 Eunos MRT Station,0.79 km
10,Bendigo Gardens,Fully Furnished Apartment,205 sqft ,115 Koon Seng Road, Ready to move,Room,0,"S$ 1,050 /mo",EW7 Eunos MRT Station,0.82 km
11,Deng Fu Ville,Condominium,1800 sqft ,30 Kampong Eunos, Ready to move,3,3,"S$ 3,500 /mo",EW7 Eunos MRT Station,0.35 km
12,347 Ubi Avenue 1,Fully Furnished HDB Apartment,950 sqft ,347 Ubi Avenue 1, S$ 0.58 psf,Room,0,S$ 550 /mo,EW7 Eunos MRT Station,0.76 km
13,Palm Oasis,Fully Furnished Apartment,750 sqft ,51 Lorong H Telok Kurau, Ready to move,2,2,"S$ 2,300 /mo",EW7 Eunos MRT Station,0.73 km
14,338 Ubi Avenue 1,Fully Furnished HDB Apartment,150 sqft ,338 Ubi Avenue 1, Ready to move,Room,0,S$ 950 /mo,EW7 Eunos MRT Station,0.72 km
15,D'Sunrise,Fully Furnished Condominium,850 sqft ,8 Joo Chiat Lane, S$ 3.06 psf,3,2,"S$ 2,600 /mo",EW7 Eunos MRT Station,0.89 km
16,25 Eunos Crescent,Fully Furnished HDB Apartment,64 sqft ,25 Eunos Crescent, Ready to move,1,1,"S$ 2,200 /mo",EW7 Eunos MRT Station,0.41 km
17,13 Eunos Crescent,Partially Furnished HDB Apartment,1259 sqft ,13 Eunos Crescent, Ready to move,4,2,"S$ 2,750 /mo",EW7 Eunos MRT Station,0.32 km
18,Euhabitat,Fully Furnished Condominium,549 sqft ,212 Jalan Eunos, Ready to move,1,1,"S$ 2,050 /mo",EW7 Eunos MRT Station,0.97 km
19,The Lenox,Partially Furnished Apartment,491 sqft ,398 Changi Road, Ready to move,1,1,"S$ 2,000 /mo",EW7 Eunos MRT Station,0.89 km
0,Sunny Lodge,Unfurnished Apartment,624 sqft ,4 Lorong Salleh, Ready to move,2,2,"S$ 2,200 /mo",EW7 Eunos MRT Station,0.64 km
1,D'Fresco,Partially Furnished Apartment,2928 sqft ,58 Joo Chiat Lane, S$ 1.67 psf,4,4,"S$ 4,900 /mo",EW7 Eunos MRT Station,0.84 km
2,"Lorong J, Telok Kurua",Fully Furnished Semi-Detached House,"169 sqft, 5000 sqft (land) ",(within 0.83 km), S$ 0.24 psf,Room,0,"S$ 1,200 /mo",EW7 Eunos MRT Station,0.83 km
3,32 Eunos Crescent,Fully Furnished HDB Apartment,989 sqft ,32 Eunos Crescent, S$ 2.53 psf,3,2,"S$ 2,500 /mo",EW7 Eunos MRT Station,0.21 km
4,Astoria Park,Fully Furnished Condominium,1150 sqft ,28 Lorong Mydin, S$ 2.96 psf,3,2,"S$ 3,400 /mo",EW7 Eunos MRT Station,0.96 km
5,104 Lengkong Tiga,Fully Furnished HDB Apartment,1579 sqft ,104 Lengkong Tiga, S$ 1.71 psf,3,3,"S$ 2,700 /mo",EW7 Eunos MRT Station,1.00 km
6,Parc Bleu,Fully Furnished Condominium,1141 sqft ,262 Joo Chiat Place, S$ 2.89 psf,2,2,"S$ 3,300 /mo",EW7 Eunos MRT Station,0.76 km
7,Centrina,Fully Furnished Apartment,700 sqft ,11 Everitt Road North, S$ 3.43 psf,2,2,"S$ 2,400 /mo",EW7 Eunos MRT Station,0.45 km
8,Parc Elegance,Condominium,441 sqft ,15 Telok Kurau Road, S$ 4.31 psf,1,1,"S$ 1,900 /mo",EW7 Eunos MRT Station,0.63 km
9,Suites @ Eunos,Partially Furnished Condominium,366 sqft ,1 Jalan Yasin, S$ 5.46 psf,1,1,"S$ 2,000 /mo",EW7 Eunos MRT Station,0.30 km
10,24 Eunos Crescent,Fully Furnished HDB Apartment,721 sqft ,24 Eunos Crescent, S$ 2.36 psf,2,2,"S$ 1,699 /mo",EW7 Eunos MRT Station,0.46 km
11,H Residences,Partially Furnished Condominium,550 sqft ,50A Lorong H Telok Kurau, S$ 3.60 psf,2,1,"S$ 1,980 /mo",EW7 Eunos MRT Station,0.65 km
12,Saraya Road,Fully Furnished Terraced House,"500 sqft, 3500 sqft (land) ",Saraya Road, S$ 0.69 psf,2,2,"S$ 2,400 /mo",EW7 Eunos MRT Station,0.42 km
13,One Eighties Residences,Partially Furnished Apartment,635 sqft ,186 Joo Chiat Terrace, S$ 3.46 psf,2,2,"S$ 2,200 /mo",EW7 Eunos MRT Station,0.59 km
14,Casa Sarina,Fully Furnished Condominium,947 sqft ,101 Lorong Sarina, S$ 2.53 psf,2,2,"S$ 2,400 /mo",EW7 Eunos MRT Station,0.42 km
15,Astoria Park,Fully Furnished Condominium,300 sqft ,32 Lorong Mydin, S$ 5.00 psf,Room,0,"S$ 1,500 /mo",EW7 Eunos MRT Station,0.96 km
16,Millage,Fully Furnished Condominium,463 sqft ,55 Changi Road, S$ 4.64 psf,1,1,"S$ 2,150 /mo",EW7 Eunos MRT Station,0.58 km
