0,The Sunny Spring,Fully Furnished Apartment,1023 sqft ,50 Lorong 40 Geylang, Available from 7 May,3,2,"S$ 3,288 /mo",EW8 Paya Lebar MRT Station,0.76 km
1,The Waterina,Partially Furnished Apartment,1356 sqft ,51 Lorong 40 Geylang, Available from 1 May,3,3,"S$ 3,700 /mo",EW8 Paya Lebar MRT Station,0.70 km
2,The Amarelle,Fully Furnished Apartment,571 sqft ,49 Lim Ah Woo Road, Ready to move,1,1,"S$ 2,300 /mo",EW8 Paya Lebar MRT Station,0.58 km
3,The Waterina,Fully Furnished Apartment,1356 sqft ,51 Lorong 40 Geylang, Available from 1 May,3,2,"S$ 3,600 /mo",EW8 Paya Lebar MRT Station,0.70 km
4,Esta Ruby,Fully Furnished Condominium,1130 sqft ,500 Guillimard Road, Ready to move,3,2,"S$ 3,500 /mo",EW8 Paya Lebar MRT Station,0.47 km
5,Katong Regency,Fully Furnished Condominium,840 sqft ,13 Tanjong Katong Road, Ready to move,1,1,"S$ 3,600 /mo",EW8 Paya Lebar MRT Station,0.37 km
6,D'Weave,Fully Furnished Condominium,549 sqft ,5 Lorong 39 Geylang, S$ 4.37 psf,2,1,"S$ 2,399 /mo",EW8 Paya Lebar MRT Station,0.41 km
7,The Water Edge @ Geylang,Fully Furnished Condominium,538 sqft ,8 Lorong 38 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW8 Paya Lebar MRT Station,0.69 km
8,Centra Loft,Fully Furnished Condominium,431 sqft ,3 Lorong 35 Geylang, Ready to move,1,1,"S$ 1,900 /mo",EW8 Paya Lebar MRT Station,0.66 km
9,Silverscape,Partially Furnished Apartment,463 sqft ,39 LORONG 32 GEYLANG, S$ 3.89 psf,1,1,"S$ 1,800 /mo",EW8 Paya Lebar MRT Station,0.95 km
10,Ness,Partially Furnished Condominium,463 sqft ,38 Lorong 32 Geylang, S$ 4.10 psf,1,1,"S$ 1,900 /mo",EW8 Paya Lebar MRT Station,0.96 km
11,Versailles,Fully Furnished Condominium,742 sqft ,133 Hemmant Road, Ready to move,1,2,"S$ 1,900 /mo",EW8 Paya Lebar MRT Station,0.79 km
12,City Plaza,Fully Furnished Apartment,250 sqft ,810 Geylang Road, Ready to move,Room,0,"S$ 1,200 /mo",EW8 Paya Lebar MRT Station,0.39 km
13,Simsville,Condominium,979 sqft ,2 Geylang East Avenue 2, Ready to move,2,2,"S$ 2,900 /mo",EW8 Paya Lebar MRT Station,0.42 km
14,Crane Court,Fully Furnished Walk-up,1200 sqft ,38 Crane Road, Ready to move,3,1,"S$ 2,800 /mo",EW8 Paya Lebar MRT Station,0.88 km
15,Katong Regency,Partially Furnished Condominium,560 sqft ,13 Tanjong Katong Road, Ready to move,1,1,"S$ 2,500 /mo",EW8 Paya Lebar MRT Station,0.37 km
16,Katong Regency,Fully Furnished Condominium,840 sqft ,13 Tanjong Katong Road, Available from 1 May,1,1,"S$ 3,000 /mo",EW8 Paya Lebar MRT Station,0.37 km
