0,Lorong 17 Geylang,Unfurnished Apartment,1000 sqft ,Lorong 17 Geylang, Ready to move,3,2,"S$ 2,100 /mo",EW9 Aljunied MRT Station,0.57 km
1,Aston Mansions,Fully Furnished Apartment,1142 sqft ,3 Lorong 42 Geylang, Ready to move,3,2,"S$ 3,300 /mo",EW9 Aljunied MRT Station,0.90 km
2,Chen Fang Mansions,Fully Furnished Condominium,936 sqft ,26 Lorong 33 Geylang, Ready to move,2,2,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.57 km
3,30 Cassia Crescent,Fully Furnished HDB Apartment,1098 sqft ,30 Cassia Crescent, Ready to move,3,2,"S$ 2,650 /mo",EW9 Aljunied MRT Station,0.78 km
4,53 Sims Place,Fully Furnished HDB Apartment,700 sqft ,53 Sims Place, Ready to move,2,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.35 km
5,Guillemard Suites,Fully Furnished Apartment,603 sqft ,213 Guillemard Road, Ready to move,2,2,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.65 km
6,Suites 28,Fully Furnished Apartment,1055 sqft ,28 Lorong 30 Geylang, Ready to move,1,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.55 km
7,Centra Residence,Partially Furnished Condominium,1100 sqft ,8 Lorong 7 Geylang, Ready to move,2,2,"S$ 2,700 /mo",EW9 Aljunied MRT Station,0.88 km
8,La Fleur,Partially Furnished Condominium,431 sqft ,8 Lorong 26 Geylang, Available from 15 Apr,1,1,"S$ 1,700 /mo",EW9 Aljunied MRT Station,0.48 km
9,Rezi 26,Partially Furnished Condominium,474 sqft ,5 Lorong 26 Geylang, Ready to move,1,1,"S$ 1,850 /mo",EW9 Aljunied MRT Station,0.46 km
10,Aston Mansions,Unfurnished Apartment,1302 sqft ,3 Lorong 42 Geylang, Ready to move,3,2,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.90 km
11,50 Circuit Road,Partially Furnished HDB Apartment,603 sqft ,50 Circuit Road, Ready to move,2,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.98 km
12,Sims Urban Oasis,Partially Furnished Condominium,667 sqft ,(within 0.32 km), S$ 4.20 psf,2,1,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.32 km
