0,The Sanctuary @ Geylang,Fully Furnished Apartment,646 sqft ,1 Geylang Lorong 30, Ready to move,1,1,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.51 km
1,123 Paya Lebar Way,Fully Furnished HDB Apartment,1291 sqft ,123 Paya Lebar Way, Ready to move,3,2,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.70 km
2,Le Regal,Partially Furnished Condominium,990 sqft ,340 Geylang Road, Ready to move,2,2,"S$ 2,900 /mo",EW9 Aljunied MRT Station,0.53 km
3,Green Court,Fully Furnished Walk-up,120 sqft ,498A Geylang Road, Ready to move,Room,0,"S$ 1,000 /mo",EW9 Aljunied MRT Station,0.41 km
4,The Sunny Spring,Partially Furnished Condominium,1195 sqft ,50 Lorong 40 Geylang, Ready to move,3,2,"S$ 3,500 /mo",EW9 Aljunied MRT Station,0.85 km
5,Rezi 26,Partially Furnished Condominium,797 sqft ,5 Lorong 26 Geylang, Ready to move,2,2,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.46 km
6,Suites @ Sims,Fully Furnished Condominium,377 sqft ,468 Sims Ave, S$ 5.04 psf,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.48 km
7,Sims Urban Oasis,Partially Furnished Condominium,700 sqft ,10 Sims Drive, Ready to move,2,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.32 km
8,Sims Urban Oasis,Fully Furnished Condominium,624 sqft ,Sims Drive, Ready to move,2,2,"S$ 3,500 /mo",EW9 Aljunied MRT Station,0.32 km
9,53 Sims Place,HDB Apartment,800 sqft ,53 Sims Place, Ready to move,2,2,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.35 km
10,The Waterina,Partially Furnished Apartment,1001 sqft ,53 Lorong 40 Geylang, Available from 8 Jun,2,3,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.90 km
11,Camellia Lodge,Fully Furnished Condominium,1249 sqft ,31 Lor 31 Geylang, Ready to move,3,2,"S$ 2,900 /mo",EW9 Aljunied MRT Station,0.42 km
12,Cassia View,Fully Furnished Condominium,80 sqft ,320 Guillemard Road, Ready to move,5,2,S$ 950 /mo,EW9 Aljunied MRT Station,0.70 km
13,Cassia View,Fully Furnished Condominium,80 sqft ,320 Guillemard Road, Ready to move,Room,0,S$ 950 /mo,EW9 Aljunied MRT Station,0.70 km
14,Sims Urban Oasis,Condominium,624 sqft ,Sims Drive, Ready to move,2,1,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.32 km
15,Casa Aerata,Fully Furnished Apartment,603 sqft ,9 Lorong 26 Geylang, Ready to move,2,1,"S$ 2,350 /mo",EW9 Aljunied MRT Station,0.52 km
16,Guillemard Edge,Fully Furnished Condominium,560 sqft ,38 Lorong 30 Geylang, Ready to move,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.60 km
17,Sims Urban Oasis,Fully Furnished Condominium,624 sqft ,Sims Drive, Ready to move,2,2,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.32 km
18,93 Jalan Dua,HDB Apartment,667 sqft ,93 Jalan Dua, Ready to move,2,2,"S$ 2,199 /mo",EW9 Aljunied MRT Station,0.99 km
19,Sims Urban Oasis,Condominium,300 sqft ,10 Sims Drive, Ready to move,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.32 km
0,Centra Loft,Fully Furnished Condominium,431 sqft ,3 Lorong 35 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.67 km
1,Guillemard Edge,Partially Furnished Condominium,441 sqft ,30 Lorong 30 Geylang, S$ 4.54 psf,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.59 km
2,The Waterina,Fully Furnished Apartment,1400 sqft ,51 Lorong 40 Geylang, S$ 2.71 psf,3,3,"S$ 3,800 /mo",EW9 Aljunied MRT Station,0.90 km
3,Central Grove,Condominium,150 sqft ,1 Geylang East Avenue 1, Available from 1 May,Room,0,S$ 950 /mo,EW9 Aljunied MRT Station,0.18 km
4,Central Grove,Condominium,80 sqft ,1 Geylang East Avenue 1, Available from 30 Apr,Room,0,S$ 480 /mo,EW9 Aljunied MRT Station,0.18 km
5,Simsville,Condominium,150 sqft ,2 Geylang East Avenue 2, Available from 20 Apr,Room,0,S$ 950 /mo,EW9 Aljunied MRT Station,0.76 km
6,Prime Residence,Fully Furnished Condominium,538 sqft ,41 Lorong 22 Geylang, Ready to move,1,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.59 km
7,Viento,Partially Furnished Condominium,452 sqft ,29 Lorong 30 Geylang, Ready to move,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.62 km
8,Sunflower Lodge,Fully Furnished Condominium,250 sqft ,9 Lorong 34 Geylang, Ready to move,Room,0,S$ 850 /mo,EW9 Aljunied MRT Station,0.64 km
9,Atrium Residences,Fully Furnished Condominium,210 sqft ,15 Lorong 28 Geylang, Ready to move,Room,0,"S$ 1,500 /mo",EW9 Aljunied MRT Station,0.53 km
10,132 Geylang East Avenue 1,Fully Furnished HDB Apartment,1550 sqft ,132 Geylang East Avenue 1, Ready to move,3,3,"S$ 2,750 /mo",EW9 Aljunied MRT Station,0.32 km
11,119 Aljunied Avenue 2,Partially Furnished HDB Apartment,925 sqft ,119 Aljunied Avenue 2, Ready to move,2,2,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.52 km
12,D'Weave,Fully Furnished Condominium,420 sqft ,5 Lorong 39 Geylang, Ready to move,1,1,"S$ 1,700 /mo",EW9 Aljunied MRT Station,0.88 km
13,La Brisa,Fully Furnished Condominium,527 sqft ,50 Lorong 28 Geylang, S$ 4.17 psf,2,2,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.59 km
14,38 Upper Boon Keng Road,Fully Furnished HDB Apartment,1280 sqft ,38 Upper Boon Keng Road, Ready to move,3,2,"S$ 2,350 /mo",EW9 Aljunied MRT Station,0.97 km
15,Sims Edge,Partially Furnished Condominium,409 sqft ,1 Geylang East Avenue 2, Ready to move,1,1,"S$ 1,980 /mo",EW9 Aljunied MRT Station,0.56 km
16,Sims Urban Oasis,Partially Furnished Condominium,624 sqft ,Sims Drive, Ready to move,2,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.32 km
17,Sims Urban Oasis,Fully Furnished Condominium,667 sqft ,10 Sims Drive, Ready to move,2,1,"S$ 3,000 /mo",EW9 Aljunied MRT Station,0.32 km
18,Sims Urban Oasis,Condominium,250 sqft ,Sims Drive, Ready to move,Studio,0,"S$ 1,600 /mo",EW9 Aljunied MRT Station,0.32 km
19,Wing Fong Mansions,Partially Furnished Apartment,990 sqft ,12 Lorong 14 Geylang, S$ 2.53 psf,3,2,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.78 km
0,Sims Urban Oasis,Partially Furnished Condominium,736 sqft ,10 Sims Drive, Ready to move,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.32 km
1,Balmy Court,Partially Furnished Condominium,200 sqft ,6 Lorong 27A Geylang, Ready to move,Room,0,"S$ 1,200 /mo",EW9 Aljunied MRT Station,0.34 km
2,The Sunny Spring,Partially Furnished Apartment,1510 sqft ,50 Lorong 40 Geylang, Ready to move,3,2,"S$ 3,300 /mo",EW9 Aljunied MRT Station,0.85 km
