Allen Iverson,18.0,20.4,.065,.138,1.5,3.8,2.7,4.6,1996
Marcus Camby,17.8,15.9,.095,.022,-0.3,-0.7,0.8,0.7,1996
Shareef Abdur-Rahim,17.4,21.1,.049,.113,-2.0,1.2,0.0,2.3,1996
Stephon Marbury,16.1,16.3,.077,.082,-1.0,-0.6,0.6,1.1,1996
Ray Allen,14.6,16.2,.092,.102,0.3,1.8,1.5,3.2,1996
Antoine Walker,15.5,17.8,.027,.070,-1.0,0.7,0.8,2.2,1996
Lorenzen Wright,12.5,13.6,.079,.071,-1.5,-2.4,0.2,-0.2,1996
Kerry Kittles,16.0,17.5,.110,.144,2.0,2.9,3.1,3.5,1996
Samaki Walker,12.2,14.4,.037,.067,-5.4,-3.9,-0.5,-0.5,1996
Erick Dampier,11.8,14.0,.040,.072,-3.0,-1.1,-0.3,0.6,1996
Todd Fuller,10.4,11.8,.034,.053,-6.2,-8.0,-1.0,-0.9,1996
Vitaly Potapenko,9.5,11.0,.020,.052,-5.9,-3.9,-1.2,-0.7,1996
Steve Nash,10.8,15.6,.047,.137,-4.6,0.5,-0.5,1.1,1996
Tony Delk,14.2,13.1,.087,.022,-0.3,-2.7,0.4,-0.3,1996
John Wallace,13.0,14.8,.095,.031,-2.4,-4.3,-0.1,-1.4,1996
Walter McCarty,6.4,11.6,-0.007,.060,-4.7,-0.6,-0.1,0.8,1996
Roy Rogers,12.6,5.4,.037,-0.047,-3.0,-7.1,-0.5,-0.1,1996
Derek Fisher,11.0,12.9,.056,.104,-3.5,-1.3,-0.3,0.3,1996
Jerome Williams,12.6,16.3,.049,.166,-2.9,0.9,0.0,1.0,1996
Brian Evans,11.7,12.0,.070,.081,-3.6,-1.9,0.0,0.0,1996
Priest Lauderdale,13.6,10.0,-0.048,-0.087,-6.8,-8.7,-0.2,-0.6,1996
Travis Knight,14.1,13.6,.137,.096,-0.2,0.4,0.5,0.9,1996
Tim Duncan,22.6,23.2,.192,.213,5.5,4.9,6.0,3.4,1997
Keith Van Horn,15.7,19.6,.098,.113,-0.4,-0.7,0.9,0.5,1997
Chauncey Billups,13.6,15.4,.065,.096,-1.8,-0.3,0.1,0.5,1997
Antonio Daniels,9.9,16.1,-0.032,.143,-6.2,-0.5,-2.1,0.2,1997
Tony Battie,13.3,15.5,.015,.139,-3.3,1.1,-0.5,0.9,1997
Ron Mercer,14.1,13.5,.073,.039,-2.0,-2.7,0.0,-0.3,1997
Tim Thomas,14.9,16.0,.091,.130,-1.3,0.2,0.3,0.5,1997
Adonal Foyle,9.2,12.3,-0.009,.087,-5.4,-0.5,-0.6,0.2,1997
Danny Fortson,14.3,18.7,.051,.148,-4.3,-2.0,-1.0,0.0,1997
Tariq Abdul-Wahad,10.1,11.8,-0.008,.058,-5.9,-2.8,-0.9,-0.2,1997
Austin Croshere,7.7,12.3,.003,.054,-5.2,-1.1,-0.2,0.1,1997
Derek Anderson,15.3,16.5,.139,.105,1.0,0.8,1.4,0.7,1997
Maurice Taylor,16.1,15.2,.057,.024,-4.6,-3.7,-1.0,-0.6,1997
Kelvin Cato,13.3,14.5,.129,.144,-0.3,2.2,0.4,0.6,1997
Brevin Knight,17.1,16.6,.163,.100,2.3,0.1,2.7,0.6,1997
Johnny Taylor,4.4,9.5,-0.032,.014,-10.0,-2.4,-0.2,-0.1,1997
Scot Pollard,13.3,18.0,.141,.200,-0.8,0.6,0.1,0.2,1997
Paul Grant,-4.6,-14.3,-0.253,-0.319,-15.2,-21.8,0.0,0.0,1997
Anthony Parker,14.0,30.9,.088,.274,-0.8,1.7,0.1,0.0,1997
Ed Gray,13.0,4.8,.083,-0.096,-3.6,-9.9,-0.2,-0.7,1997
Bobby Jackson,13.6,14.4,-0.014,.062,-2.2,-1.7,-0.1,0.1,1997
Rodrick Rhodes,7.7,0.7,-0.040,-0.201,-5.9,-11.4,-1.0,-0.4,1997
John Thomas,9.1,10.2,.034,.054,-4.7,-3.0,-0.4,-0.1,1997
Charles Smith,9.8,-0.5,-0.057,-0.323,-5.9,-12.7,-0.3,-0.1,1997
Jacque Vaughn,6.9,13.3,-0.048,.069,-8.4,-3.1,-0.7,0.0,1997
Keith Booth,13.8,7.0,.107,-0.088,-6.9,-6.2,0.0,-0.5,1997
Michael Olowokandi,11.8,10.4,-0.010,-0.016,-5.1,-6.2,-1.0,-2.6,1998
Mike Bibby,14.8,16.7,.035,.086,-2.3,0.2,-0.1,1.7,1998
Raef LaFrentz,18.9,16.3,.144,.116,-0.2,0.6,0.2,1.6,1998
Antawn Jamison,16.6,16.7,.105,.043,-1.1,-1.9,0.2,0.1,1998
Vince Carter,19.6,23.4,.136,.182,1.9,4.6,1.7,5.2,1998
Robert Traylor,17.0,15.8,.152,.112,4.1,0.6,1.2,0.3,1998
Jason Williams,12.8,11.6,.055,.026,-0.6,-1.9,0.6,0.1,1998
Larry Hughes,16.7,14.7,.117,.036,0.4,-1.4,0.6,0.4,1998
Paul Pierce,19.2,19.8,.144,.152,3.7,3.4,2.3,3.5,1998
Bonzi Wells,26.3,17.3,.103,.130,2.2,1.6,0.0,1.1,1998
Michael Doleac,13.7,13.3,.138,.106,-2.3,-2.3,-0.1,-0.1,1998
Keon Clark,11.3,15.9,.029,.109,-2.6,-0.1,-0.1,0.9,1998
Michael Dickerson,11.5,15.6,.069,.085,-1.9,-0.2,0.1,1.4,1998
Matt Harpring,13.0,14.2,.113,.146,-1.4,2.7,0.2,0.1,1998
Bryce Drew,6.6,10.9,-0.007,.050,-6.0,-3.4,-0.4,-0.4,1998
Pat Garrity,13.0,11.9,.101,.091,-4.1,-2.1,-0.3,0.0,1998
Roshown McLeod,11.3,9.1,.035,-0.025,-7.5,-5.9,-0.5,-0.8,1998
Ricky Davis,12.9,15.3,.015,.092,-2.6,-1.0,-0.1,0.1,1998
Brian Skinner,13.2,11.9,.012,.057,-6.3,-3.5,-0.3,-0.3,1998
Tyronn Lue,11.2,10.5,.062,.103,-5.7,-3.2,-0.2,0.0,1998
Felipe Lopez,11.8,11.9,.021,.023,-2.5,-3.9,-0.2,-0.4,1998
Sam Jacobson,20.6,11.1,.185,.063,-11.7,-3.5,0.0,-0.3,1998
Corey Benjamin,8.3,9.7,-0.023,-0.013,-7.4,-4.9,-0.4,-0.6,1998
Nazr Mohammed,10.0,7.0,.013,-0.016,-7.5,-8.1,-0.2,-0.3,1998
Elton Brand,20.6,20.4,.121,.101,1.8,2.2,2.9,3.0,1999
Steve Francis,18.4,21.6,.111,.184,3.3,6.6,3.7,7.0,1999
Baron Davis,12.9,16.6,.065,.134,-1.1,3.3,0.3,4.3,1999
Lamar Odom,16.8,18.9,.055,.111,1.2,4.6,2.3,4.6,1999
Wally Szczerbiak,15.4,15.8,.137,.125,1.2,1.2,1.8,2.3,1999
Richard Hamilton,11.6,15.7,.024,.046,-4.5,-2.2,-0.9,-0.1,1999
Andre Miller,17.9,20.1,.122,.136,1.0,2.9,1.6,3.5,1999
Shawn Marion,17.1,21.0,.158,.196,0.9,4.2,0.9,4.5,1999
Jason Terry,13.9,17.3,.047,.100,-1.8,1.4,0.1,2.6,1999
Trajan Langdon,10.9,11.8,.098,.086,-2.0,-1.5,0.0,0.2,1999
Aleksandar Radojevic,2.4,-1.5,-0.202,-0.117,-11.5,-9.0,-0.1,-0.2,1999
Corey Maggette,14.1,18.2,.091,.137,-2.3,-0.5,-0.1,0.5,1999
William Avery,6.7,9.0,-0.046,-0.003,-7.5,-6.7,-0.7,-0.5,1999
Metta World Peace,13.4,13.6,.050,.039,-0.3,-0.7,1.0,0.7,1999
Cal Bowdler,10.0,15.8,.027,.134,-4.8,-2.8,-0.3,-0.1,1999
James Posey,13.0,12.5,.101,.080,1.4,0.9,1.8,1.7,1999
Quincy Lewis,6.6,7.1,.018,.041,-4.0,-3.3,-0.5,-0.1,1999
Dion Glover,12.4,12.3,.029,.040,-4.0,-1.7,-0.2,0.1,1999
Jeff Foster,25.6,12.5,.345,.113,5.6,-1.4,0.2,0.2,1999
Kenny Thomas,12.0,11.2,.058,.058,-1.4,-1.5,0.3,0.2,1999
Devean George,12.1,6.2,.093,-0.023,-4.0,-7.3,-0.2,-0.8,1999
Tim James,12.6,5.8,-0.105,.022,-5.9,-6.8,0.0,-0.2,1999
Vonteego Cummings,12.9,10.4,.036,.007,-2.2,-3.7,-0.1,-0.6,1999
Jumaine Jones,12.6,14.2,.008,.125,-5.3,-0.6,-0.1,0.3,1999
Scott Padgett,7.6,17.6,.013,.158,-3.8,0.5,-0.2,0.1,1999
Kenyon Martin,13.4,14.5,.044,.093,-0.7,0.9,0.8,1.8,2000
Stromile Swift,13.1,17.2,.069,.099,-1.5,-1.5,0.2,0.2,2000
