sales_year,demand_for_rental,demand_for_owner,start_year,end_year,flat_type,demand_for_rental
1966,13201,8002.6,1966,1970,rental_flats,66005
1967,13201,8002.6,1966,1970,home_ownership_flats,40013
1968,13201,8002.6,1971,1975,rental_flats,57034
1969,13201,8002.6,1971,1975,home_ownership_flats,123213
1970,13201,8002.6,1976,1980,rental_flats,47958
1971,11406.8,24642.6,1976,1980,home_ownership_flats,141430
1972,11406.8,24642.6,1981,1985,rental_flats,38628
1973,11406.8,24642.6,1981,1985,home_ownership_flats,205502
1974,11406.8,24642.6,1986,1990,rental_flats,15995
1975,11406.8,24642.6,1986,1990,home_ownership_flats,194206
1976,9591.6,28286,1991,1995,rental_flats,39200
1977,9591.6,28286,1991,1995,home_ownership_flats,308454
1978,9591.6,28286,1996,2000,rental_flats,27787
1979,9591.6,28286,1996,2000,home_ownership_flats,129904
1980,9591.6,28286,2001,2005,rental_flats,22968
1981,7725.6,41100.4,2001,2005,home_ownership_flats,51052
1982,7725.6,41100.4,2006,2010,rental_flats,20725
1983,7725.6,41100.4,2006,2010,home_ownership_flats,64767
1984,7725.6,41100.4,2011,2014,rental_flats,18417
1985,7725.6,41100.4,2011,2014,home_ownership_flats,114207
1986,3199,38841.2,2011,2015,rental_flats,22726
1987,3199,38841.2,2011,2015,home_ownership_flats,136486
1988,3199,38841.2,2016,2016,rental_flats,4336
1989,3199,38841.2,2016,2016,home_ownership_flats,27547
1990,3199,38841.2,,,,
1991,7840,61690.8,,,,
1992,7840,61690.8,,,,
1993,7840,61690.8,,,,
1994,7840,61690.8,,,,
1995,7840,61690.8,,,,
1996,5557.4,25980.8,,,,
1997,5557.4,25980.8,,,,
1998,5557.4,25980.8,,,,
1999,5557.4,25980.8,,,,
2000,5557.4,25980.8,,,,
2001,4593.6,10210.4,,,,
2002,4593.6,10210.4,,,,
2003,4593.6,10210.4,,,,
2004,4593.6,10210.4,,,,
2005,4593.6,10210.4,,,,
2006,4145,12953.4,,,,
2007,4145,12953.4,,,,
2008,4145,12953.4,,,,
2009,4145,12953.4,,,,
2010,4145,12953.4,,,,
2011,3683.4,22841.4,,,,
2012,3683.4,22841.4,,,,
2013,3683.4,22841.4,,,,
2014,3683.4,22841.4,,,,
2015,3683.4,22841.4,,,,
2016,4336,27547,,,,
2017,4336,27547,,,,
2018,4336,27547,,,,
