year,level_1,value
1990,Per Capita GDP (US Dollar),12766
1991,Per Capita GDP (US Dollar),14504
1992,Per Capita GDP (US Dollar),16144
1993,Per Capita GDP (US Dollar),18302
1994,Per Capita GDP (US Dollar),21578
1995,Per Capita GDP (US Dollar),24937
1996,Per Capita GDP (US Dollar),26261
1997,Per Capita GDP (US Dollar),26387
1998,Per Capita GDP (US Dollar),21824
1999,Per Capita GDP (US Dollar),21797
2000,Per Capita GDP (US Dollar),23794
2001,Per Capita GDP (US Dollar),21577
2002,Per Capita GDP (US Dollar),22017
2003,Per Capita GDP (US Dollar),23574
2004,Per Capita GDP (US Dollar),27403
2005,Per Capita GDP (US Dollar),29866
2006,Per Capita GDP (US Dollar),33580
2007,Per Capita GDP (US Dollar),39224
2008,Per Capita GDP (US Dollar),39724
2009,Per Capita GDP (US Dollar),38578
2010,Per Capita GDP (US Dollar),46570
2011,Per Capita GDP (US Dollar),53162
2012,Per Capita GDP (US Dollar),54431
2013,Per Capita GDP (US Dollar),56029
2014,Per Capita GDP (US Dollar),56337
2015,Per Capita GDP (US Dollar),53630
2016,Per Capita GDP (US Dollar),52962
2017,Per Capita GDP (US Dollar),57722
2018,Per Capita GDP (US Dollar),57722
